CRL-3210	Eph4 1424.2	Mus musculus	Epithelial	Breast Cancer	Breast; Derived From Metastatic Site: Lung
CRL-1942	SUP-T1 [VB]	Homo sapiens	T Lymphoblast	T-Cell Lymphoblastic Lymphoma	
CRL-1947	CCD-986Sk	Homo sapiens	Fibroblast		Skin
CRL-8543	H9/HTLV-IIIB	Homo sapiens	Lymphocyte		
CRL-1958	H1HeLa	Homo sapiens		Adenocarcinoma	Cervix
CRL-1964	Clone 15 HL-60	Homo sapiens		Acute Promyelocytic Leukemia	Peripheral Blood
CRL-1972	M2-10B4	Mus musculus			Bone Marrow/Stroma
CRL-1973	NTERA-2 cl.D1 [NT2/D1]	Homo sapiens	Pluripotent	Malignant Pluripotent Embryonal Carcinoma	Testis; Derived From Metastatic Site: Lung
CRL-1974	COLO 829	Homo sapiens	Fibroblast	Melanoma	Skin
CRL-1976	MES-SA	Homo sapiens	Epithelial	Uterine Sarcoma	Uterus
CRL-1978	ES-2	Homo sapiens		Clear Cell Carcinoma	Ovary
HB-9568	BVD2-23B6.4	Mus musculus	Fibroblast	Papilloma	
CRL-10852	293 c18	Homo sapiens	Transformed With Adenovirus 5 Dna		Kidney
CRL-1980	COLO 829BL	Homo sapiens	B Lymphoblast	Normal	Peripheral Blood
CRL-1990	J45.01	Homo sapiens	Lymphocyte	Acute T Cell Leukemia	Peripheral Blood
CRL-1991	T1 (174 x CEM.T1)	Homo sapiens	B Lymphoblast,T Lymphoblast		Lymphoblast
CRL-1993	HMy2.CIR [C1R, HMy2.C1R]	Homo sapiens	B Lymphoblast		
CRL-1995	H2.35	Mus musculus	Hepatocyte		Liver
CRL-1997	HPAF-II	Homo sapiens	Epithelial	Adenocarcinoma	Pancreas
CRL-1999	T/G HA-VSMC	Homo sapiens			Aorta/Smooth Muscle
PCS-400-010	Primary Renal Proximal Tubule Epithelial Cells; Normal, Human	Homo sapiens	Epithelial	Normal	Kidney
PCS-400-011	Primary Renal Cortical Epithelial Cells; Normal, Human	Homo sapiens	Epithelial	Normal	Kidney
PCS-400-012	Primary Renal Mixed Epithelial Cells; Normal, Human	Homo sapiens	Epithelial	Normal	Kidney
CRL-2002	RT101	Mus musculus	Chemically Transformed		
CRL-2003	TF-1	Homo sapiens	Erythroblast	Erythroleukemia	Bone Marrow
CRL-2010	JB6 Cl 41-5a	Mus musculus		Normal	Skin, Epidermis
CRL-2012	T36274	Mus musculus	Chemically Transformed		
CRL-2014	HGF-1	Homo sapiens		Normal	Gingival Biopsy
CRL-2019	MH-S	Mus musculus	Macrophage		Lung
CRL-2020	DBTRG-05MG	Homo sapiens	Glial Cell	Glioblastoma	Brain
CRL-2021	MEG-01	Homo sapiens	Megakaryoblast	Chronic Myelogenous Leukemia (Cml)	Bone Marrow
CRL-2026	Hepa-1c1c7	Mus musculus		Hepatoma	Liver
CRL-2028	SR-4987	Mus musculus	Virus Transformed	Leukemia	
CRL-2029	WSS-1 [WS-1]	Homo sapiens	Transformed With Adenovirus 5 Dna		Kidney
CRL-2034	10P2	Mus musculus	Mast Cell; Abelson Murine Leukemia Virus Transforme		
CRL-2036	10P12	Mus musculus	Mast Cell; Abelson Murine Leukemia Virus Transforme		
CRL-2037	11P0-1	Mus musculus	Mast Cell; Abelson Murine Leukemia Virus Transforme		
CRL-2049	DMS 79	Homo sapiens		Carcinoma; Small Cell Lung Cancer	Lung/Pleural Fluid
CRL-7306	Hs 505.T	Homo sapiens		Chronic Lymphocytic Leukemia (Cll)	
CRL-2060	PFSK-1	Homo sapiens		Malignant Primitive Neuroectodermal Tumor	Brain, Cerebral Hemisphere
CRL-2061	SJCRH30 [RC13, RMS 13, SJRH30]	Homo sapiens		Rhabdomyosarcoma	Muscle; Derived From Metastatic Site: Bone Marrow
CRL-2062	DMS 53	Homo sapiens		Carcinoma; Small Cell Lung Cancer	Lung
CRL-2063	J.CaM1.6 (derivative mutant of Jurkat)	Homo sapiens	Lymphocyte	Acute T Cell Leukemia	Peripheral Blood
CRL-2064	DMS 153	Homo sapiens		Carcinoma; Small Cell Lung Cancer	Lung
CRL-2065	MLTC-1	Mus musculus	Leydig Cell	Leydig Cell Tumor	Testis
CRL-2066	DMS 114	Homo sapiens		Carcinoma; Small Cell Lung Cancer	Lung
CRL-2069	NFPE	Mus musculus		Embryonal Carcinoma	
CRL-2070	NE	Mus musculus		Nullipotent Embryonal Carcinoma; Teratocarcinoma	
CRL-2071	CCD-1058Sk	Homo sapiens	Fibroblast		
CRL-2072	CCD-1059Sk	Homo sapiens	Fibroblast	Normal	Skin
CRL-2073	NCCIT	Homo sapiens	Pluripotent	Pluripotent Embryonal Carcinoma; Teratocarcinoma	Embryo, Placenta
CRL-7329	Hs 564(E).Mg	Homo sapiens		Infiltrating Ductal Carcinoma	
CRL-2075	NF-1	Mus musculus		Nullipotent Embryonal Carcinoma; Teratocarcinoma	
CRL-2076	CCD-1064Sk	Homo sapiens	Fibroblast	Normal	Skin
CRL-2077	CCD-1065Sk	Homo sapiens	Fibroblast	Adenocarcinoma	
CRL-2078	HBE4-E6/E7 [NBE4-E6/E7]	Homo sapiens	Epithelial	Adenocarcinoma, Papilloma	Lung; Bronchus
CRL-2079	HBE4-E6/E7-C1 [NBE4-E6/E7-C1]	Homo sapiens	Epithelial		
PCS-110-010	Primary Dermal Microvascular Endothelial Cells; Normal, Human, Neonatal	Homo sapiens	Endothelial	Normal	Neonatal Foreskin
CRL-2081	MSTO-211H	Homo sapiens		Biphasic Mesothelioma	Lung; Derived From Metastatic Site: Pleural Effusion
CRL-7336	Hs 566(B).T	Homo sapiens		Carcinoma	Mammary Gland, Breast
CRL-2086	CCD-1068Sk	Homo sapiens	Fibroblast	Carcinoma	
CRL-2088	CCD-1072Sk	Homo sapiens	Fibroblast		
CRL-2089	CCD-1069Sk	Homo sapiens	Fibroblast	Carcinoma	
CRL-7343	Hs 573.T	Homo sapiens		Cancer	
CRL-7344	Hs 573.Lu	Homo sapiens		Cancer	
CRL-7345	Hs 574.T	Homo sapiens		Ductal Carcinoma	
CRL-2090	CCD-1074Sk	Homo sapiens	Fibroblast		
CRL-2091	CCD-1070Sk	Homo sapiens	Fibroblast	Normal	Skin
CRL-2094	CCD-1077Sk	Homo sapiens	Fibroblast		
CRL-2095	CAL 27	Homo sapiens	Epithelial	Squamous Cell Carcinoma	Tongue
CRL-2096	CCD-1076Sk	Homo sapiens	Fibroblast		
CRL-2097	CCD-1079Sk	Homo sapiens	Fibroblast	Normal	Skin
CRL-2098	SJSA-1	Homo sapiens		Osteosarcoma; Multipotential Sarcoma	Bone
CRL-2099	KU812	Homo sapiens	Basophil	Chronic Myelogenous Leukemia (Cml)	Peripheral Blood
CRL-7353	Hs 590.We	Homo sapiens	Fibroblast		
PCS-201-010	Primary Dermal Fibroblast Normal; Human, Neonatal	Homo sapiens	Fibroblast	Normal	Foreskin
PCS-201-011	Primary Dermal Fibroblasts; Normal, Human, Neonatal, Mitomycin C Treated	Homo sapiens	Fibroblast	Normal	Foreskin
PCS-201-012	Primary Dermal Fibroblasts; Normal, Human, Adult	Homo sapiens	Fibroblast		Skin
CRL-7360	Hs 600.T	Homo sapiens			Melanoma , Skin
CRL-7362	Hs 604.T	Homo sapiens		Hodgkin's Disease; Hodgkin's Lymphoma	
CRL-7364	Hs 605.Sk	Homo sapiens		Normal	Skin
CRL-12557	7F2	Mus musculus	Osteoblast		Bone Marrow
CRL-7373	Hs 611.T	Homo sapiens		Hodgkin's Disease; Hodgkin's Lymphoma	
CRL-12569	2B8	Homo sapiens	B Lymphocyte; Transfected With Plasmid Psv2ne	Burkitt's Lymphoma	
CRL-7380	Hs 618.T	Homo sapiens		Adenocarcinoma	
CRL-12582	20B8	Homo sapiens	Epithelial	Burkitt's Lymphoma	
CL-173	3T3-L1	Mus musculus	Fibroblast		Embryo
CL-177	XB-2	Mus musculus	Epithelial	Teratoma	
CRL-8985	MTKP 97-12	Mus musculus	Melanoma		
SCRC-1007.1	AFT024 IRR	Mus musculus	Embryonic		Liver; Stroma
CL-187	LS 180	Homo sapiens		Dukes' Type B, Colorectal Adenocarcinoma	Colon
CL-188	LS 174T	Homo sapiens	Epithelial	Dukes' Type B,Colorectal Adenocarcinoma	Colon
CRL-8993	8E5 [derivative of CEM]	Homo sapiens	Lymphoblast Human Immunodeficiency Virus (Hiv) Positive	Acute Lymphoblastic Leukemia	Peripheral Blood
CCL-2.1	HeLa 229	Homo sapiens	Epithelial	Adenocarcinoma	Cervix
CCL-2.2	HeLa S3	Homo sapiens	Epithelial	Adenocarcinoma	Cervix
PCS-460-010	Primary Uterine Fibroblast Cells; Normal, Human	Homo sapiens	Fibroblast	Normal	Myometrium; Uterus
PCS-460-011	Primary Uterine Smooth Muscle Cells; Normal, Human	Homo sapiens	Smooth Muscle Cell	Normal	Myometrium; Uterus
CRM-CRL-1420	MIA PaCa-2	Homo sapiens	Epithelial Cell (Kras Crm)	Carcinoma	Pancreas
CRL-2404	HEK001	Homo sapiens	Keratinocyte		Skin
CRL-2407	NK-92	Homo sapiens	Killer Cell	Malignant Non-Hodgkin's Lymphoma	Peripheral Blood
CRL-2408	NK-92MI	Homo sapiens	Killer Cell	Malignant Non-Hodgkin's Lymphoma	Peripheral Blood, Blood
CCL-200	CCD-13Lu	Homo sapiens	Fibroblast	Carcinoma	
CCL-201	CCD-8Lu	Homo sapiens	Fibroblast		
CCL-202	CCD-11Lu	Homo sapiens	Fibroblast		
CCL-204	CCD-16Lu	Homo sapiens	Fibroblast	Normal	Lung
CCL-205	CCD 18Lu	Homo sapiens	Fibroblast		
CCL-206	MLg [Mlg 2908]	Mus musculus	Fibroblast	Normal	Lung
CCL-210	CCD-19Lu	Homo sapiens	Fibroblast	Normal	Lung
CCL-211	Hs888Lu	Homo sapiens	Fibroblast	Osteosarcoma	
CCL-212	MRC-9	Homo sapiens	Fetal	Normal	Lung
CCL-213	Daudi	Homo sapiens	B Lymphoblast	Burkitt's Lymphoma	Peripheral Blood
CCL-214	NC-37	Homo sapiens	B Lymphoblast	Burkitt's Lymphoma	
CCL-215	CCD-25Lu	Homo sapiens	Fibroblast	Glioma	
CCL-218	WiDr	Homo sapiens	Epithelial	Colorectal Adenocarcinoma	Colon
CCL-219	L1210	Mus musculus		Lymphocytic Leukemia	Skin
CRL-2420	LADMAC	Mus musculus	Macrophage, Monocyte		Bone Marrow
CRL-2422	MDA PCa 2b	Homo sapiens		Adenocarcinoma	Prostate; Derived From Metastatic Site: Bone
CRL-2423	PFHR 9 [PFHR-9]	Mus musculus	Epithelial,Epithelial-Like	Embryonal Carcinoma	
CRL-2429	CCD-1112Sk	Homo sapiens	Fibroblast		Skin; Foreskin
CCL-220	COLO 320DM	Homo sapiens		Dukes' Type C, Colorectal Adenocarcinoma	Colon
CCL-221	DLD-1	Homo sapiens	Epithelial	Dukes' Type C, Colorectal Adenocarcinoma	Colon
CCL-222	COLO 205	Homo sapiens		Dukes' Type D, Colorectal Adenocarcinoma	Colon; Derived From Metastatic Site: Ascites
CCL-223	CMT-93	Mus musculus	Epithelial	Polyploid Carcinoma	Rectum
CCL-224	COLO 201	Homo sapiens		Dukes' Type D, Colorectal Adenocarcinoma	Colon; Derived From Metastatic Site: Ascites
CCL-225	HCT-15	Homo sapiens		Dukes' Type C, Colorectal Adenocarcinoma	Colon
CCL-226	C3H/10T1/2, Clone 8	Mus musculus	Fibroblast	Sarcoma	Embryo
CCL-227	SW620 [SW-620]	Homo sapiens		Dukes' Type C, Colorectal Adenocarcinoma	Colon; Derived From Metastatic Site: Lymph Node
CCL-228	SW480 [SW-480]	Homo sapiens	Epithelial	Dukes' Type B, Colorectal Adenocarcinoma	Colon
CCL-229	LoVo	Homo sapiens		Dukes' Type C, Grade Iv, Colorectal Adenocarcinoma	Colon; Derived From Metastatic Site: Left Supraclavicular Region
CRL-2439	CCD-1113Sk	Homo sapiens	Fibroblast		
CCL-230	SW403 [SW-403]	Homo sapiens	Epithelial	Dukes' Type C, Grade Iii, Colorectal Adenocarcinoma	Colon
CCL-231	SW48 [SW-48]	Homo sapiens		Dukes' Type C, Grade Iv, Colorectal Adenocarcinoma	Colon
CCL-233	SW1116 [SW 1116, SW-1116]	Homo sapiens	Epithelial	Dukes' Type A, Grade Iii, Colorectal Adenocarcinoma	Colon
CCL-234	SW1463 [SW 1463, SW-1463]	Homo sapiens		Dukes' Type C, Colorectal Adenocarcinoma	Rectum
CCL-235	SW837 [SW-837]	Homo sapiens		Grade Iv, Adenocarcinoma	Rectum
CCL-237	SW948 [SW-948]	Homo sapiens		Dukes' Type C, Grade Iii, Colorectal Adenocarcinoma	Colon
CCL-238	SW1417 [SW-1417]	Homo sapiens	Epithelial	Dukes' Type C, Grade Iii, Colorectal Adenocarcinoma	Colon
CCL-246.1	KG-1a	Homo sapiens	Macrophage	Acute Myelogenous Leukemia	Bone Marrow
CCL-240	HL-60	Homo sapiens	Promyeloblast	Acute Promyelocytic Leukemia	Peripheral Blood
CCL-241	FHs 74 Int	Homo sapiens			Small Intestine
CCL-243	K-562	Homo sapiens		Chronic Myelogenous Leukemia (Cml)	Bone Marrow
CCL-244	HCT-8 [HRT-18]	Homo sapiens	Adult	Ileocecal Colorectal Adenocarcinoma	Colon
CCL-245	Mo-B	Homo sapiens	B Lymphoblast	Hairy Cell Leukemia	
CCL-246	KG-1	Homo sapiens	Macrophage	Acute Myelogenous Leukemia	Bone Marrow
CCL-247	HCT 116	Homo sapiens	Epithelial	Colorectal Carcinoma	Colon
CCL-248	T84	Homo sapiens	Epithelial	Colorectal Carcinoma	Colon; Derived From Metastatic Site: Lung
CRL-2451	TF-1a	Homo sapiens	Erythroblast	Erythroleukemia	Bone Marrow
CRL-2452	Sl/Sl4	Mus musculus	Mast Cell		Liver
CRL-2453	Sl/Sl4 hSCF220	Mus musculus	Mast Cell		
CRL-2454	Sl/Sl4 hSCF248	Mus musculus	Embryonic		Liver
CRL-2455	AMJ2-C8	Mus musculus	Macrophage		
CRL-2456	AMJ2-C11	Mus musculus	Macrophage		Lung
CRL-2457	PMJ2-PC	Mus musculus	Macrophage		
CRL-2458	PMJ2-R	Mus musculus	Macrophage		
CRL-2459	SYF	Mus musculus	Fibroblast Immortalized With Sv40 Large T Antigen		Embryo
CCL-250	SNU-C2B	Homo sapiens		Colorectal Carcinoma	
CCL-251	NCI-H716 [H716]	Homo sapiens	Epithelial	Colorectal Adenocarcinoma	Cecum
CCL-252	NCI-H747 [H747]	Homo sapiens		Colorectal Adenocarcinoma	Cecum
CCL-253	NCI-H508 [H508]	Homo sapiens		Colorectal Adenocarcinoma	Cecum
CCL-254	NCI-H498 [H498]	Homo sapiens		Colorectal Adenocarcinoma	
CCL-255	LS123	Homo sapiens	Epithelial	Dukes' Type B, Colorectal Adenocarcinoma	Colon
CCL-256	NCI-H2126 [H2126]	Homo sapiens	Epithelial	Adenocarcinoma; Non-Small Cell Lung Cancer	Lung; Derived From Metastatic Site: Pleural Effusion
CCL-257	NCI-H1688 [H1688]	Homo sapiens	Epithelial	Carcinoma; Classic Small Cell Lung Cancer	Lung; Derived From Metastatic Site: Liver
CRL-2460	MS1 VEGF	Mus musculus	Endothelial	Sarcoma	Pancreas; Islet Of Langerhans, Endothelium
CRL-2465	CCD-1117Sk	Homo sapiens	Fibroblast		
CRL-2466	CCD-1118Sk	Homo sapiens	Fibroblast		
CRL-2467	EOC 2	Mus musculus	Microglia		Brain
CRL-2468	EOC 13.31	Mus musculus	Microglia		Brain
CRL-2469	EOC 20	Mus musculus	Microglia		Brain
CRM-TIB-161	HuT 78	Homo sapiens	Cutaneous T Lymphocyte (Kras Crm)	Sezary Syndrome	
CRL-11346	32D Clone 3	Mus musculus			Bone Marrow
CRL-9068	NCI-H929 [H929]	Homo sapiens	B Lymphocyte	Plasmacytoma; Myeloma	Bone Marrow
CRL-7721	MB 157	Homo sapiens		Carcinoma	Mammary Gland; Breast; Pleural Effusion
CRL-7724	SH-4	Homo sapiens		Melanoma	Skin
CRL-2470	I-11.15	Mus musculus	Macrophage		
CRL-2471	I-13.35	Mus musculus	Macrophage		Spleen
CRL-11351	H69AR	Homo sapiens	Epithelial	Carcinoma; Small Cell Lung Cancer; Multidrug Resistant	Lung
CRL-9078	PA317	Mus musculus			Embryo
CRL-5836_FL	NCI-H711 [H711]	Homo sapiens		Stage E, Carcinoma; Classic Small Cell Lung Cancer	Carcinoma; Classic Small Cell Lung Cancer; Lung
CRL-7739	TE 90.Sk	Homo sapiens		Leukemia	
CRL-7744	TE 115.T	Homo sapiens		Fibromatosis	
CRL-7746	TE 130.T	Homo sapiens		Sacrococcygeal Teratoma	
CRL-2496	HS-27A	Homo sapiens	Human Papillomavirus 16 (Hpv-16) E6/E7 Transformed		Bone Marrow/Stroma
CRL-2497	Src++	Mus musculus	Fibroblast		Embryo
CRL-2498	SYF + c-Src	Mus musculus	Fibroblast		Embryo
CRL-11372	hFOB 1.19	Homo sapiens	Osteoblast; Sv40 Large T Antigen Transfected		Bone
CRL-11379	9TR#1 [Embryonic stem cell line]	Mus musculus	Embryonic		
CRL-7752	TE 159.T	Homo sapiens		Rhabdomyosarcoma	
CRL-11386	TALL-104	Homo sapiens	T Lymphoblast	Acute Lymphoblastic Leukemia	Peripheral Blood
CRL-7761	TE 353.Sk	Homo sapiens		Normal	Skin
CRL-7762	TE 354.T	Homo sapiens		Basal Cell Carcinoma	Skin
CRL-7763	TE 381.T [RD114-B]	Homo sapiens		Rhabdomyosarcoma	
CRL-7767	TE 441.T	Homo sapiens		Rhabdomyosarcoma	
CRL-7776	TO 166.M	Homo sapiens		Fibrosarcoma	
CRL-7779	TO 175.T	Homo sapiens		Hodgkin's Disease; Hodgkin's Lymphoma	
CRL-7797	HT 1417	Homo sapiens		Lymphoma	
PCS-200-010	Primary Epidermal Keratinocytes; Normal, Human, Neonatal Foreskin	Homo sapiens	Keratinocyte	Normal	Foreskin
PCS-200-011	Primary Epidermal Keratinocytes; Normal, Human, Adult	Homo sapiens	Adult	Normal	Skin (Epidermis)
PCS-200-012	Primary Epidermal Melanoyctes; Normal, Human, Neonatal	Homo sapiens	Melanocyte	Normal	Foreskin, Lightly-Pigmented
PCS-200-013	Primary Epidermal Melanoyctes; Normal, Human, Adult	Homo sapiens	Adult	Normal	Epidermis (Basal Layer)
CRL-13002	GH329	Homo sapiens	Epithelial		
CRL-13003	GH354	Homo sapiens	Epithelial	Adenocarcinoma	Cervix
CRL-13005	1G2	Homo sapiens	Epithelial	Burkitt's Lymphoma	
CRL-13006	6.12	Mus musculus	Hybridoma:Lymphoblast B Lymphocyte; Somatic Cell Hybri		
CRL-13011	HeLa NR1	Homo sapiens	Hela Cells Transfected With Plasmid Psv2neonr101	Adenocarcinoma	
CRL-2800	MN-11 [Mutatect]	Mus musculus		Fibrosarcoma	
CRL-2802	MiF-6 [Mutatect]	Mus musculus		Fibrosarcoma	
CRL-2804	M-7 [Mutatect]	Mus musculus		Fibrosarcoma	
CRL-2814	L Wnt-5A	Mus musculus	Fibroblast		Subcutaneous Connective Tissue; Areolar And Adipose
CRL-2816	92TAg	Mus musculus	Fibroblast		
CRL-2817	127TAg	Mus musculus	Fibroblast		
CRL-2818	MB355	Mus musculus	Fibroblast		
CRL-2819	308TAg	Mus musculus	Fibroblast		
CRL-2820	88TAg	Mus musculus	Fibroblast		
CRL-2821	MB352	Mus musculus	Fibroblast		Embryo
CRL-2822	283TAg	Mus musculus	Fibroblast		
CRL-2823	151TAg	Mus musculus	Fibroblast		
CRL-2828	PEAKrapid	Homo sapiens	Transformed With Adenovirus 5 Dna		Kidney
CRL-2830	WT 9-7	Homo sapiens	Epithelial		Kidney, Cortex, Proximal Tubule, Cyst
CRL-2833	WT 9-12	Homo sapiens	Epithelial		
CRL-2836	K7M2 wt [K7M2-WT]	Mus musculus	Osteoblast	Osteosarcoma	Bone; Derived From Metastatic Site: Lung
CRL-2837	K7M2-pCI Neo	Mus musculus	Osteoblast	Osteosarcoma	
CRL-2846	CHON-001	Homo sapiens	Fibroblast		Long Bone; Cartilage
CRL-2847	CHON-002	Homo sapiens	Fetal	Normal	Long Bone; Cartilage
CRL-2849	WPE1-NA22	Homo sapiens	Epithelial		Prostate
CRL-1608	45.6.TG1.7	Mus musculus	B Lymphoblast	Plasmacytoma; Myeloma	
CRL-9444	MeT-5A	Homo sapiens	Epithelial Virus Transformed	Pleural Fluids Obtained From Non-Cancerous Individuals.	Mesothelium
CRL-9446	CHL-1	Homo sapiens	Melanoma	Melanoma	Skin
CRL-2850	WPE1-NB14	Homo sapiens	Epithelial	Normal	Prostate
CRL-2851	WPE1-NB11	Homo sapiens	Epithelial	Normal	Prostate
CRL-2852	WPE1-NB26	Homo sapiens	Epithelial	Normal	Prostate
CRL-2853	RWPE2-W99	Homo sapiens	Epithelial		
CRL-2854	WPMY-1	Homo sapiens	Epithelial, Fibroblast, Myofibroblast	Normal	Prostate/Stroma
CRL-2859	CBRM1/1	Mus musculus	Hybridoma:Lymphoblast B Lymphocyte; Somatic Cell Hybri		
CRL-1610	GS-109-V-20	Homo sapiens		Adenoma	
CRL-1611	ACHN	Homo sapiens		Renal Cell Adenocarcinoma	Kidney; Derived From Metastatic Site: Pleural Effusion
CRL-1613	GS-109-V-34	Homo sapiens		Adenoma	
CRL-1614	GS-109-V-63 [G96]	Homo sapiens		Adenoma	
CRL-1616	C127I	Mus musculus			Mammary Gland
CRL-1619	A-375 [A375]	Homo sapiens		Malignant Melanoma	Skin
CRL-11730	TOV-21G	Homo sapiens		Grade 3, Stage Iii,Primary Malignant Adenocarcinoma; Clear Cell Carcinoma	Ovary
CRL-11731	TOV-112D	Homo sapiens		Grade 3, Stage Iiic, Primary Malignant Adenocarcinoma; Endometrioid Carcinoma	Ovary
CRL-11732	OV-90	Homo sapiens		Grade 3, Stage Iiic, Malignant Papillary Serous Adenocarcinoma	Ovary; Derived From Metastatic Site: Ascites
CRL-2860	CBRN1/6	Mus musculus	Hybridoma:Lymphoblast B Lymphocyte; Somatic Cell Hybri		
CRL-2861	CBRM1/10	Mus musculus	Hybridoma:Lymphoblast B Lymphocyte; Somatic Cell Hybri		
CRL-2862	CBRM1/23	Mus musculus	Hybridoma:Lymphoblast B Lymphocyte; Somatic Cell Hybri		
CRL-2865	T47D-KBluc	Homo sapiens	Epithelial	Ductal Carcinoma	Mammary Gland; Breast/Duct; Derived From Metastatic Site: Pleural Effusion
CRL-2868	HCC827	Homo sapiens	Epithelial	Adenocarcinoma	Lung
CRL-2869	HCC2935	Homo sapiens	Epithelial	Adenocarcinoma	Lung: Pleural Effusion
CRL-1620	A-172 [A172]	Homo sapiens		Glioblastoma	Brain
CRL-1621	ARH-77	Homo sapiens	B Lymphoblast	Plasma Cell Leukemia	Peripheral Blood
CRL-1622	KLE	Homo sapiens		Adenocarcinoma	Uterus/Endometrium
CRL-1623	SCC-15	Homo sapiens		Squamous Cell Carcinoma	Tongue
CRL-1624	SCC-4	Homo sapiens		Squamous Cell Carcinoma	Tongue
CRL-1628	SCC-25	Homo sapiens	Epithelial	Squamous Cell Carcinoma	Tongue
CRL-1629	SCC-9	Homo sapiens		Squamous Cell Carcinoma	Tongue
CRL-2871	HCC4006	Homo sapiens	Epithelial	Adenocarcinoma	Lung; Derived From Metastatic Site: Pleural Effusion
CRL-2876	VCaP	Homo sapiens	Epithelial	Cancer	Prostate; Derived From Metastatic Site: Vertebral Metastasis
CRL-1634	Hs27	Homo sapiens	Fibroblast		Skin, Foreskin
CRL-1635	Hs68	Homo sapiens	Fibroblast	Aspartoacylase Deficiency; Possible Canavan Disease	Skin; Foreskin
CRL-1636	NMuMG	Mus musculus			Mammary Gland
CRL-1637	Mm5MT	Mus musculus			Mammary Gland
CRL-2884	sNF96.2	Homo sapiens	Schwann Cell		
CRL-2885	sNF02.2	Homo sapiens	Schwann	Neurofibrmatosis Type 1 (Nf1)	Derived From Metastatic Site: Lung
CRL-2886	sNF94.3	Homo sapiens	Schwann	Neurofibrmatosis Type 1 (Nf1)	Derived From Metastatic Site: Lung
CRL-2887	WPE-stem	Homo sapiens	Epithelial	Papilloma	Prostate, Normal, Peripheral Zone
CRL-2888	WPE-int	Homo sapiens	Epithelial	Papilloma	Prostate, Normal, Peripheral Zone
CRL-2889	WPE1-NB26-64	Homo sapiens	Epithelialhpv-18 Transfected	Hepatitis	
CRL-1642	LL/2 (LLC1)	Mus musculus		Lewis Lung Carcinoma	Lung
CRL-1643	GS-109-V-21	Homo sapiens	Fibroblast		
CRL-1646	FO	Mus musculus	B Lymphoblast	Plasmacytoma; Myeloma	
CRL-1647	ST486	Homo sapiens	B Lymphocyte	Burkitt's Lymphoma	Ascites
CRL-1648	CA46	Homo sapiens	B Lymphocyte	Burkitt's Lymphoma	
CRL-1649	MC116	Homo sapiens	B Lymphocyte	Undifferentiated Lymphoma	Ascites
CRL-9482	BBM	Homo sapiens	Epithelialvirus Transformed	Carcinogen	
CRL-9483	BZR	Homo sapiens	Epithelialvirus Transformed	Carcinogen	
CRL-2890	WPE1-NB26-65	Homo sapiens	Epithelialhpv-18 Transfected	Hepatitis	
CRL-2898	Neo Jurkat	Homo sapiens	Lymphocyte	Acute T Cell Leukemia	Peripheral Blood
CRL-2899	BCL2 Jurkat	Homo sapiens	Lymphocyte	Acute T Cell Leukemia	Peripheral Blood
CRL-1658	NIH/3T3	Mus musculus	Fibroblast		Embryo
CRL-11776	YS001	Mus musculus	Embryonic		
