A1BG	alpha-1-B glycoprotein
ACAD8	acyl-CoA dehydrogenase family, member 8
ACAD9	NPD002|MGC14452|acyl-CoA dehydrogenase family, member 9
ACADL	LCAD|ACAD4|acyl-CoA dehydrogenase, long chain
ACADM	MCAD|MCADH|ACAD1|acyl-CoA dehydrogenase, C-4 to C-12 straight chain
ACADS	SCAD|ACAD3|acyl-CoA dehydrogenase, C-2 to C-3 short chain
ACADSB	SBCAD|ACAD7|acyl-CoA dehydrogenase, short/branched chain
ACADVL	VLCAD|LCACD|ACAD6|acyl-CoA dehydrogenase, very long chain
ACAN	CSPGCP|aggrecan
ACAP1	KIAA0050|ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
ACAP2	KIAA0041|CNT-B2|ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
ACAP3	KIAA1716|ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
ACAT1	THIL|acetyl-CoA acetyltransferase 1
ACAT2	acetyl-CoA acetyltransferase 2
ACBD3	GCP60|PAP7|acyl-CoA binding domain containing 3
ACBD4	FLJ13322|acyl-CoA binding domain containing 4
ACBD5	DKFZp434A2417|KIAA1996|acyl-CoA binding domain containing 5
ACBD6	MGC2404|acyl-CoA binding domain containing 6
ACBD7	FLJ38219|bA455B2.2|acyl-CoA binding domain containing 7
ACCS	PHACS|ACS|1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCSL	1-aminocyclopropane-1-carboxylate synthase (inactive)-like
ACD	Ptop|Pip1|Tpp1|Tint1|adrenocortical dysplasia homolog (mouse)
ACE	ACE1|CD143|angiotensin I converting enzyme
ACE2	angiotensin I converting enzyme 2
ACER1	alkaline ceramidase 1
ACER2	FLJ41587|alkaline ceramidase 2
ACER3	FLJ11238|APHC|alkaline ceramidase 3
ACHE	acetylcholinesterase (Yt blood group)
ACIN1	KIAA0670|fSAP152|apoptotic chromatin condensation inducer 1
ACKR1	CCBP1|GPD|Dfy|CD234|atypical chemokine receptor 1 (Duffy blood group)
ACKR2	CCR10|D6|CCR9|atypical chemokine receptor 2
ACKR3	RDC1|GPR159|atypical chemokine receptor 3
ACKR4	CCR11|CCBP2|VSHK1|CCX-CKR|PPR1|atypical chemokine receptor 4
ACLY	ATPCL|CLATP|ACL|ATP citrate lyase
ACMSD	aminocarboxymuconate semialdehyde decarboxylase
ACO1	IRP1|IREBP|aconitase 1, soluble
ACO2	ACONM|aconitase 2, mitochondrial
ACOT1	ACH2|CTE-1|LACH2|acyl-CoA thioesterase 1
ACOT11	STARD14|BFIT|KIAA0707|BFIT1|THEM1|acyl-CoA thioesterase 11
ACOT12	Cach|THEAL|STARD15|acyl-CoA thioesterase 12
ACOT13	HT012|acyl-CoA thioesterase 13
ACOT2	Mte1|ZAP128|acyl-CoA thioesterase 2
ACOT4	FLJ31235|PTE-Ib|PTE2B|acyl-CoA thioesterase 4
ACOT6	acyl-CoA thioesterase 6
ACOT7	BACH|ACH1|ACT|CTE-II|LACH1|MGC1126|hBACH|acyl-CoA thioesterase 7
ACOT8	hACTE-III|hTE|PTE-2|NAP1|acyl-CoA thioesterase 8
ACOT9	CGI-16|MT-ACT48|ACATE2|acyl-CoA thioesterase 9
ACOX1	PALMCOX|acyl-CoA oxidase 1, palmitoyl
ACOX2	BRCACOX|BRCOX|THCCox|acyl-CoA oxidase 2, branched chain
ACOX3	acyl-CoA oxidase 3, pristanoyl
ACOXL	FLJ11042|acyl-CoA oxidase-like
ACP1	HAAP|LMW-PTP|acid phosphatase 1, soluble
ACP2	LAP|acid phosphatase 2, lysosomal
ACP5	TRAP|HPAP|acid phosphatase 5, tartrate resistant
ACP6	LPAP|ACPL1|acid phosphatase 6, lysophosphatidic
ACPP	ACP3|ACP-3|PAP|acid phosphatase, prostate
ACPT	acid phosphatase, testicular
ACR	acrosin
ACRBP	SP32|OY-TES-1|CT23|acrosin binding protein
ACRC	acidic repeat containing
ACRV1	SPACA2|SP-10|D11S4365|acrosomal vesicle protein 1
ACSBG1	BGM|FLJ30320|MGC14352|BG1|KIAA0631|hBG1|hsBG|acyl-CoA synthetase bubblegum family member 1
ACSBG2	BGR|PRTD-NY3|DKFZp434K1635|acyl-CoA synthetase bubblegum family member 2
ACSF2	FLJ20920|ACSMW|acyl-CoA synthetase family member 2
ACSF3	acyl-CoA synthetase family member 3
ACSL1	LACS2|LACS|ACS1|LACS1|FACL1|acyl-CoA synthetase long-chain family member 1
ACSL3	ACS3|PRO2194|acyl-CoA synthetase long-chain family member 3
ACSL4	ACS4|LACS4|acyl-CoA synthetase long-chain family member 4
ACSL5	ACS5|ACS2|acyl-CoA synthetase long-chain family member 5
ACSL6	KIAA0837|ACS2|LACS5|LACS2|acyl-CoA synthetase long-chain family member 6
ACSM1	MACS1|acyl-CoA synthetase medium-chain family member 1
ACSM2A	A-923A4.1|MGC150530|acyl-CoA synthetase medium-chain family member 2A
ACSM2B	HXMA|HYST1046|acyl-CoA synthetase medium-chain family member 2B
ACSM3	SA|acyl-CoA synthetase medium-chain family member 3
ACSM4	acyl-CoA synthetase medium-chain family member 4
ACSM5	FLJ20581|acyl-CoA synthetase medium-chain family member 5
ACSM6	bA310E22.3|acyl-CoA synthetase medium-chain family member 6
ACSS1	dJ568C11.3|AceCS2L|MGC33843|acyl-CoA synthetase short-chain family member 1
ACSS2	ACS|ACSA|AceCS|dJ1161H23.1|acyl-CoA synthetase short-chain family member 2
ACSS3	FLJ21963|acyl-CoA synthetase short-chain family member 3
ACTA1	NEM3|actin, alpha 1, skeletal muscle
ACTA2	ACTSA|actin, alpha 2, smooth muscle, aorta
ACTB	actin, beta
ACTBL2	DKFZp686D0972|actin, beta-like 2
ACTC1	CMD1R|actin, alpha, cardiac muscle 1
ACTG1	actin gamma 1
ACTG2	ACTSG|actin, gamma 2, smooth muscle, enteric
ACTL10	actin-like 10
ACTL6A	Actl6|BAF53A|Arp4|Baf53a|INO80K|actin-like 6A
ACTL6B	BAF53B|actin-like 6B
ACTL7A	actin-like 7A
ACTL7B	Tact1|actin-like 7B
ACTL8	CT57|actin-like 8
ACTL9	MGC33407|actin-like 9
ACTN1	actinin, alpha 1
ACTN2	actinin, alpha 2
ACTN3	actinin, alpha 3 (gene/pseudogene)
ACTN4	actinin, alpha 4
ACTR10	HARP11|ACTR11|Arp11|Arp10|actin-related protein 10 homolog (S. cerevisiae)
ACTR1A	ARP1|Arp1A|ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
ACTR1B	Arp1B|ARP1 actin-related protein 1 homolog B, centractin beta (yeast)
ACTR2	ARP2|ARP2 actin-related protein 2 homolog (yeast)
ACTR3	ARP3|ARP3 actin-related protein 3 homolog (yeast)
ACTR3B	ARP11|ARP3beta|ARP3 actin-related protein 3 homolog B (yeast)
ACTR3C	ARP11|ARP3 actin-related protein 3 homolog C (yeast)
ACTR5	FLJ12785|Arp5|INO80M|ARP5 actin-related protein 5 homolog (yeast)
ACTR6	ARP6|FLJ13433|ARP6 actin-related protein 6 homolog (yeast)
ACTR8	INO80N|ARP8 actin-related protein 8 homolog (yeast)
ACTRT1	AIP1|KIAA0705|ARIP1|Arp-T1|actin-related protein T1
ACTRT2	Arp-T2|ARPM2|FLJ25424|actin-related protein T2
ACTRT3	ARPM1|actin-related protein T3
ACVR1	SKR1|ALK2|ACVR1A|activin A receptor type I
ACVR1B	ALK4|SKR2|ActRIB|activin A receptor type IB
ACVR1C	ALK7|ACVRLK7|activin A receptor type IC
ACVR2A	ACTRII|activin A receptor type IIA
ACVR2B	ActR-IIB|activin A receptor type IIB
ACVRL1	HHT2|ALK1|HHT|activin A receptor type IL
ACY1	aminoacylase 1
ACY3	HCBP1|MGC9740|ACY-3|aminoacylase 3
ACYP1	acylphosphatase 1, erythrocyte (common) type
ACYP2	acylphosphatase 2, muscle type
ADA	adenosine deaminase
ADAD1	Tenr|adenosine deaminase domain containing 1 (testis-specific)
ADAD2	TENRL|FLJ00337|adenosine deaminase domain containing 2
ADAL	adenosine deaminase-like
ADAM10	kuz|MADM|HsT18717|CD156c|ADAM metallopeptidase domain 10
ADAM11	ADAM metallopeptidase domain 11
ADAM12	MCMPMltna|MLTN|ADAM metallopeptidase domain 12
ADAM15	MDC15|ADAM metallopeptidase domain 15
ADAM17	cSVP|CD156B|ADAM metallopeptidase domain 17
ADAM18	tMDCIII|ADAM27|ADAM metallopeptidase domain 18
ADAM19	MLTNB|ADAM metallopeptidase domain 19
ADAM2	PH-30b|PH30|CT15|ADAM metallopeptidase domain 2
ADAM20	ADAM metallopeptidase domain 20
ADAM21	ADAM31|ADAM metallopeptidase domain 21
ADAM22	MDC2|ADAM metallopeptidase domain 22
ADAM23	MDC3|ADAM metallopeptidase domain 23
ADAM28	eMDCII|MDC-Lm|MDC-Ls|ADAM23|ADAM metallopeptidase domain 28
ADAM29	svph1|CT73|ADAM metallopeptidase domain 29
ADAM30	svph4|ADAM metallopeptidase domain 30
ADAM32	ADAM metallopeptidase domain 32
ADAM33	DKFZp434K0521|dJ964F7.1|ADAM metallopeptidase domain 33
ADAM7	GP-83|EAPI|ADAM metallopeptidase domain 7
ADAM8	CD156|MS2|CD156a|ADAM metallopeptidase domain 8
ADAM9	MDC9|KIAA0021|MCMP|Mltng|ADAM metallopeptidase domain 9
ADAMDEC1	M12.219|ADAM-like, decysin 1
ADAMTS1	C3-C5|METH1|KIAA1346|ADAM metallopeptidase with thrombospondin type 1 motif, 1
ADAMTS10	ADAM-TS10|ADAM metallopeptidase with thrombospondin type 1 motif, 10
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif, 12
ADAMTS13	VWFCP|TTP|vWF-CP|FLJ42993|MGC118899|MGC118900|DKFZp434C2322|ADAM metallopeptidase with thrombospondin type 1 motif, 13
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif, 14
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif, 15
ADAMTS16	ADAMTS16s|ADAM metallopeptidase with thrombospondin type 1 motif, 16
ADAMTS17	FLJ32769|FLJ16363|ADAM metallopeptidase with thrombospondin type 1 motif, 17
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif, 18
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19
ADAMTS2	ADAMTS-3|hPCPNI|PCINP|ADAM-TS2|NPI|ADAM metallopeptidase with thrombospondin type 1 motif, 2
ADAMTS20	GON-1|ADAM metallopeptidase with thrombospondin type 1 motif, 20
ADAMTS3	KIAA0366|ADAMTS-4|ADAM metallopeptidase with thrombospondin type 1 motif, 3
ADAMTS4	KIAA0688|ADAMTS-2|ADMP-1|ADAM metallopeptidase with thrombospondin type 1 motif, 4
ADAMTS5	ADMP-2|ADAMTS11|ADAM metallopeptidase with thrombospondin type 1 motif, 5
ADAMTS6	ADAM-TS6|ADAM metallopeptidase with thrombospondin type 1 motif, 6
ADAMTS7	ADAM-TS7|DKFZp434H204|ADAM metallopeptidase with thrombospondin type 1 motif, 7
ADAMTS8	METH2|FLJ41712|ADAM-TS8|ADAM metallopeptidase with thrombospondin type 1 motif, 8
ADAMTS9	KIAA1312|ADAM metallopeptidase with thrombospondin type 1 motif, 9
ADAMTSL1	ADAMTSR1|FLJ35283|ADAMTS-like 1
ADAMTSL2	KIAA0605|ADAMTS-like 2
ADAMTSL3	KIAA1233|punctin-2|ADAMTS-like 3
ADAMTSL4	DKFZP434K1772|ADAMTS-like 4
ADAMTSL5	ADAMTS-like 5
ADAP1	GCS1L|ArfGAP with dual PH domains 1
ADAP2	ArfGAP with dual PH domains 2
ADAR	ADAR1|adenosine deaminase, RNA-specific
ADARB1	ADAR2|DRADA2|ADAR2g|DRABA2|RED1|hRED1|ADAR2a-L1|ADAR2a-L2|ADAR2a-L3|ADAR2a|ADAR2b|ADAR2c|ADAR2d|adenosine deaminase, RNA-specific, B1
ADARB2	RED2|hRED2|ADAR3|adenosine deaminase, RNA-specific, B2 (inactive)
ADAT1	adenosine deaminase, tRNA-specific 1
ADAT2	dJ20N2.1|TAD2|adenosine deaminase, tRNA-specific 2
ADAT3	TAD3|adenosine deaminase, tRNA-specific 3
ADCK1	FLJ39600|aarF domain containing kinase 1
ADCK2	MGC20727|aarF domain containing kinase 2
ADCK3	COQ8|SCAR9|aarF domain containing kinase 3
ADCK4	FLJ12229|COQ8|aarF domain containing kinase 4
ADCK5	FLJ35454|aarF domain containing kinase 5
ADCY1	AC1|adenylate cyclase 1 (brain)
ADCY10	SAC|Sacy|SACI|HCA2|RP1-313L4.2|adenylate cyclase 10 (soluble)
ADCY2	HBAC2|KIAA1060|AC2|adenylate cyclase 2 (brain)
ADCY3	AC3|adenylate cyclase 3
ADCY4	AC4|adenylate cyclase 4
ADCY5	AC5|adenylate cyclase 5
ADCY6	AC6|adenylate cyclase 6
ADCY7	KIAA0037|AC7|adenylate cyclase 7
ADCY8	HBAC1|AC8|adenylate cyclase 8 (brain)
ADCY9	AC9|adenylate cyclase 9
ADCYAP1	PACAP|adenylate cyclase activating polypeptide 1 (pituitary)
ADCYAP1R1	PAC1|PACAPR|PAC1R|adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
ADD1	adducin 1 (alpha)
ADD2	ADDB|adducin 2 (beta)
ADD3	adducin 3 (gamma)
ADGB	FLJ23121|dJ408K24.1|CAPN16|androglobin
ADGRA1	KIAA1828|adhesion G protein-coupled receptor A1
ADGRA2	TEM5|DKFZp434C211|DKFZp434J0911|KIAA1531|FLJ14390|adhesion G protein-coupled receptor A2
ADGRA3	FLJ38547|PGR21|adhesion G protein-coupled receptor A3
ADGRB1	adhesion G protein-coupled receptor B1
ADGRB2	adhesion G protein-coupled receptor B2
ADGRB3	KIAA0550|adhesion G protein-coupled receptor B3
ADGRD1	DKFZp434B1272|PGR25|adhesion G protein-coupled receptor D1
ADGRD2	PGR24|adhesion G protein-coupled receptor D2
ADGRE1	adhesion G protein-coupled receptor E1
ADGRE2	CD312|adhesion G protein-coupled receptor E2
ADGRE3	adhesion G protein-coupled receptor E3
ADGRE5	TM7LN1|adhesion G protein-coupled receptor E5
ADGRF1	hGPCR36|PGR19|adhesion G protein-coupled receptor F1
ADGRF2	hGPCR35|PGR20|adhesion G protein-coupled receptor F2
ADGRF3	hGPCR37|PGR23|adhesion G protein-coupled receptor F3
ADGRF4	FLJ38076|PGR18|adhesion G protein-coupled receptor F4
ADGRF5	DKFZp564O1923|KIAA0758|adhesion G protein-coupled receptor F5
ADGRG1	TM7LN4|TM7XN1|adhesion G protein-coupled receptor G1
ADGRG2	HE6|TM7LN2|EDDM6|adhesion G protein-coupled receptor G2
ADGRG3	Pb99|PGR26|adhesion G protein-coupled receptor G3
ADGRG4	RP1-299I16|PGR17|adhesion G protein-coupled receptor G4
ADGRG5	PGR27|adhesion G protein-coupled receptor G5
ADGRG6	FLJ14937|adhesion G protein-coupled receptor G6
ADGRG7	FLJ14454|adhesion G protein-coupled receptor G7
ADGRL1	KIAA0821|CIRL1|LEC2|adhesion G protein-coupled receptor L1
ADGRL2	KIAA0786|LEC1|adhesion G protein-coupled receptor L2
ADGRL3	KIAA0768|LEC3|adhesion G protein-coupled receptor L3
ADGRL4	ETL|adhesion G protein-coupled receptor L4
ADGRV1	DKFZp761P0710|KIAA0686|FEB4|VLGR1|adhesion G protein-coupled receptor V1
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
ADH4	ADH-2|alcohol dehydrogenase 4 (class II), pi polypeptide
ADH5	ADH-3|ADHX|alcohol dehydrogenase 5 (class III), chi polypeptide
ADH6	ADH-5|alcohol dehydrogenase 6 (class V)
ADH7	ADH-4|alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
ADHFE1	ADHFe1|FLJ32430|alcohol dehydrogenase, iron containing, 1
ADI1	SIPL|MTCBP-1|ARD|APL1|FLJ10913|HMFT1638|mtnD|acireductone dioxygenase 1
ADIG	MGC39724|SMAF1|RP5-1100H13.2|adipogenin
ADIPOQ	ACRP30|AdipoQ|apM1|GBP28|adiponectin|adiponectin, C1Q and collagen domain containing
ADIPOR1	PAQR1|ACDCR1|adiponectin receptor 1
ADIPOR2	PAQR2|ACDCR2|adiponectin receptor 2
ADIRF	APM2|AFRO|adipogenesis regulatory factor
ADK	AK|adenosine kinase
ADM	AM|adrenomedullin
ADM2	AM2|FLJ21135|adrenomedullin 2
ADM5	AM5|adrenomedullin 5 (putative)
ADNP	KIAA0784|ADNP1|activity-dependent neuroprotector homeobox
ADNP2	KIAA0863|ADNP homeobox 2
ADO	FLJ14547|2-aminoethanethiol (cysteamine) dioxygenase
ADORA1	RDC7|adenosine A1 receptor
ADORA2A	RDC8|adenosine A2a receptor
ADORA2B	adenosine A2b receptor
ADORA3	AD026|adenosine A3 receptor
ADPGK	DKFZp434B195|ADP-GK|ADP-dependent glucokinase
ADPRH	ARH1|ADP-ribosylarginine hydrolase
ADPRHL1	ARH2|ADP-ribosylhydrolase like 1
ADPRHL2	ARH3|FLJ20446|ADP-ribosylhydrolase like 2
ADPRM	MDS006|ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent
ADRA1A	ADRA1L1|adrenoceptor alpha 1A
ADRA1B	adrenoceptor alpha 1B
ADRA1D	ADRA1R|ADRA1A|ADRA1|adrenoceptor alpha 1D
ADRA2A	ADRAR|adrenoceptor alpha 2A
ADRA2B	ADRARL1|adrenoceptor alpha 2B
ADRA2C	ADRARL2|adrenoceptor alpha 2C
ADRB1	adrenoceptor beta 1
ADRB2	ADRBR|BAR|B2AR|adrenoceptor beta 2, surface
ADRB3	adrenoceptor beta 3
ADRBK1	GRK2|BARK1|adrenergic, beta, receptor kinase 1
ADRBK2	GRK3|BARK2|adrenergic, beta, receptor kinase 2
ADRM1	GP110|Rpn13|ARM1|adhesion regulating molecule 1
ADSL	adenylosuccinate lyase
ADSS	adenylosuccinate synthase
ADSSL1	FLJ38602|adenylosuccinate synthase like 1
ADTRP	dJ413H6.1|AIG1L|androgen-dependent TFPI-regulating protein
AEBP1	ACLP|AE binding protein 1
AEBP2	MGC17922|AE binding protein 2
AEN	FLJ12484|FLJ12562|apoptosis enhancing nuclease
AES	GRG5|TLE5|amino-terminal enhancer of split
AFAP1	AFAP-110|AFAP|actin filament associated protein 1
AFAP1L1	FLJ36748|actin filament associated protein 1-like 1
AFAP1L2	FLJ14564|Em:AC005383.4|XB130|actin filament associated protein 1-like 2
AFF1	AF-4|AF4|AF4/FMR2 family, member 1
AFF2	FRAXE|AF4/FMR2 family, member 2
AFF3	MLLT2-like|AF4/FMR2 family, member 3
AFF4	AF5Q31|MCEF|AF4/FMR2 family, member 4
AFG3L2	SPAX5|AFG3-like AAA ATPase 2
AFM	ALB2|ALBA|afamin
AFMID	DKFZp686F03259|KF|arylformamidase
