NoCell	NoD@ NA
mixed|embryonic fibroblasts, E13.5|3T9 fibroblasts	EmF@ MEF
embryonic stem cells (ESC)	PSC@ Embryonic Stem Cells
C57BL/6|Mouse Prostate	Prs@ Prostate
C57BL/6|murine MSC cell line	Oth@ Mesenchymal stem cells
129/Sv x C57BL/6|Splenic B Cells|In vitro activated B Cells	Bld@ B-Lymphocytes
Th0 in vitro|Th0	Bld@ Th0
3T3-L1 preadipocyte cell line|Preadipocyte cell line	EmF@ 3T3-L1
CD-1|liver tissue	Liv@ Liver
retina|retina	Oth@ Retina
C57BL6/J|peritoneal thioglycolate-elicited macrophages	Bld@ Macrophages
C57BL/6|Primary B-cells|B cells from spleen	Bld@ B-Lymphocytes
MC3T3-E1|MC3T3-E1 cells	Bon@ MC3T3-E1
Balb/c|mouse plasmacytoma PCT4961|plasmacytoma PCT4961	Bld@ Plasmacytoma
mouse embryonic fibroblast cell	EmF@ MEF
Embryonic stem cells|V6.5 embryonic stem cells	PSC@ Embryonic Stem Cells
Embryonic Stem Cells (ESCs)|Embryonic Stem Cells (ESCs)	PSC@ Embryonic Stem Cells
V6.5|ES cell culture|mouse embryonic stem cell	PSC@ Embryonic Stem Cells
C57BL/6-129/Sv|Embryonic stem cells|Embryonic stem cells	PSC@ Embryonic Stem Cells
v6.5|embryonic stem cell	PSC@ Embryonic Stem Cells
C57BL/6|Splenic|Spleen	Spl@ Spleen
C57Bl/6|Liver|liver	Liv@ Liver
3T3-L1	EmF@ 3T3-L1
hepatocytes|liver	Liv@ Hepatocytes
MC3T3-E1 differentiated for 15 days|MC3T3-E1 cells differentiated for 15 days	Bon@ MC3T3-E1
7438 cells|7438 cells + Afos|mouse mammary cells (express GFP-GR, Cherry-ER, and Afos under a tet regulated promoter)	Brs@ 7438
KH2|KH2 ES cells|Embryonic stem cells|Undifferentiated	PSC@ Embryonic Stem Cells
C57BL/6|CD4+ T Cells|CD4+ T Cells|Spleen	Bld@ CD4-Positive T-Lymphocytes
F9 embryonal carcinoma cells|embryonal carcinoma cells	PSC@ F9
C57BL/6|P12_Liver|liver	Liv@ Liver
C57BL/6|Pro-B cell|Pro-B cell	Bld@ B-Lymphocytes
3T3-L1 adipocytes (Day 7)|3T3-L1 adipocytes	EmF@ 3T3-L1
C57BL/6|Rag1 -/- pro-B cells|pro-B cells	Bld@ B-Lymphocytes
Embryonic Stem Cell	PSC@ Embryonic Stem Cells
C57BL/6|Mature B|Lymph Nodes	Bld@ B-Lymphocytes
129/SvJ x C57/B6 hybrid|Doxycycline-induced MEFs|secondary, inducible MEFs	PSC@ iPS cells
3T3-L1|3T3-L1 adipocytes	EmF@ 3T3-L1
Rex1GFPd2|embryonic stem cell	PSC@ Embryonic Stem Cells
OSTEOBLASTS|Calvaria|N/A|N/A|N/A	Bon@ Osteoblasts
C57BL/6|Primary B-cells|B cells from lymphnodes	Bld@ B-Lymphocytes
Embryonic Stem Cells	PSC@ Embryonic Stem Cells
129/Sv|Trophoblast stem cells|Trophoblast stem cells	Plc@ Trophoblast stem cells
ES-E14|129/Ola|ES-E14|mouse embryonic stem cell line E14|Embryonic day 0 (stem cell)	PSC@ Embryonic Stem Cells
129Sv-C57Bl/6|Embryonic Stem Cells (ESCs)|Embryonic Stem Cells (ESCs)	PSC@ Embryonic Stem Cells
Hepatocyte|Liver|Adult|N/A|N/A	Liv@ Hepatocytes
C57BL/6 x CBA|TT2|embryonic stem cells	PSC@ Embryonic Stem Cells
v6.5 mouse embryonic stem cells|v6.5 mouse embryonic stem cells	PSC@ Embryonic Stem Cells
129P2/Ola|Neural progenitor cells|ES-derived neural progenitor cells	PSC@ mESC derived neural cells
129/OLA|Embryonic stem cells	PSC@ Embryonic Stem Cells
Embryonic stem cells	PSC@ Embryonic Stem Cells
Heart|C57BL/6|Heart|Heart|Adult 8 weeks	CDV@ Heart
E14|Embryonic stem cell|Embryonic stem cell	PSC@ Embryonic Stem Cells
F1 C/B trophoblast stem cells|F1 C/B trophoblast stem cells	Plc@ Trophoblast stem cells
mixed B6;129 background|conditional KO Rb MEF|MEFs	EmF@ MEF
G1E-ER4+E2 cells|recapitulated erythroid differentiation after induction by estradiol treatment for 24hr.	Bld@ G1E
129|G1E cells|Erythroid committed, immature progenitor murine cell line	Bld@ G1E
3T3-L1|3T3-L1 pre-adipocytes	EmF@ 3T3-L1
C57BL/6|MEF	EmF@ MEF
N/A|N/A|N/A|N/A|N/A	Unc@ Unclassified
129|Embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
Differentiated motor neuron	PSC@ mESC derived neural cells
epiblast like cells (EpiLC)	PSC@ EpiLC
mouse heart|heart	CDV@ Heart
BALBc/J|peritoneal thioglycolate-elicited macrophages	Bld@ Macrophages
129S4/Svjae|Jmjd2c KD mESCs|ESC	PSC@ Embryonic Stem Cells
129S4/Svjae|Anti-GFP KD mESCs|ESC	PSC@ Embryonic Stem Cells
Liver|C57BL/6|Liver|Liver|Adult 8 weeks	Liv@ Liver
G1E|129|G1E|Gata1- erythroid progenitor|Embryonic day 0 (stem cell)	Bld@ G1E
C57BL/6J|primary CD4+ T cells from spleen and lymph nodes|in vitro polarized T helper1 cells for 7 days	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|primary bone marrow-derived macrophages|primary bone marrow-derived macrophages	Bld@ Macrophages
C57BL/6|C57BL/6 wild type mouse liver|liver	Liv@ Liver
129Sv-C57Bl/6|Terminally differentiated Neurons (TN)|Terminally differentiated Neurons (TN)	Neu@ Neurons
Embyonic stem cells|V6.5 embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|Liver cells|Liver	Liv@ Liver
C57/DBA F1 hybrid|hippocampus	Neu@ Hippocampus
3T3-L1|fibroblast	EmF@ 3T3-L1
C57BL/6JOlaHsd|macrophage	Bld@ Macrophages
ES cells	PSC@ Embryonic Stem Cells
WT26|C57BL/6x129sV|Embryonic stem cells|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
ICR|Splenic CD8+ T cells|Splenic CD8+ T cells	Bld@ CD8-Positive T-Lymphocytes
Mouse embryotic stem cells|mESC	PSC@ Embryonic Stem Cells
C57BL/6|Primary CD4+ Th cells|Activated CD4+ T cells skewed towards a Th17 subset.	Bld@ Th17
3T3-L1 cells (ATCC #CL-173)	EmF@ 3T3-L1
CD43 negative mouse resting B cells|spleen|adult	Bld@ B-Lymphocytes
WholeBrain|C57BL/6|WholeBrain|Whole Brain|Embryonic day 14.5	Emb@ Embryonic brains
ES-Bruce4|C57BL/6|ES-Bruce4|mouse embryonic stem cells|Embryonic day 0 (stem cell)	PSC@ Embryonic Stem Cells
Growing C1C12 myoblasts|C2C12	Myo@ C2C12
(CBA/CaJ X C57BL/6J)F16+ X Hsd:ICR(CD-1)|FACS-purified Pou5f1-GFP-positive germ cells|Embryonic day 13.5 male-gonad	Emb@ Embryonic testis
C57BL/6|Total T Cells|total T cells|Spleen	Bld@ T-Lymphocytes
bone marrow macrophages|Bone marrow macrophages	Bld@ Macrophages
C57/BL6|Mouse liver cells|liver	Liv@ Liver
C57BL/6-129|Embyonic stem cells|V6.5 embryonic stem cells	PSC@ Embryonic Stem Cells
BV2|BV2 cells|microglial	Neu@ BV-2
C57/Bl6|liver	Liv@ Liver
C57BL/6J|liver|adult	Liv@ Liver
3134|3134 cells|mouse mammary cells	Brs@ 3134
MLL-AF9-puro transformed murine leukemia cell line	Bld@ MLL-AF9 leukemic cell
CD4+CD8+ double positive thymocytes|CD4+ CD8+ double positive (DP) thymocyte	Bld@ CD4 CD8 double positive cells
C57Bl/6.SJL congenic|sorted murine lin-/Sca-1/c-Kit in vitro cultured cells|LSK hematopoietic stem cells	Bld@ Hematopoietic Stem Cells
main olfactory epithelium	Oth@ Olfactory epithelium
C57BL/6|hindlimb muscles|VCAM+ / CD31- / CD45- / Sca1-	Myo@ Muscle, Skeletal
C57BL/6|Embryonic stem cells (ES3)	PSC@ Embryonic Stem Cells
Kidney|C57BL/6|Kidney|Kidney|Adult 8 weeks	Kid@ Kidney
Thymus|C57BL/6|Thymus|Thymus|Adult 8 weeks	Oth@ Thymus
C57BL/6|DC|Splenic dendritic cells	Bld@ Dendritic Cells
adult testis	Gon@ Testis
C57BL/6 (female)  x 129/S (male)|KH2|mES	PSC@ Embryonic Stem Cells
C2C12|C2C12 myotubes differentiated for 96h|myotubes	Myo@ C2C12
C2C12|Growing C2C12 myoblasts|myoblasts	Myo@ C2C12
C3H|C2C12 myoblasts|6-hours differentiated Myotubes	Myo@ C2C12
C57BL/6J|Mouse nucleus accumbens 24 hr|Bilateral, anterior/posterior 1mm-thick, 14-gauge punches, pooled together from 5 animals	Neu@ Nucleus Accumbens
HPC-7 Cell Line|Early haematopoietic cell line derived from ES cells	PSC@ mESC derived haematopoietic progenitor
brain|P1	Neu@ Brain
Liver|Genomic|Adult|N/A|wildtype	Liv@ Liver
mouse embryonic stem cells (E14)|mouse embryonic stem cells (E14)	PSC@ Embryonic Stem Cells
C57bl/6J|Primary culutured mouse cortical neurons (DIV 8)	Neu@ Cortical neuron
C57Bl/6|primary CD4+ T cells from spleen|in vitro polarized T helper1 cells for 6 days	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|Intestinal Epithelial Cells|Ileum	Dig@ Ileum
C57BL/6|Th17 cells|Th17 cells	Bld@ Th17
embryonic stem cells|ESC Serum + LIF grown	PSC@ Embryonic Stem Cells
R1 ES cell|shLuc ES cells	PSC@ Embryonic Stem Cells
HeLa|C57/BL6|Mouse Liver	Liv@ Liver
J1|cell line	PSC@ Embryonic Stem Cells
splenic B cells|Resting splenic B cells were isolated from 6-8 week-old wild-type C57BL6/J mice with anti-CD43 Microbeads (anti-Ly48; Miltenyi Biotech) and were activated for 48-60 h with LPS (50 g/ml; Sigma), IL-4 (5 ng/ml; Sigma) and 0.5	Bld@ B-Lymphocytes
129/Sv|Trophoblast giant cells - cultured|cultured trophoblast giant cells	Plc@ Trophoblast giant cells
ICR|Splenic NK cells|Splenic NK cells	Bld@ Natural Killer Cells
C57BL/6J|Embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6 cebpa flox/flox;Mx1Cre|Hematopoietic Stem Cells|Hematopoietic Stem Cells	Bld@ Hematopoietic Stem Cells
Sorted cells	Unc@ Unclassified
C57BL/6|Limb bud|Limb bud|E11.5	Emb@ Embryonic limb
Spleen|C57BL/6|Spleen|Spleen|Adult 8 weeks	Spl@ Spleen
Megakaryo|CD-1|Megakaryo|Megakaryocyte|Embryonic day 14.5	Emb@ Embryonic megakaryocytes
129P2/OlaHsd|differentiating murine hematopoietic cells|hemogenic endothelium	Bld@ Hematopoietic Stem Cells
C57BL/6|C57BL/6 LXRdKO mouse liver|liver	Liv@ Liver
Embyonic stem cells|embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6 x 129|Embryonic Stem cells|ES-cells	PSC@ Embryonic Stem Cells
46C|embryonic stem cell	PSC@ Embryonic Stem Cells
C2C12|C3H|muscle|myoblast	Myo@ C2C12
Neuralized embryoid bodies	PSC@ Embryoid Bodies
129SV::FVB/N::C57BL/6|Mammary tissues|Day of parturition	Brs@ Mammary cells
ICR|Liver tissue|liver	Liv@ Liver
C57BL/6|M1 Macrophages|adult	Bld@ Macrophages
Round spermatid|round spermatid	Gon@ Spermatids
T cell acute lymphocytic leukemia|Primary murine T-ALL cells|spleen|GFP,CD4, CD8 positive cells	Bld@ T-ALL
primordial germ cells|SSEA1+ primordial germ cells	Emb@ Embryonic germ cells
Mouse embryonic fibroblasts|MEF	EmF@ MEF
C57BL/6|Intestinal Epithelial Cells|Colon	Dig@ Colon
embryonic stem cells, mock treatment|embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6J (wild type)|primary NK cells from spleens purified by negative selection|NK cell|spleens pooled	Bld@ Natural Killer Cells
C57BL/6|c-kit+ bone marrow cells|MLL-AF9 transformed cells	Bld@ MLL-AF9 leukemic cell
129S4/Svjae|Jmjd2b KD mESCs|ESC	PSC@ Embryonic Stem Cells
C57BL/6|mouse, in vitro activated B cells|in vitro activated B cells	Bld@ B-Lymphocytes
FVB/N|mammary gland|Mammary stem cells	Brs@ Mammary glands
129Sv/C57 mixed background|iPS cell from B cell|mouse secondary system derived iPS cell	PSC@ iPS cells
Cerebellum|C57BL/6|Cerebellum|Cerebellum|Adult 8 weeks	Neu@ Cerebellum
Testis|C57BL/6|Testis|Testis|Adult 8 weeks	Gon@ Testis
SmIntestine|C57BL/6|SmIntestine|Small Intestine|Adult 8 weeks	Dig@ Intestines
progenitor B|Rag1 deficient pro-B	Bld@ B-Lymphocytes
129/Ola|E36 ES cells|E36 ES cells	PSC@ Embryonic Stem Cells
Erythrobl|CD-1|Erythrobl|Erythroblast, ter119+ cells from liver|Embryonic day 14.5	Bld@ Erythroblasts
OS25 ES cells|Undifferentiated ES cells	PSC@ Embryonic Stem Cells
C57BL/6|Primary T-cells|T cells|thymus|CD4+/CD8+ double-positive (DP)	Bld@ CD4 CD8 double positive cells
CD1|Homogenized Mouse Liver|Liver tissue	Liv@ Liver
129Sv-C57Bl/6|Neuronal Progenitor (NP) Cells|Neuronal Progenitors (NP)	PSC@ mESC derived neural cells
CD-1|mammary gland|mammary gland|lactation day 8	Brs@ Mammary glands
C2C12 myotubes|myotube|C2C12 cell line	Myo@ C2C12
Brain Tissue mainly neuronal|Brain|Adult|N/A|wildtype	Neu@ Brain
total brain|Brain|postnatal|not yet visible|neurological	Neu@ Brain
total brain|Brain|postnatal|N/A|wildtype	Neu@ Brain
testes|adult	Gon@ Testis
C57BL/6|Liver	Liv@ Liver
C57Bl/6|Mouse spleen	Spl@ Spleen
CD-1|liver|liver|lactation day 8	Liv@ Liver
C57BL/6|ThyDP|Adult thymic DP (pre-positive selection)	Bld@ CD4 CD8 double positive cells
C57BL/6|FLDN2b|Fetal liver precursor derived DN2b	Bld@ CD4 CD8 double negative cells
C57BL/6|FLDN1|Fetal liver precursor derived DN1	Bld@ CD4 CD8 double negative cells
Embryonic stem cells|V6.5	PSC@ Embryonic Stem Cells
C57BL/6J (wild type)|primary CD4+ T cells from spleen and lymph nodes|in vitro polarized T helper1 cells for 7 days	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|KO MEF|primary mouse embryonic fibroblasts E13.5	EmF@ MEF
C57BL/6|WT MEF|primary mouse embryonic fibroblasts E13.5	EmF@ MEF
C57BL/6|primary Rag2 -/- thymocytes	Bld@ Thymocytes
Activated Treg|Activated Treg|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ T-Lymphocytes
pro-B cell|pro-B cell	Bld@ B-Lymphocytes
C57BL/6|fetal liver cells|fetal liver erythroid Ter119- cells	Bld@ Erythroblasts
C57BL/6|fetal liver cells|fetal liver erythroid Ter119+ cells	Bld@ Erythroblasts
3134 murine mammary epithelial cell line|3134 cells	Brs@ 3134
R1 ES cell|shKdm5b ES cells	PSC@ Embryonic Stem Cells
R1 ES cell|shKdm5b LSD1i ES cells	PSC@ Embryonic Stem Cells
R1 ES cell|shLuc LSD1i ES cells	PSC@ Embryonic Stem Cells
WT26|C57BL/6x129sV|Neuronal progenitor cells|ES-derived neural progenitor cells	PSC@ mESC derived neural cells
C57BL/6|primary NPC culture|brain	Neu@ Neural progenitor cells
C57B6|intestinal epithelial cells|IEC|large intestine	Dig@ Intestines
C57BL/6|embryonic fibroblasts treated with BAM factors|embryonic fibroblasts treated with BAM factors	EmF@ MEF
mouse embryonic stem cells|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|CD43- B cells extracted from spleen	Bld@ B-Lymphocytes
Primary bone marrow-derived macrophages, no treatment, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
mouse embryonic fibroblasts|embryonic fibroblast	EmF@ MEF
CH12|C57BL/6|CH12|B-cell lymphoma (GM12878 analog)|Immortal cells	Bld@ CH12
V19-OSKM|Mouse V19-OSKM Fibroblast	PSC@ iPS cells
C1C12 myotubes differentiated for 96h|C2C12	Myo@ C2C12
mESC E14 under Activin A differentiation, day 6|mESC E14 under Activin A differentiation, day 6	PSC@ mESC derived mesodermal cells
mESC E14 under Activin A differentiation, day 4|mESC E14 under Activin A differentiation, day 4	PSC@ mESC derived mesodermal cells
C57BL/6|Mature B|Lymph Node	Bld@ B-Lymphocytes
MEF|mouse embryonic fibroblasts (MEF)|E13.5	EmF@ MEF
mouse wt DP thymocytes|DP thymocytes	Bld@ CD4 CD8 double positive cells
C57BL/6|T-helper 2 cells|T-helper 2 cells	Bld@ Th2
embryonic stem cells|E14	PSC@ Embryonic Stem Cells
129/Ola|Embryonic Stem cells|ES-cells	PSC@ Embryonic Stem Cells
HL-1 cardiac muscle cell line|C57BL/6J|HL-1 cells	Oth@ HL-1
mouse bone marrow-derived macrophages|mouse bone marrow-derived macrophages	Bld@ Macrophages
NS5|neural stem cells	Neu@ Neural Stem Cells
Lung|C57BL/6|Lung|Lung|Adult 8 weeks	Lng@ Lung
Liver|Brain|Adult|N/A|wildtype	Liv@ Liver
C57BL/6|bone marrow	Bld@ Bone Marrow Cells
spermatocytes	Gon@ Spermatocytes
C57BL/6|germ cell|E12.5	Emb@ Embryonic germ cells
C57BL/6|germ cell|E13.5	Emb@ Embryonic germ cells
C57BL/6|germ cell|E14.5	Emb@ Embryonic germ cells
C57/BL6|Liver|Liver	Liv@ Liver
C57BL/6|Sperm|Sperm	Gon@ Sperm
B11.S-H2t4/(9R)/J|Anti-DMC1 9R_testis_SSDS|testis	Gon@ Testis
WT iPSC	PSC@ iPS cells
WT 4 days after dox induction	Unc@ Unclassified
outbred|Mammary tissues|Mammary tissues|Day 13 of pregnancy (p13)	Brs@ Mammary cells
Hippocampus|brain (hippocampus)	Neu@ Hippocampus
Neuro-2a|Mouse neuroblastoma cell line	Neu@ Neuro-2a
C57BL/6|Lung macrophages with CD45.1 mark|Lung macrophages with CD45.1 mark|Lung	Bld@ Macrophages
iMOP cells|immortalized multipotent otic progenitor	Oth@ Multipotent otic progenitor
C57BL/6|Nucleus accumbens tissue	Neu@ Nucleus Accumbens
Dgcr8 knockout mouse embryonic stem cells|Dgcr8 knockout mouse embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|whole cerebellum|whole cerebellum|Postnatal day 60 (P60)	Neu@ Cerebellum
C57BL/6|whole cerebellum|whole cerebellum|Postnatal day 7 (P7)	Neu@ Cerebellum
J1 ES cells containing BirA|embryonic stem cells|mouse embryonic stem cell	PSC@ Embryonic Stem Cells
C57BL/6|mouse embryonic fibroblasts|conditional Jmjd2c knockout MEFs	EmF@ MEF
V6.5|C57BL/6|mouse embryoid bodies|mouse embryoid bodies	PSC@ Embryoid Bodies
V6.5|C57BL/6|mouse embryonic stem cell|mouse embryonic stem cell	PSC@ Embryonic Stem Cells
mouse embryonic stem cells|E14	PSC@ Embryonic Stem Cells
C57BL/6 NCoR fl/fl Lys M-Cre +/-|Primary thioglycollate-elicited peritoneal macrophages|Macrophage	Bld@ Macrophages
C57BL/6 NCoR fl/fl Lys M-Cre -/-|Primary thioglycollate-elicited peritoneal macrophages|Macrophage	Bld@ Macrophages
d0|F2: 129S1/CastEiJ x 129S1|Undifferentiated mouse embryonic stem cell line|undifferentiated embryonic stem cell line	PSC@ Embryonic Stem Cells
C57BL/6|embryonic fibroblasts|embryonic fibroblasts	EmF@ MEF
FVB/N|Neural progenitor cells|Primary adult neural progenitor cell	Neu@ Neural progenitor cells
C57/BL6|Hepa 1-6 cells|Hepa 1-6 cells	Liv@ Hepa 1-6
FVB/N|mammary gland|Luminal cells	Brs@ Mammary glands
Primary B cells|Splenocyte (B lymphocytes)	Bld@ B-Lymphocytes
C57BL/6|Embryonic cortex|Embryonic cortex|E14.5	Emb@ Embryonic brains
mixed C57/BL6-129|3T3-L1 preadipocytes|3T3-L1 preadipocytes	EmF@ 3T3-L1
BMDM|C57BL/6|BMDM|Bone marrow derived macrophage|Adult 8 weeks	Bld@ Macrophages
OlfactBulb|C57BL/6|OlfactBulb|Olfactory Bulb|Adult 8 weeks	Oth@ Olfactory epithelium
Limb|C57BL/6|Limb|Limb|Embryonic day 14.5	Emb@ Embryonic limb
MEF|C57BL/6|MEF|Mouse Embryonic Fibroblast|Adult 8 weeks	EmF@ MEF
BoneMarrow|C57BL/6|BoneMarrow|Bone Marrow|Adult 8 weeks	Bld@ Bone Marrow Cells
Cortex|C57BL/6|Cortex|Cortex|Adult 8 weeks	Neu@ Cerebellar Cortex
C57BL/6|Th17 Cells|Th17 Cells|Spleen	Bld@ Th17
mix C57BL/6 and 129|Mature B|Lymph Nodes	Bld@ B-Lymphocytes
MEL|C57BL/6|MEL|Leukemia (K562 analog)|Immortal cells	Bld@ MEL
C57/BL6|H3K36me3 IP|liver	Liv@ Liver
C57/BL6|H3K4me3 IP|liver	Liv@ Liver
C57Bl/6|Bruce4 embryonic stem cells	PSC@ Embryonic Stem Cells
13R/9R cross|adult testis	Gon@ Testis
CCE|ES cell	PSC@ Embryonic Stem Cells
ERMYB|CBA|Conditional Myb transformed myeloid cell line	Bld@ Myeloid Cells
C57BL/6  H3.3-HA / H3.3B|Embryonic stem cells|C6 embryonic stem cells	PSC@ Embryonic Stem Cells
murine Irf4 deficient CD4+ T	Bld@ CD4-Positive T-Lymphocytes
ES cell	PSC@ Embryonic Stem Cells
C57Bl/6|Mouse lung	Lng@ Lung
C57Bl/6|Mouse liver	Liv@ Liver
C57Bl/6|Mouse kidney	Kid@ Kidney
C57Bl/6|Mouse heart	CDV@ Heart
C57BL/6|Peritoneal cavity macrophages|Peritoneal cavity macrophages|Peritoneal cavity	Bld@ Macrophages
FDCPmix|FDCPmix|Multipotential	Bld@ FDCPmix
E14|E14	PSC@ Embryonic Stem Cells
ICR|E17.5 Pancreas|Pancreas|E17.5	Emb@ Embryonic pancreas
C57/BL6|input|liver	Liv@ Liver
C57/BL6|RPB2 IP|liver	Liv@ Liver
C57BL/6|ThyDN3|Adult thymic DN3	Bld@ CD4 CD8 double negative cells
NS5	Neu@ NS5
MBD3flox/- 4 days after dox induction	PSC@ iPS cells
WT MEF	EmF@ MEF
C57BL/6|embryonic stem cells|embryonic stem cells	PSC@ Embryonic Stem Cells
C57Bl/6 background|Satellite cells|quiescent satellite cells	Myo@ Satellite Cells, Skeletal Muscle
C57BL/6|Monocytes|Monocytes|Bone marrow	Bld@ Monocytes
C57BL/6|Lung macrophages|Lung macrophages|Lung	Bld@ Macrophages
C57BL/6|Small intestine macrophages|Small intestine macrophages|Small intestine	Bld@ Macrophages
C57BL/6|Large intestine macrophages|Large intestine macrophages|Large intestine	Bld@ Macrophages
C57BL/6|Brain microglia|Brain microglia|Brain	Neu@ Microglia
Prdm16(fl/fl) C57Bl6|Wildtype BAT|Brown adipose tissue	Adp@ Brown adipocytes
C57BL6/J|small peritoneal macrophages	Bld@ Macrophages
G1E-ER4+E2|G1E-ER4+E2|inducible GATA-1 rescue subline of G1E cells|Ter119+CD71+	Bld@ G1E
G1E|G1E|GATA-1 (null) cell line|targeted disruption of GATA-1 in strain 129 embryonic stem cells|Ter119-CD71- and Ter119-CD71+	PSC@ Embryonic Stem Cells
C57BL6J|Mouse e17.5 Embryonic Occipital Cortex|Embryonic Occipital Cortex|Embryonic Day e17.5	Emb@ Embryonic brains
C57BL6J|Mouse e17.5 Embryonic Frontal Cortex|Embryonic Frontal Cortex|Embryonic Day e17.5	Emb@ Embryonic brains
