NoAb	NoD@ NA
custom-made rabbit polyclonal antibody|Rhino ChIP from piwi germline knock-down ovaries	Unc@ Unclassified
custom-made rabbit polyclonal antibody|Rhino ChIP from control germline knock-down ovaries	Unc@ Unclassified
anti-Ph (residues 772-984)|Ph_PS7	Oth@ ph-d
anti-Ph (residues 772-984)|Ph_mixed	Oth@ ph-d
none|eye disks from 3rd instar larvae	InP@ Input control
JIL-1 monoclonal antibody 5C9|Salivary Glands	Oth@ JIL-1
none|input genomice DNA|Control, Input	InP@ Input control
H3K9me2|H3K9me2 ChIPed DNA|Tau, ChIP-seq	His@ H3K9me2
H3K9me2|H3K9me2 ChIPed DNA|Control, ChIP-seq	His@ H3K9me2
H3K27me3|fruitfly testis nos&gt;shRNA E(z)	His@ H3K27me3
guinea pig anti-So (from I. Rebay)|eye-antennal imaginal disc	Oth@ so
CP190|IP|Third instar larvae	Oth@ Cp190
none|Input|Third instar larvae	InP@ Input control
Mouse monoclonal to Ago2, gift from M. Siomi|S2 cells	Oth@ AGO2
KR (Li et al., 2008)|Blastoderm embryos	Oth@ Kr
HB (Li et al., 2008)|Blastoderm embryos	Oth@ hb
Bicoid (Li et al. 2008)|Blastoderm embryos	Oth@ bcd
anti-EcR monoclonal antibody (DDA2.7) developed by C. Thummel in D. Hogness laboratory|S2 cells	Oth@ EcR
anti-GFP|12-14 hour old embryos svb::GFP	Oth@ GFP
H3K27me3|H3K27me3 chromatin from embryonic nuclei	His@ H3K27me3
Pc n-ChIP BG3-c2	Oth@ Pc
Pc n-ChIP S2	Oth@ Pc
H3K27Me3 n-ChIP S2R+	His@ H3K27me3
Pc n-ChIP S2R+	Oth@ Pc
anti-Yki|S2 cell line ChIP; Yki antibody	Oth@ yki
H3K9me3|ChIP H3K9me3|Drosophila melanogaster ovary	His@ H3K9me3
none|ChIP input|Drosophila melanogaster ovary	InP@ Input control
Anti-RNA polymerase II CTD repeat YSPTSPS (phospho S) antibody clone 4H8|ovary shWhite PolII	Pol@ RNA polymerase II
Anti-RNA polymerase II CTD repeat YSPTSPS (phospho S) antibody clone 4H8|ovary shPiwi PolII	Pol@ RNA polymerase II
Anti-Histone H3 (tri methyl K9) antibody|ovary shPiwi H3K9me3	His@ H3K9me3
PAP antibody (Sigma P1291)|Female larvae	Oth@ CG4747
None|Male larvae	InP@ Input control
PAP antibody (Sigma P1291)|Male larvae	Oth@ CG4747
Rrp40|S3 cells	Oth@ Rrp40
Rrp6|S3 cells	Oth@ Rrp6
Rrp40|S2 cells	Oth@ Rrp40
Rrp6|S2 cells	Oth@ Rrp6
antiRpb3|Rpb3-bound DNA|tj-GAL4&gt;RNAi tej	Pol@ RpII33
antiRpb3|Rpb3-bound DNA|tj-GAL4&gt;RNAi armi	Pol@ RpII33
total DNA|DNA input_Piwi-KD	InP@ Input control
total DNA|DNA input_Mael-KD	InP@ Input control
total DNA|DNA input_GFP-KD	InP@ Input control
H3Ac|Millipore 07-360|Staged embryos	His@ H3ac
(rb) -LPT (#470, Ali Shilatifard)|Schneider's Drosophila Line 2; S2 cells	Oth@ Lpt
(rb) -dUTX (#663, Ali Shilatifard)|Schneider's Drosophila Line 2; S2 cells	Oth@ Utx
dCTCF antibody 68 (rat)|S2 cells	Oth@ CTCF
Mod(mdg4)2.2 antibody (rabbit)|S2 cells	Oth@ mod(mdg4)
Su(Hw) antibody 406 (rabbit)|S2 cells	Oth@ su(Hw)
CP190 antibody (rabbit)|S2 cells	Oth@ Cp190
none (control)|wing imaginal discs	InP@ Input control
V5 (Sigma)|body_w_ip	Oth@ Epitope tags
V5 (Sigma)|head_w_ip	Oth@ Epitope tags
none (input)|DRSC-S2 cell line	InP@ Input control
None|Wing imaginal disc Input chromatin; Iso1 strain; no antibody	InP@ Input control
anti-Trl (antii-GAF)|Wing imaginal disc ChIP; Iso1 strain; GAF antibody	Oth@ Trl
anti-H3K4me3|8-16hr embryo ChIP; Iso1 strain; H3K4me3 antibody	His@ H3K4me3
0-2hr Embryo ORC Chip-Seq	Oth@ Orc2
none (streptavidin-coated beads used to pulldown biotinlyated PH)|S2 cell line	InP@ Input control
monoclonal rat 6E11|MLE ChIP-Seq	Oth@ mle
polyclonal rabbit MOF SA 4897, crude serum|MOF ChIP-Seq	Oth@ mof
polyclonal rabbit MSL3, crude serum|MSL3 ChIP-Seq	Oth@ msl-3
polyclonal rabbit MSL2, crude serum|MSL2 ChIP-Seq	Oth@ msl-2
polyclonal rabbit MSL1, crude serum|MSL1 ChIP-Seq	Oth@ msl-1
H3K27me3 Millipore Cat. # 07-449 Lot # JBC1924326|Kc cells	His@ H3K27me3
H3K27me3 (Millipore: 07-449)|Octopaminergic neurons	His@ H3K27me3
H3K27me3 (Millipore: 07-449)|Head neurons	His@ H3K27me3
H3K27Ac (Abcam: 4729)|Head neurons	His@ H3K27ac
H3K4me3 (Abcam: 8580)|Head neurons	His@ H3K4me3
input DNA|Chromatin Input	InP@ Input control
Pol II (8WG16, Covance)|Toll10b mutant	Pol@ RNA polymerase II
NONE|none|eye-antenna imaginal disc	InP@ Input control
Su(z)12|rb--Su(z)12 full length (Jrg Mller)|eye-antenna imaginal disc	Oth@ Su(z)12
BEAF|Kc cells	Oth@ BEAF-32
dCTCF|Kc cells	Oth@ CTCF
CP190|Kc cells	Oth@ Cp190
Anti-FLAG M2|mock IP (no HSF)	Oth@ Epitope tags
in house none|Schneider's Drosophila Line 2	InP@ Input control
Hsp90|DRSC-S2 cell line	Oth@ Hsp83
none|Kc cells	InP@ Input control
none|Third instar larval brain and wing/haltere/third leg imaginal discs tissue, input	InP@ Input control
guinea pig 1 anti-l(3)mbt 1244-1477aa (glycine elution)|Third instar larval brain and wing/haltere/third leg imaginal discs tissue,  l(3)mbt ChIP	Oth@ l(3)mbt
anti-SuHw|S2 cell line	Oth@ su(Hw)
anti-H3K36me3|S2 cell line	His@ H3K36me3
E0-4	Unc@ Unclassified
none|wing imaginal discs, LID RNAi knock-down, input	InP@ Input control
H3K4me3|ab8580|wing imaginal discs, LID RNAi knock-down, H3K4me3 ChIP	His@ H3K4me3
H3K4me3|ab8580|wing imaginal discs, wild type, H3K4me3 ChIP	His@ H3K4me3
none|DRSC-S2 cell line	InP@ Input control
Trx-C|DRSC-S2 cell line	Oth@ trx
Psc|DRSC-S2 cell line	Oth@ Psc
Ph|DRSC-S2 cell line	Oth@ ph-d
Pc|DRSC-S2 cell line	Oth@ Pc
3rd instart Drosophila larvae	Unc@ Unclassified
Homotypic H2Av (H2Av/H2Av) pull-down DNA	His@ H2A.V
Heterotypic H2Av (H2A/H2Av) pull-down DNA	His@ H2A.V
none|whole embryos	InP@ Input control
Z4|Kc167	Unc@ Unclassified
Pc_RJ|Kc167	Oth@ Pc
Modmdg4|Kc167	Oth@ mod(mdg4)
L3mbt|Kc167	Oth@ l(3)mbt
H3K9me2|Kc167	His@ H3K9me2
DREF|Kc167	Oth@ Dref
BEAF|Kc167	Oth@ BEAF-32
input|inp_CP190_PS7	InP@ Input control
input|inp_CP190_mixed	InP@ Input control
anti-CP190|CP190_PS7	Oth@ Cp190
anti-CP190|CP190_mixed	Oth@ Cp190
PHO|D. Melanogaster_PHO	Oth@ pho
DSP1|D. Melanogaster_DSP1	Oth@ Dsp1
input_Pc_PS7	InP@ Input control
input_Pol2_PS7	InP@ Input control
anti-SU(Z)12|Suz12_mixed	Oth@ Su(z)12
anti-SU(Z)12|Suz12_PS7	Oth@ Su(z)12
anti-Pc|Pc_mixed	Oth@ Pc
anti-Pc|Pc_PS7	Oth@ Pc
Anti-H3K4me2|mutant_mutant_Anti-H3K4me2	His@ H3K4me2
Anti-H3K9me3|mutant_mutant_Anti-H3K9me3	His@ H3K9me3
anti-HP1|mutant_mutant_anti-HP1	Oth@ Su(var)205
Anti-H3K4me2|WT_WT_Anti-H3K4me2	His@ H3K4me2
Anti-H3K9me3|WT_WT_Anti-H3K9me3	His@ H3K9me3
anti-HP1|WT_WT_anti-HP1	Oth@ Su(var)205
ChIP Input	InP@ Input control
input_Ph_PS7	InP@ Input control
input_H3K4me3_PS7	InP@ Input control
input_H3K4me3_mixed	InP@ Input control
input_H3K27ac_PS7	InP@ Input control
input_H3K27ac_mixed	InP@ Input control
input_CTCF_PS7	InP@ Input control
input_CTCF_mixed	InP@ Input control
input_H3K27me3_PS7	InP@ Input control
input_H3K27me3_PS6	InP@ Input control
input_H3K27me3_PS5	InP@ Input control
input_H3K27me3_PS4	InP@ Input control
input_H3K27me3_mixed	InP@ Input control
anti-K4me3|H3K4me3_PS7	His@ H3K4me3
anti-K4me3|H3K4me3_mixed	His@ H3K4me3
anti-K27ac|H3K27ac_PS7	His@ H3K27ac
anti-K27ac|H3K27ac_mixed	His@ H3K27ac
anti-CTCF|CTCF_PS7	Oth@ CTCF
anti-CTCF|CTCF_mixed	Oth@ CTCF
anti-K27me3|H3K27me3_PS7	His@ H3K27me3
anti-K27me3|H3K27me3_PS6	His@ H3K27me3
anti-K27me3|H3K27me3_PS5	His@ H3K27me3
anti-K27me3|H3K27me3_PS4	His@ H3K27me3
anti-K27me3|H3K27me3_mixed	His@ H3K27me3
None|zld_input	InP@ Input control
Bcd|zld_Bcd	Oth@ bcd
None|wt_input	InP@ Input control
Bcd|wt_Bcd	Oth@ bcd
none|input genomice DNA|Tau, Input	InP@ Input control
Adf1 n-ChIP S2	Oth@ Adf1
GAF n-ChIP S2	Oth@ Trl
Pho n-ChIP S2	Oth@ pho
input|Kc167_input	InP@ Input control
prd|Prd-RF13|RF13|E0-12	Oth@ prd
prd|Prd-RF12|RF12|E0-12	Oth@ prd
cnc|KW0-cnc|KW0-cnc|AdultFemale	Oth@ cnc
br|KW1-br-core|KW1-br-core|E0-8	Oth@ br
AbdB|Anti-GFP|ab290|AbdB-GFP	Oth@ Abd-B
CG8478|KW1-CG8478-D1|KW1-CG8478-D1|S2	Oth@ CG8478
Cmi|KW1-cmi|NA|Exd-GFP	Oth@ Lpt
NA|NA|NA|Hr78-GFP	InP@ Input control
Lola|Anti-GFP|ab290|LolaI-GFP	Oth@ lola
dm|KW1-dm-D1|KW1-dm-D1|Kc167	Oth@ dm
Notch|Anti-GFP|ab290|Notch-GFP	Oth@ N
Stat92E|Anti-GFP|ab290|Stat92E-GFP	Oth@ Stat92E
Pho n-ChIP S2R+	Oth@ pho
Adf1 n-ChIP S2R+	Oth@ Adf1
GAF n-ChIP S2R+	Oth@ Trl
None|Female larvae	InP@ Input control
antiRpb3|Rpb3-bound DNA|Rpb3 ChIP-seq_Piwi-KD	Pol@ RpII33
antiRpb3|Rpb3-bound DNA|Rpb3 ChIP-seq_Mael-KD	Pol@ RpII33
antiRpb3|Rpb3-bound DNA|Rpb3 ChIP-seq_GFP-KD	Pol@ RpII33
antiH3K9me3|H3K9m3-bound DNA|H3K9m3 ChIP-seq_Piwi-KD	His@ H3K9me3
antiH3K9me3|H3K9m3-bound DNA|H3K9m3 ChIP-seq_Mael-KD	His@ H3K9me3
antiH3K9me3|H3K9m3-bound DNA|H3K9m3 ChIP-seq_GFP-KD	His@ H3K9me3
--|body_w_input	Unc@ Unclassified
--|body_cyc_input	Unc@ Unclassified
V5 (Sigma)|body_cyc_ip	Oth@ Epitope tags
--|body_clk_input	Unc@ Unclassified
V5 (Sigma)|body_clk_ip	Oth@ Epitope tags
--|head_w_input	Unc@ Unclassified
--|head_cyc_input	Unc@ Unclassified
V5 (Sigma)|head_cyc_ip	Oth@ Epitope tags
--|head_clk_input	Unc@ Unclassified
V5 (Sigma)|head_clk_ip	Oth@ Epitope tags
rabbit anti-Dp1|S2R+ cells	Oth@ Dp1
EcR_mF3d	Oth@ EcR
R13-E1-6h-Set2	Unc@ Unclassified
EcR_WPP-4-5h	Oth@ EcR
E1-6h	Unc@ Unclassified
Kc	Unc@ Unclassified
7T	Unc@ Unclassified
10T-W3L	Unc@ Unclassified
E0-12h	Unc@ Unclassified
E8-12	Unc@ Unclassified
E12-16	Unc@ Unclassified
H3K27Ac|ab4729|L2	His@ H3K27ac
L2	Unc@ Unclassified
L1	Unc@ Unclassified
L3	Unc@ Unclassified
anti-histoneH4	His@ H4
anti-histoneH4K16ac	His@ H4K16ac
input	InP@ Input control
anti-MOF	Oth@ mof
none|wing disc, third instar larvae, input	InP@ Input control
anti-histone H3|wing disc, third instar larvae, H3 ChIP	His@ H3
SuHw|Kc167	Oth@ su(Hw)
Pc_VP|Kc167	Oth@ Pc
H3K27ac|Kc167	His@ H3K27ac
none (input)|eye-antennal discs	InP@ Input control
anti-GFP|eye-antennal discs	Oth@ GFP
IgG (made in-house)|pooled stage 12 and 13 egg chambers	InP@ Input control
Cdc45 (made in-house)|pooled stage 12 and 13 egg chambers	Oth@ CDC45L
SUUR (made in-house)|pooled stage 12 and 13 egg chambers	Oth@ SuUR
NA|pooled stage 12 and 13 egg chambers	InP@ Input control
IgG (made in-house)|stage 10 egg chambers from OrR	InP@ Input control
Cdc45 (made in-house)|stage 10 egg chambers from OrR	Oth@ CDC45L
SUUR (made in-house)|stage 10 egg chambers from OrR	Oth@ SuUR
NA|stage 10 egg chambers from OrR	InP@ Input control
input_Suz12_mixed	InP@ Input control
input_Suz12_Pol2_mixed	InP@ Input control
input_Suz12_PS7	InP@ Input control
input_Pol2_mixed	InP@ Input control
H3K79me2|3594|S2	His@ H3K79me2
anti RNA-polymerase II-CTD|wing disc, third instar larvae, RNApol II ChIP	Pol@ RNA polymerase II
anti-histone H3 (mono+di+tri methyl K79)|wing disc, third instar larvae, H3K79m1-2-3 ChIP	His@ H3K79me1
anti-histone H3 (acetyl K27)|wing disc, third instar larvae, H3K27Ac ChIP	His@ H3K27ac
anti-histone H3 (tri methyl K27)|wing disc, third instar larvae, H3K27m3 ChIP	His@ H3K27me3
anti-histone H3 (di+tri methyl K4)|wing disc, third instar larvae, H3K4m2-3 ChIP	His@ H3K4me2
anti-histone H3 (mono methyl K4)|wing disc, third instar larvae, H3K4m1 ChIP	His@ H3K4me1
Cutoff-EGFP_PFA_ChIP-seq	Unc@ Unclassified
GFP|Cutoff-EGFP_PFA_ChIP-seq	Oth@ GFP
Cutoff-EGFP_EGS_ChIP-seq	Unc@ Unclassified
GFP|Cutoff-EGFP_EGS_ChIP-seq	Oth@ GFP
Rhino-BioTAP_ChIP-seq	Oth@ rhi
pan Mouse IgG dynabeads|Rhino-BioTAP_ChIP-seq	Oth@ rhi
None|Whole cell embryonic extract	InP@ Input control
anti-H3K18ac (Abcam, ab1191, lot GR46473-1)|embryos, zelda mutant, H3K18ac ChIP	His@ H3K18ac
anti-H3K18ac (Abcam, ab1191, lot GR46473-1)|embryos, wt, H3K18ac ChIP	His@ H3K18ac
anti-H3K4me1 (Abcam, ab8895, lot GR127871-1)|embryos, zelda mutant, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1 (Abcam, ab8895, lot GR127871-1)|embryos, wt, H3K4me1 ChIP	His@ H3K4me1
anti-H3 (Abcam, 1791, lot GR65697-1)|embryos, zelda mutant, H3 ChIP	His@ H3
anti-H3 (Abcam, 1791, lot GR65697-1)|embryos, wt, H3 ChIP	His@ H3
anti-Zelda antibody (Harrison et al., 2011, PLoS Genet. 7(10):e1002266)|embryos, zelda mutant, Zelda ChIP	Oth@ vfl
anti-Zelda antibody (Harrison et al., 2011, PLoS Genet. 7(10):e1002266)|embryos, wt, Zelda ChIP	Oth@ vfl
input|ChIP Input|Eye-Antennal disc	InP@ Input control
CTCF|CTCF Immunoprecipitated|Eye-Antennal disc	Oth@ CTCF
none|embryos, cycle 14c, input	InP@ Input control
none|embryos, cycle 14a, input	InP@ Input control
none|embryos, cycle 12, input	InP@ Input control
none|embryos, cycle 8, input	InP@ Input control
anti-H3 (Abcam, 1791, lot GR65697-1)|embryos, cycle 14c, H3 ChIP	His@ H3
anti-H3 (Abcam, 1791, lot GR65697-1)|embryos, cycle 14a, H3 ChIP	His@ H3
anti-H3 (Abcam, 1791, lot GR65697-1)|embryos, cycle 12, H3 ChIP	His@ H3
anti-H3 (Abcam, 1791, lot GR65697-1)|embryos, cycle 8, H3 ChIP	His@ H3
anti-H3K36me3 (Abcam, ab9050, lot GR52625-1)|embryos, cycle 14c, H3K36me3 ChIP	His@ H3K36me3
anti-H3K36me3 (Abcam, ab9050, lot GR52625-1)|embryos, cycle 14a, H3K36me3 ChIP	His@ H3K36me3
anti-H3K36me3 (Abcam, ab9050, lot GR52625-1)|embryos, cycle 12, H3K36me3 ChIP	His@ H3K36me3
anti-H3K27me3 (Millipore, 07-449, lot JBC1873477)|embryos, cycle 14c, H3K27me3 ChIP	His@ H3K27me3
anti-H3K27me3 (Millipore, 07-449, lot JBC1873477)|embryos, cycle 14a, H3K27me3 ChIP	His@ H3K27me3
anti-H3K27me3 (Millipore, 07-449, lot JBC1873477)|embryos, cycle 12, H3K27me3 ChIP	His@ H3K27me3
anti-H3K9ac (ActiveMotif, 39138, lot 981102)|embryos, cycle 14c, H3K9ac ChIP	His@ H3K9Ac
anti-H3K9ac (ActiveMotif, 39138, lot 981102)|embryos, cycle 14a, H3K9ac ChIP	His@ H3K9Ac
anti-H3K9ac (ActiveMotif, 39138, lot 981102)|embryos, cycle 12, H3K9ac ChIP	His@ H3K9Ac
anti-H3K9ac (ActiveMotif, 39138, lot 981102)|embryos, cycle 8, H3K9ac ChIP	His@ H3K9Ac
anti-H3K4me3 (Abcam, ab8580, lot GR65368-1)|embryos, cycle 14c, H3K4me3 ChIP	His@ H3K4me3
anti-H3K4me3 (Abcam, ab8580, lot GR65368-1)|embryos, cycle 14a, H3K4me3 ChIP	His@ H3K4me3
anti-H3K4me3 (Abcam, ab8580, lot GR65368-1)|embryos, cycle 12, H3K4me3 ChIP	His@ H3K4me3
anti-H3K4me3 (Abcam, ab8580, lot GR65368-1)|embryos, cycle 8, H3K4me3 ChIP	His@ H3K4me3
anti-H3K4me1 (Abcam, ab8895, lot GR46388)|embryos, cycle 14c, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1 (Abcam, ab8895, lot GR46388)|embryos, cycle 14a, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1 (Abcam, ab8895, lot GR46388)|embryos, cycle 12, H3K4me1 ChIP	His@ H3K4me1
anti-H3K4me1 (Abcam, ab8895, lot GR46388)|embryos, cycle 8, H3K4me1 ChIP	His@ H3K4me1
anti-H3K27ac (Abcam, ab4729, lot GR45787-1)|embryos, cycle 14c, H3K27ac ChIP	His@ H3K27ac
anti-H3K27ac (Abcam, ab4729, lot GR45787-1)|embryos, cycle 14a, H3K27ac ChIP	His@ H3K27ac
anti-H3K27ac (Abcam, ab4729, lot GR45787-1)|embryos, cycle 12, H3K27ac ChIP	His@ H3K27ac
anti-H3K27ac (Abcam, ab4729, lot GR45787-1)|embryos, cycle 8, H3K27ac ChIP	His@ H3K27ac
anti-H3K18ac (Abcam, ab1191, lot GR46473-1)|embryos, cycle 14c, H3K18ac ChIP	His@ H3K18ac
anti-H3K18ac (Abcam, ab1191, lot GR46473-1)|embryos, cycle 14a, H3K18ac ChIP	His@ H3K18ac
anti-H3K18ac (Abcam, ab1191, lot GR46473-1)|embryos, cycle 12, H3K18ac ChIP	His@ H3K18ac
anti-H3K18ac (Abcam, ab1191, lot GR46473-1)|embryos, cycle 8, H3K18ac ChIP	His@ H3K18ac
anti-H4K8ac (Abcam, ab15823, lot GR25500-1)|embryos, cycle 14c, H4K8ac ChIP	His@ H4K8ac
anti-H4K8ac (Abcam, ab15823, lot GR25500-1)|embryos, cycle 14a, H4K8ac ChIP	His@ H4K8ac
anti-H4K8ac (Abcam, ab15823, lot GR25500-1)|embryos, cycle 12, H4K8ac ChIP	His@ H4K8ac
anti-H4K8ac (Abcam, ab15823, lot GR25500-1)|embryos, cycle 8, H4K8ac ChIP	His@ H4K8ac
anti-H4K5ac (Millipore, 07-327, lot 1911263)|embryos, cycle 14c, H4K5ac ChIP	His@ H4K5ac
anti-H4K5ac (Millipore, 07-327, lot 1911263)|embryos, cycle 14a, H4K5ac ChIP	His@ H4K5ac
anti-H4K5ac (Millipore, 07-327, lot 1911263)|embryos, cycle 12, H4K5ac ChIP	His@ H4K5ac
anti-H4K5ac (Millipore, 07-327, lot 1911263)|embryos, cycle 8, H4K5ac ChIP	His@ H4K5ac
