SRA	SRX	MGI	old	new
45	45	http://www.ncbi.nlm.nih.gov/sra?term=SRX214040	Primary Cell|CD34 Primary Cells|None|CD34+	Bld@ CD34+?0
44	44	http://www.ncbi.nlm.nih.gov/sra?term=SRX190795	H1|Cell Line|Embryonic Stem Cell|None|Embryonic stem cell differentiated into neural progenitor cells	PSC@ hESC derived neural cells?0
1	44	http://www.ncbi.nlm.nih.gov/sra?term=SRX701958	HUES64|dEN|dEN	PSC@ hESC derived mesendodermal cells?0
6	41	http://www.ncbi.nlm.nih.gov/sra?term=ERX530904	liver|adult	Liv@ Liver?3
41	41	http://www.ncbi.nlm.nih.gov/sra?term=SRX190757	H1|Cell Line|Embryonic Stem Cell|None|Embryonic stem cell differentiated into mesenchymal stem cells	PSC@ hESC derived mesendodermal cells?0
40	40	http://www.ncbi.nlm.nih.gov/sra?term=SRX190756	H1|Cell Line|Embryonic Stem Cell|None|Embryonic stem cell differentiated into mesendoderm by treatment with BMP4	PSC@ hESC derived mesendodermal cells?0
4	39	http://www.ncbi.nlm.nih.gov/sra?term=SRX190190	MCF-7	Brs@ MCF-7?1
4	39	http://www.ncbi.nlm.nih.gov/sra?term=ERX470433	MCF-7|epithelial	Brs@ MCF-7?1
39	39	http://www.ncbi.nlm.nih.gov/sra?term=SRX730461	MCF7|beast cancer cell line	MCF7|beast cancer cell line
37	37	http://www.ncbi.nlm.nih.gov/sra?term=SRX643472	VCaP|Prosate cancer cells|vertebral metastatic lesion derived prostate cancer cells	Prs@ VCaP?1
37	37	http://www.ncbi.nlm.nih.gov/sra?term=SRX103011	GM12878|B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus	Bld@ GM12878?4
1	37	http://www.ncbi.nlm.nih.gov/sra?term=SRX701956	HUES64|dMS|dMS	PSC@ hESC derived mesendodermal cells?0
36	36	http://www.ncbi.nlm.nih.gov/sra?term=SRX895434	K562|K562 cells	K562|K562 cells
36	36	http://www.ncbi.nlm.nih.gov/sra?term=SRX205105	A549|a549 3D culture	Lng@ A549?1
36	36	http://www.ncbi.nlm.nih.gov/sra?term=SRX186833	breast carcinoma|primary breast tumor	Brs@ Breast cancer?0
2	36	http://www.ncbi.nlm.nih.gov/sra?term=SRX694763	293T-Rex|293T-Rex	Kid@ 293?1
2	36	http://www.ncbi.nlm.nih.gov/sra?term=SRX204408	B-cell lymphoma|P493-6	Bld@ P493-6?0
2	36	http://www.ncbi.nlm.nih.gov/sra?term=ERX022775	MCF-7|breast|epithelial	Brs@ MCF-7?1
35	35	http://www.ncbi.nlm.nih.gov/sra?term=SRX709037	Jurkat|Peripheral blood cells	Bld@ Jurkat?1
34	34	http://www.ncbi.nlm.nih.gov/sra?term=SRX895448	VCaP|VCaP cells	VCaP|VCaP cells
34	34	http://www.ncbi.nlm.nih.gov/sra?term=SRX730814	CD19+ B cells|follicular lymphoma|LN	Bld@ B-Lymphocytes?3
34	34	http://www.ncbi.nlm.nih.gov/sra?term=SRX673756	MCF7|MCF7|beast cancer cell line	Brs@ MCF-7?1
1	34	http://www.ncbi.nlm.nih.gov/sra?term=SRX701961	HUES64|dME|dME	PSC@ hESC derived mesendodermal cells?0
33	33	http://www.ncbi.nlm.nih.gov/sra?term=SRX595694	LNCaP|prostate cancer cells	Prs@ LNCAP?1
32	32	http://www.ncbi.nlm.nih.gov/sra?term=SRX201288	H7-hESC|H7-hESC|undifferentiated embryonic stem cells|inner cell mass	PSC@ hESC H7?0
30	30	http://www.ncbi.nlm.nih.gov/sra?term=SRX1078880	HCT116|HCT116|colorectal cancer cell line	HCT116|HCT116|colorectal cancer cell line
3	30	http://www.ncbi.nlm.nih.gov/sra?term=SRX254611	HeLa S3	Utr@ HeLa?1
2	30	http://www.ncbi.nlm.nih.gov/sra?term=SRX278506	lymphoblastoid cells	Bld@ Lymphoblastoid cells?0
1	30	http://www.ncbi.nlm.nih.gov/sra?term=ERX008572	MCF-7|breast cancer	Brs@ MCF-7?1
1	29	http://www.ncbi.nlm.nih.gov/sra?term=SRX1035063	HepG2|lier	HepG2|lier
28	28	http://www.ncbi.nlm.nih.gov/sra?term=SRX818206	Monocyte-derived dendritic cells	Monocyte-derived dendritic cells
28	28	http://www.ncbi.nlm.nih.gov/sra?term=SRX360595	GP5d|GP5d|colon adenocarcinoma	Dig@ GP5d?1
28	28	http://www.ncbi.nlm.nih.gov/sra?term=SRX189747	Primary Human Umbilical Vein Endothelial Cells|Primary Human Umbilical Vein Endothelial Cells	CDV@ Primary umbilical vein endothelial cells?0
28	28	http://www.ncbi.nlm.nih.gov/sra?term=ERX321670	islet of Langerhans|adult	Pan@ Pancreatic islets?0
3	27	http://www.ncbi.nlm.nih.gov/sra?term=ERX309838	MDA-MB-453|epithelial	Brs@ MDA-MB-453?1
26	26	http://www.ncbi.nlm.nih.gov/sra?term=SRX490451	MCF7|MCF7 breast cancer cells|Human breast adenocarcinoma	Brs@ MCF-7?1
26	26	http://www.ncbi.nlm.nih.gov/sra?term=SRX369121	Gastric Primary Sample|Tumor	Dig@ Gastric primary sample?0
26	26	http://www.ncbi.nlm.nih.gov/sra?term=SRX369117	Gastric Primary Sample|Normal	Dig@ Gastric primary sample?0
26	26	http://www.ncbi.nlm.nih.gov/sra?term=SRX367335	Human Embryonic Kidney 293 cells|HEK293T cell	Kid@ 293?1
26	26	http://www.ncbi.nlm.nih.gov/sra?term=SRX190271	H1-hESC|H1-hESC|embryonic stem cells|inner cell mass	PSC@ hESC H1?0
26	26	http://www.ncbi.nlm.nih.gov/sra?term=SRX1099990	reprogramming intermediates of hiF-T cells	reprogramming intermediates of hiF-T cells
1	26	http://www.ncbi.nlm.nih.gov/sra?term=SRX007043	sperm	Gon@ Sperm?0
25	25	http://www.ncbi.nlm.nih.gov/sra?term=SRX833423	H1 human ESCs|embryonic stem cells	H1 human ESCs|embryonic stem cells
1	25	http://www.ncbi.nlm.nih.gov/sra?term=SRX1008308	GM12878|B-lymphocyte	GM12878|B-lymphocyte
1	25	http://www.ncbi.nlm.nih.gov/sra?term=SRX026701	Pancreatic islets|Pancreatic islets	Pan@ Pancreatic islets?0
24	24	http://www.ncbi.nlm.nih.gov/sra?term=SRX811394	KB cells	Utr@ KB?1
24	24	http://www.ncbi.nlm.nih.gov/sra?term=SRX751300	hMADS-3|human adipose-derived stem cells|human adipose-derived stem cells	Adp@ Adipose-Derived Mesenchymal Stem Cells?2
24	24	http://www.ncbi.nlm.nih.gov/sra?term=SRX356481	12878|Lymphoblastoid Cell Lines	Bld@ GM12878?4
24	24	http://www.ncbi.nlm.nih.gov/sra?term=SRX346936	HUVECs|Human umbilical vein cells	CDV@ HUVEC?1
24	24	http://www.ncbi.nlm.nih.gov/sra?term=SRX268431	Primary Tissue|Fetal Intestine, Large|UW|None	Dig@ Colon?4
24	24	http://www.ncbi.nlm.nih.gov/sra?term=ERX182701	Cyt49|embryonic stem cell|embryo	PSC@ hESC Cyt49?0
1	24	http://www.ncbi.nlm.nih.gov/sra?term=SRX368947	U20S	Bon@ U2OS?4
23	23	http://www.ncbi.nlm.nih.gov/sra?term=SRX759981	HCT116|Colon cancer cell line|human colon cancer cell	Dig@ HCT 116?1
23	23	http://www.ncbi.nlm.nih.gov/sra?term=SRX757048	SH-SY5Y|Cultured SH-SY5Y cells	SH-SY5Y|Cultured SH-SY5Y cells
23	23	http://www.ncbi.nlm.nih.gov/sra?term=SRX736075	LNCaP cells|prostate cancer cells	Prs@ LNCAP?1
23	23	http://www.ncbi.nlm.nih.gov/sra?term=SRX331854	CD4+ T cell|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes?3
23	23	http://www.ncbi.nlm.nih.gov/sra?term=SRX201294	MCF-7|MCF-7|mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis|ectoderm	Brs@ MCF-7?1
22	22	http://www.ncbi.nlm.nih.gov/sra?term=SRX753154	Fibroblast-derived iPSC	PSC@ iPS cells?0
22	22	http://www.ncbi.nlm.nih.gov/sra?term=SRX685341	low passage primary melanoma cultures|low passage primary melanoma cultures	Epd@ Melanoma?3
22	22	http://www.ncbi.nlm.nih.gov/sra?term=SRX667420	MCF7|Human breast adenocarcinoma cell-line MCF7	Brs@ MCF-7?1
22	22	http://www.ncbi.nlm.nih.gov/sra?term=SRX300960	Primary Tissue|Fetal Muscle, Leg|UW|None	Myo@ Fetal muscle?0
22	22	http://www.ncbi.nlm.nih.gov/sra?term=SRX1027454	hMSC|Human Mesenchymal Stem Cells	hMSC|Human Mesenchymal Stem Cells
22	22	http://www.ncbi.nlm.nih.gov/sra?term=SRX038643	K562|cultured K562 cells	Bld@ K-562?1
1	22	http://www.ncbi.nlm.nih.gov/sra?term=SRX502804	IMR90|Fibroblasts	Lng@ IMR-90?1
1	22	http://www.ncbi.nlm.nih.gov/sra?term=ERX173371	MCF-7|breast epithelial	Brs@ MCF-7?1
1	22	http://www.ncbi.nlm.nih.gov/sra?term=ERX004446	MCF7|breast	Brs@ MCF-7?1
21	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX212667	Peripheral blood cells|CD14+ monocytes	Bld@ Monocytes-CD14+?4
21	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX1094490	TC-797 (Toretsky et al. 2003)|797|NMC	TC-797 (Toretsky et al. 2003)|797|NMC
1	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX825177	MCF10A|breast|Epithelial|MCF10A-Er-Src	Brs@ MCF 10A?1
1	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX425253	HUVEC|endothelium	CDV@ HUVEC?1
1	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX190191	SK-N-SH	SK-N-SH
1	21	http://www.ncbi.nlm.nih.gov/sra?term=SRX055162	Primary Tissue|Fetal Stomach|UW|None	Dig@ Stomach?3
1	21	http://www.ncbi.nlm.nih.gov/sra?term=ERX348272	CAL51	Brs@ CAL-51?1
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX659809	IMR90 human primary lung embryo fibroblasts|Lung Fibroblasts|contact-inhibited IMR90	Lng@ IMR-90?1
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX524980	Human endometrial stromal cells|Endometrial stromal cells	Utr@ Endometrial stromal cells?0
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX371599	LNCaP|Prostate cancer cell line LNCaP	Prs@ LNCAP?1
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX356806	MS1|Lymphoblastoid Cell Lines	Bld@ MS1?0
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX356711	19240|Lymphoblastoid Cell Lines	Bld@ GM19240?4
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX294974	fetal lung fibroblast	Lng@ Lung fibroblasts?0
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX252739	Primary Tissue|Fetal Intestine, Small|UW|None	Dig@ Intestine, Small?3
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX038683	NHLF|cultured NHLF cells	Lng@ NHLF?4
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX038663	NHEK|cultured NHEK cells	Epd@ NHEK?4
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX038621	HUVEC|cultured HUVEC cells	CDV@ HUVEC?1
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX038601	HSMM|cultured HSMM cells	Myo@ HSMM?4
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX038581	HMEC|cultured HMEC cells	Brs@ HMEC?1
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX038523	GM12878|cultured GM12878 cells	Bld@ GM12878?4
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX027921	HeLa B2|HeLa B2 cells|immortal cervical cancer cell	Utr@ HeLa?1
20	20	http://www.ncbi.nlm.nih.gov/sra?term=SRX023668	HeLa Kyoto cell line|Human cervical carcinoma cell line	Utr@ HeLa?1
19	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX396269	diploid fibroblast	Oth@ Fibroblasts?0
19	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX356688	19239|Lymphoblastoid Cell Lines	Bld@ GM19239?4
19	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX356544	12892|Lymphoblastoid Cell Lines	Bld@ GM12892?4
19	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX356522	12891|Lymphoblastoid Cell Lines	Bld@ GM12891?4
19	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX201836	Primary Tissue|Fetal Muscle, Arm|UW|None	Myo@ Fetal muscle?0
19	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX199902	A549|A549|epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male. - ATCC, newly promoted to tier 2: not in 2011 analysis|endoderm	Lng@ A549?1
19	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX038561	HepG2|cultured HepG2 cells	Liv@ Hep G2?1
1	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX100399	HCT-116	Dig@ HCT 116?1
1	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX040399	Primary Tissue|Fetal Thymus|UW|None	Oth@ Thymus?0
1	19	http://www.ncbi.nlm.nih.gov/sra?term=SRX038524	H1|cultured H1 cells	PSC@ hESC H1?0
3	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX062368	Primary Tissue|fetal lung|UW|None	Lng@ Fetal lung?0
18	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX356666	19238|Lymphoblastoid Cell Lines	Bld@ GM19238?4
18	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX1165104	HepG2|HepG2 cells|Hepatocellular Carcinoma	HepG2|HepG2 cells|Hepatocellular Carcinoma
18	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX100275	H3396 cells|H3396 cells	Brs@ H3396?0
1	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX190484	HeLa Cells|HeLa Cells	Utr@ HeLa?1
1	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX190189	ECC-1	ECC-1
1	18	http://www.ncbi.nlm.nih.gov/sra?term=SRX014750	NB4 cells	Bld@ NB-4?1
2	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX684288	HeLa-LTR-Luciferase cells|HeLa-LTR-Luciferase cells	HeLa-LTR-Luciferase cells|HeLa-LTR-Luciferase cells
2	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX327755	Multiple myeloma|MM1.S	Bld@ MM.1S?1
2	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX218217	K562 cells|K562 cells	Bld@ K-562?1
17	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX265234	ME-1|ME-1 cell line (leukemic)|leukemic cell line	Bld@ ME-1?1
17	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX150720	MCF10A-Er-Src|MCF10A-Er-Src|mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER)|ectoderm	Brs@ MCF 10A?1
17	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX102992	K562|leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC|mesoderm	Bld@ K-562?1
17	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX047085	LNCaP|Prostate cancer cell line (LNCaP)	Prs@ LNCAP?1
17	17	http://www.ncbi.nlm.nih.gov/sra?term=SRX019521	hASC, ChIP|Adipose stromal cell (ASC) adipocyte	Adp@ Adipose stromal cell?0
2	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX190196	HepG2	Liv@ Hep G2?1
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX620749	IMR90|IMR90 fetal lung fibroblasts	Lng@ IMR-90?1
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX564204	MCF-7 breast cancer cells|MCF-7	Brs@ MCF-7?1
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX553435	Multiple myeloma|Multiple myeloma	Bld@ Multiple Myeloma?3
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX356500	12890|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines?0
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX327770	Small Cell Lung Carcinoma|H2171	Lng@ NCI-H2171?1
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX214042	Primary Tissue|Fetal Muscle, Back|UW|None	Myo@ Fetal muscle?0
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX193600	HUVEC|HUVEC|umbilical vein endothelial cells|mesoderm	CDV@ HUVEC?1
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX1094522	293Trex_B4Nflag|293Trex|293Trex (cells originating from embryonic kidney)	293Trex_B4Nflag|293Trex|293Trex (cells originating from embryonic kidney)
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX102991	GM12878|B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus|mesoderm	Bld@ GM12878?4
16	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX038748	MCF-7|MCF-7 breast cancer cells|breast cancer cells	Brs@ MCF-7?1
1	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX334236	Hes6_OE	Unc@ Unclassified
1	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX259801	HeLa cell	Utr@ HeLa?1
1	16	http://www.ncbi.nlm.nih.gov/sra?term=SRX212351	macrophage	Bld@ Macrophages?3
9	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX199879	HCT-116|HCT-116|colorectal carcinoma (PMID: 7214343)|endoderm	Dig@ HCT 116?1
2	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX725577	T-ALL|Jurkat	Bld@ Jurkat?1
2	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX017983	GM12878|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM12878?4
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX736618	Th cells	Bld@ Th1 Cells?3
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX527885	Cultured HEK293T cells	Cultured HEK293T cells
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX498151	Raji B|Raji B-cell line	Bld@ RAJI?1
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX373733	CUTLL1|CUTLL1|T lymphocyte|T lymphoblastic leukemia/lymphoma cell line	Bld@ CUTLL1?0
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX356783	2630|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines?0
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX356765	2610|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines?0
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX356747	2588|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines?0
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX356729	2255|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines?0
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX356560	18486|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines?0
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX356454	10847|Lymphoblastoid Cell Lines	Bld@ GM10847?4
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX198040	CD4+ T cells|CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes?3
15	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX1098193	K562|Cultured K562 cells	K562|Cultured K562 cells
15	15	http://www.ncbi.nlm.nih.gov/sra?term=ERX334681	H1|embryonic stem cell	PSC@ hESC H1?0
1	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX701967	HUES64|dEC|dEC	PSC@ hESC derived ectodermal cells?0
1	15	http://www.ncbi.nlm.nih.gov/sra?term=SRX392792	Jurkat-NRSF|Jurkat	Bld@ Jurkat?1
3	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX270966	Primary Tissue|Gastric|N/A|None	Dig@ Gastric primary sample?0
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX813779	Adipocyte|SGBS adipocyte D10	Adipocyte|SGBS adipocyte D10
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX673726	MCF7|MCF7 Tet-On Inducible stable line|beast cancer cell line	Brs@ MCF-7?1
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX658612	Jurkat|T-ALL cell line	Bld@ Jurkat?1
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX651502	Lymphoblastoid cell lines|lymphoblastic cell line	Bld@ Lymphoblastoid cell line?4
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX447603	MM1.S|Multiple myeloma	Bld@ MM.1S?1
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX396592	Hs68|Cultured fibroblasts|normal foreskin	Epd@ Hs 68?1
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX396289	293T Rex cell line	Kid@ 293?1
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX356645	19193|Lymphoblastoid Cell Lines	Bld@ GM19193?4
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX356628	19099|Lymphoblastoid Cell Lines	Bld@ GM19099?4
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX356611	18951|Lymphoblastoid Cell Lines	Bld@ GM18951?4
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX356594	18526|Lymphoblastoid Cell Lines	Bld@ GM18526?4
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX356577	18505|Lymphoblastoid Cell Lines	Bld@ GM18505?4
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX340823	FACS-sorted pancreatic islet|Beta|pancreatic islets	Pan@ Pancreatic islets?0
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX276787	DU145 prostate cancer cells|DU145 prostate cancer cells	Prs@ DU 145?1
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX173209	LNCaP-1F5 cells|LNCaP-1F5 cells|Prostate epithelial cells derived from metastatic prostate carcinoma, genetically engineered to express rat glucocorticoid receptor (Cleutjens et al., 1997).	Prs@ LNCAP?1
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX135563	iPS 19.11|Cell Line|Induced pluripotent stem cell line derived from foreskin fibroblasts|None|Induced pluripotent stem cell	PSC@ iPS cells?0
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX102988	A549|epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male. - ATCC, newly promoted to tier 2: not in 2011 analysis	Lng@ A549?1
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX067508	HUVEC|umbilical vein endothelial cells	CDV@ HUVEC?1
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX028650	K562|chronic myeloid leukemia cell line	Bld@ K-562?1
14	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX019344	prefrontal cortex|neurons from prefrontal cortex	Neu@ Prefrontal Cortex?3
14	14	http://www.ncbi.nlm.nih.gov/sra?term=ERX302077	iMSC3|immortalized mesenchymal stem cell|day-0 undifferentiated	Oth@ Mesenchymal stem cells?0
1	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX581547	Macrophages(BC8)|Macrophages(BC8)	Macrophages(BC8)|Macrophages(BC8)
1	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX392807	GM12878|GM12878-p300	Bld@ GM12878?4
1	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX334244	Empty_Vector	Unc@ Unclassified
1	14	http://www.ncbi.nlm.nih.gov/sra?term=SRX067410	HeLa-S3	Utr@ HeLa?1
5	13	http://www.ncbi.nlm.nih.gov/sra?term=SRX263912	Primary Tissue|Psoas Muscle|N/A|None	Myo@ Muscles?3
3	13	http://www.ncbi.nlm.nih.gov/sra?term=SRX327751	Glioblastoma|U87	Neu@ U-87 MG?1
2	13	http://www.ncbi.nlm.nih.gov/sra?term=SRX017992	GM12891|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM12891?4
