NoCell	NoD@ NA
breast carcinoma|primary breast tumor	Brs@ Breast cancer
B-cell lymphoma|P493-6	Bld@ P493-6
MCF-7|breast|epithelial	Brs@ MCF-7
Jurkat|Peripheral blood cells	Bld@ Jurkat
293T-Rex|293T-Rex	Kid@ 293
CD19+ B cells|follicular lymphoma|LN	Bld@ B-Lymphocytes
MCF7|MCF7|beast cancer cell line	Brs@ MCF-7
HUES64|dME|dME	PSC@ hESC derived mesendodermal cells
LNCaP|prostate cancer cells	Prs@ LNCAP
H7-hESC|H7-hESC|undifferentiated embryonic stem cells|inner cell mass	PSC@ hESC H7
lymphoblastoid cells	Bld@ Lymphoblastoid cells
GM12878|B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus|mesoderm	Bld@ GM12878
HeLa S3	Utr@ HeLa
MCF-7|breast cancer	Brs@ MCF-7
GP5d|GP5d|colon adenocarcinoma	Dig@ GP5d
K562|leukemia, The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises. - ATCC|mesoderm	Bld@ K-562
Primary Human Umbilical Vein Endothelial Cells|Primary Human Umbilical Vein Endothelial Cells	CDV@ Primary umbilical vein endothelial cells
islet of Langerhans|adult	Pan@ Pancreatic islets
MDA-MB-453|epithelial	Brs@ MDA-MB-453
MCF7|MCF7 breast cancer cells|Human breast adenocarcinoma	Brs@ MCF-7
Gastric Primary Sample|Tumor	Dig@ Gastric primary sample
Gastric Primary Sample|Normal	Dig@ Gastric primary sample
Human Embryonic Kidney 293 cells|HEK293T cell	Kid@ 293
ECC-1|epithelial cell line derived from an endometrium adenocarcinoma, fetal membranes were collected from women who underwent planned cesarean delivery at term, before labor and without rupture of membranes|endoderm	Utr@ ECC-1
sperm	Gon@ Sperm
H1-hESC|H1-hESC|embryonic stem cells|inner cell mass	PSC@ hESC H1
Pancreatic islets|Pancreatic islets	Pan@ Pancreatic islets
KB cells	Utr@ KB
hMADS-3|human adipose-derived stem cells|human adipose-derived stem cells	Adp@ Adipose-Derived Mesenchymal Stem Cells
12878|Lymphoblastoid Cell Lines	Bld@ GM12878
HUVECs|Human umbilical vein cells	CDV@ HUVEC
Primary Tissue|Fetal Intestine, Large|UW|None	Dig@ Colon
SK-N-SH|neuroblastoma, newly promoted to tier 2: not in 2011 analysis, the SK-N-SH line was established from a neuroblastoma in a 4 year old individual.|ectoderm	Neu@ SK-N-SH
Cyt49|embryonic stem cell|embryo	PSC@ hESC Cyt49
U20S	Bon@ U2OS
HCT116|Colon cancer cell line|human colon cancer cell	Dig@ HCT 116
LNCaP cells|prostate cancer cells	Prs@ LNCAP
CD4+ T cell|CD4+ T cell	Bld@ CD4-Positive T-Lymphocytes
MCF-7|mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis|ectoderm	Brs@ MCF-7
Fibroblast-derived iPSC	PSC@ iPS cells
low passage primary melanoma cultures|low passage primary melanoma cultures	Epd@ Melanoma
MCF7|Human breast adenocarcinoma cell-line MCF7	Brs@ MCF-7
Primary Tissue|Fetal Muscle, Leg|UW|None	Myo@ Fetal muscle
MCF-7|MCF-7|mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis|ectoderm	Brs@ MCF-7
K562|cultured K562 cells	Bld@ K-562
IMR90|Fibroblasts	Lng@ IMR-90
MCF-7|breast epithelial	Brs@ MCF-7
MCF7|breast	Brs@ MCF-7
Peripheral blood cells|CD14+ monocytes	Bld@ Monocytes-CD14+
MCF10A|breast|Epithelial|MCF10A-Er-Src	Brs@ MCF 10A
HUVEC|endothelium	CDV@ HUVEC
A549	Lng@ A549
Primary Tissue|Fetal Stomach|UW|None	Dig@ Stomach
CAL51	Brs@ CAL-51
IMR90 human primary lung embryo fibroblasts|Lung Fibroblasts|contact-inhibited IMR90	Lng@ IMR-90
Human endometrial stromal cells|Endometrial stromal cells	Utr@ Endometrial stromal cells
LNCaP|Prostate cancer cell line LNCaP	Prs@ LNCAP
MS1|Lymphoblastoid Cell Lines	Bld@ MS1
19240|Lymphoblastoid Cell Lines	Bld@ GM19240
fetal lung fibroblast	Lng@ Lung fibroblasts
Primary Tissue|Fetal Intestine, Small|UW|None	Dig@ Intestine, Small
H1-hESC|embryonic stem cells|inner cell mass	PSC@ hESC H1
NHLF|cultured NHLF cells	Lng@ NHLF
NHEK|cultured NHEK cells	Epd@ NHEK
HUVEC|cultured HUVEC cells	CDV@ HUVEC
HSMM|cultured HSMM cells	Myo@ HSMM
HMEC|cultured HMEC cells	Brs@ HMEC
GM12878|cultured GM12878 cells	Bld@ GM12878
HeLa B2|HeLa B2 cells|immortal cervical cancer cell	Utr@ HeLa
HeLa Kyoto cell line|Human cervical carcinoma cell line	Utr@ HeLa
diploid fibroblast	Oth@ Fibroblasts
19239|Lymphoblastoid Cell Lines	Bld@ GM19239
12892|Lymphoblastoid Cell Lines	Bld@ GM12892
12891|Lymphoblastoid Cell Lines	Bld@ GM12891
Primary Tissue|Fetal Muscle, Arm|UW|None	Myo@ Fetal muscle
HepG2|cultured HepG2 cells	Liv@ Hep G2
H1|cultured H1 cells	PSC@ hESC H1
Primary Tissue|Fetal Thymus|UW|None	Oth@ Thymus
HepG2|hepatocellular carcinoma|endoderm	Liv@ Hep G2
MCF-7	Brs@ MCF-7
Primary Tissue|fetal lung|UW|None	Lng@ Fetal lung
19238|Lymphoblastoid Cell Lines	Bld@ GM19238
HeLa Cells|HeLa Cells	Utr@ HeLa
H3396 cells|H3396 cells	Brs@ H3396
NB4 cells	Bld@ NB-4
Multiple myeloma|MM1.S	Bld@ MM.1S
ME-1|ME-1 cell line (leukemic)|leukemic cell line	Bld@ ME-1
K562 cells|K562 cells	Bld@ K-562
MCF10A-Er-Src|MCF10A-Er-Src|mammary gland, non-tumorigenic epithelial, inducible cell line, derived from the MCF-10A parental cells and contain ER-Src, a derivative of the Src kinase oncoprotein (v-Src) that is fused to the ligand-binding domain of the estrogen receptor (ER)|ectoderm	Brs@ MCF 10A
LNCaP|Prostate cancer cell line (LNCaP)	Prs@ LNCAP
hASC, ChIP|Adipose stromal cell (ASC) adipocyte	Adp@ Adipose stromal cell
HCT-116|colorectal carcinoma (PMID: 7214343)|endoderm	Dig@ HCT 116
IMR90|IMR90 fetal lung fibroblasts	Lng@ IMR-90
MCF-7 breast cancer cells|MCF-7	Brs@ MCF-7
Multiple myeloma|Multiple myeloma	Bld@ Multiple Myeloma
12890|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines
Small Cell Lung Carcinoma|H2171	Lng@ NCI-H2171
Primary Tissue|Fetal Muscle, Back|UW|None	Myo@ Fetal muscle
A549|A549|epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male. - ATCC, newly promoted to tier 2: not in 2011 analysis|endoderm	Lng@ A549
MCF-7|MCF-7 breast cancer cells|breast cancer cells	Brs@ MCF-7
Hes6_OE	Unc@ Unclassified
HeLa cell	Utr@ HeLa
macrophage	Bld@ Macrophages
GM12878|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM12878
Th cells	Bld@ Th1 Cells
Raji B|Raji B-cell line	Bld@ RAJI
CUTLL1|CUTLL1|T lymphocyte|T lymphoblastic leukemia/lymphoma cell line	Bld@ CUTLL1
2630|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines
2610|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines
2588|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines
2255|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines
18486|Lymphoblastoid Cell Lines	Bld@ Lymphoblastoid cell lines
10847|Lymphoblastoid Cell Lines	Bld@ GM10847
CD4+ T cells|CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
HUVEC|HUVEC|umbilical vein endothelial cells|mesoderm	CDV@ HUVEC
H1|embryonic stem cell	PSC@ hESC H1
HUES64|dEC|dEC	PSC@ hESC derived ectodermal cells
Jurkat-NRSF|Jurkat	Bld@ Jurkat
HCT-116|HCT-116|colorectal carcinoma (PMID: 7214343)|endoderm	Dig@ HCT 116
Primary Tissue|Gastric|N/A|None	Dig@ Gastric primary sample
MCF7|MCF7 Tet-On Inducible stable line|beast cancer cell line	Brs@ MCF-7
Jurkat|T-ALL cell line	Bld@ Jurkat
Lymphoblastoid cell lines|lymphoblastic cell line	Bld@ Lymphoblastoid cell line
MM1.S|Multiple myeloma	Bld@ MM.1S
Hs68|Cultured fibroblasts|normal foreskin	Epd@ Hs 68
293T Rex cell line	Kid@ 293
19193|Lymphoblastoid Cell Lines	Bld@ GM19193
19099|Lymphoblastoid Cell Lines	Bld@ GM19099
18951|Lymphoblastoid Cell Lines	Bld@ GM18951
18526|Lymphoblastoid Cell Lines	Bld@ GM18526
18505|Lymphoblastoid Cell Lines	Bld@ GM18505
FACS-sorted pancreatic islet|Beta|pancreatic islets	Pan@ Pancreatic islets
DU145 prostate cancer cells|DU145 prostate cancer cells	Prs@ DU 145
LNCaP-1F5 cells|LNCaP-1F5 cells|Prostate epithelial cells derived from metastatic prostate carcinoma, genetically engineered to express rat glucocorticoid receptor (Cleutjens et al., 1997).	Prs@ LNCAP
iPS 19.11|Cell Line|Induced pluripotent stem cell line derived from foreskin fibroblasts|None|Induced pluripotent stem cell	PSC@ iPS cells
A549|epithelial cell line derived from a lung carcinoma tissue. (PMID: 175022), This line was initiated in 1972 by D.J. Giard, et al. through explant culture of lung carcinomatous tissue from a 58-year-old caucasian male. - ATCC, newly promoted to tier 2: not in 2011 analysis	Lng@ A549
HUVEC|umbilical vein endothelial cells	CDV@ HUVEC
K562|chronic myeloid leukemia cell line	Bld@ K-562
prefrontal cortex|neurons from prefrontal cortex	Neu@ Prefrontal Cortex
iMSC3|immortalized mesenchymal stem cell|day-0 undifferentiated	Oth@ Mesenchymal stem cells
GM12878|GM12878-p300	Bld@ GM12878
Empty_Vector	Unc@ Unclassified
HeLa-S3	Utr@ HeLa
Primary Tissue|Psoas Muscle|N/A|None	Myo@ Muscles
Glioblastoma|U87	Neu@ U-87 MG
GM12891|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM12891
GM10847|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM10847
GM18505|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM18526
dESC Tissue Culture|Decidualized DSC	Unc@ Unclassified
VCaP|prostate cancer cells	Prs@ VCaP
OCI-LY3|ABC DLBCL|Diffuse large B-cell lymphoma (DLBCL)	Bld@ OCI-LY-3
Human neonatal foreskin keratinocytes	Epd@ Keratinocytes
FACS-sorted pancreatic islet|Alpha|pancreatic islets	Pan@ Pancreatic islets
CD4+CD25+CD45RA+ expanded naive regulatory T cells|CD4+CD25+CD45RA+ expanded naive regulatory T cells	Bld@ CD4-Positive T-Lymphocytes
Primary Tissue|Fetal Lung, Left|UW|None	Lng@ Fetal lung
LS180 cells|cultured CRC cells	Dig@ LS-180
HSMM|skeletal muscle myoblasts|mesoderm	Myo@ HSMM
hASC, ChIP|Adipose stromal cell (ASC) pre-adipocyte	Adp@ Adipose stromal cell
CD19+/CD10+/CD44low/CXCR4- B cells|centrocyte|Tonsil	Bld@ B-Lymphocytes
CD19+/CD10+/CD44low/CXCR4+ B cells|centroblast|Tonsil	Bld@ B-Lymphocytes
HEK293T/17	Kid@ 293
Dnd41	Bld@ DND-41
Primary Tissue|Fetal Placenta|UW|None	Plc@ Placenta
MCF-7|breast|adult	Brs@ MCF-7
HeLa	Utr@ HeLa
Primary Tissue|Fetal Heart|UW|None	CDV@ Heart
Primary Tissue|fetal brain|UW|None	Neu@ Fetal brain
GM18951|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM18951
GM15510|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM15510
U2OS	Bon@ U2OS
Primary CXCR5hi CD4 T cells isolated from human tonsils|CXCR5hi PD1hi CD45RO+ CD4+ T cells, CD19|tonsil	Bld@ CD4-Positive T-Lymphocytes
ICM-derived LIS2|human ICM-derived ES cell line|ESCs	PSC@ hESC LIS2
CyT49|Pancreatic endoderm|hESC derived pancreatic endoderm	PSC@ hESC derived mesendodermal cells
Human breast cells|MCF7	Brs@ MCF-7
Human breast cells|MCF10A	Brs@ MCF 10A
BEAS-2B cells	Lng@ BEAS-2B
HEK 293T|Human Embryonic Kidney	Kid@ 293
C1|iPS Cells|iPS Cells	PSC@ iPS cells
Primary Tissue|Sigmoid Colon|N/A|None	Dig@ Colon
Primary Cell|CD19 Primary Cells|None|CD19+	Bld@ B-cell (CD19+)
Primary Tissue|Fetal Spinal Cord|UW|None	Neu@ Fetal Spinal Cord
Primary Cell|CD8 Primary Cells|None|CD8+	Bld@ CD8+
Multiple myeloma|Plasma cell	Bld@ Multiple Myeloma
HCT116|HCT116 cell culture	Dig@ HCT 116
Primary Tissue|Fetal Adrenal Gland|UW|None	Oth@ Adrenal Glands
OC-LY1|Diffuse Large B-Cell Lymphoma	Bld@ OCI-LY1
AML-patient-derived cell lines t(8;21) Kasumi-1|Kasumi-1 cell culture	Bld@ Kasumi-1
derived from biopsy of fibrosarcoma of Human male	Oth@ Fibrosarcoma
Primary (live-frozen) CD4+ cells	Bld@ CD4+
Cultured CD4+ cells	Bld@ CD4+
IMR90|IMR90|fetal lung fibroblasts, newly promoted to tier 2: not in 2011 analysis|endoderm	Lng@ IMR-90
C4-2B|prostate cancer cells	Bld@ C4-2
HeLa S3|cervical cancer cell line	Utr@ HeLa
Primary Tissue|Left Ventricle|N/A|None	CDV@ Heart Ventricles
HCT116|human colorectal carcinoma cell line HCT116	Dig@ HCT 116
A549|A549 cells	Lng@ A549
CCRF-CEM|T-ALL cell line	Bld@ CCRF-CEM
IMR90 human primary lung embryo fibroblasts|lung fibroblasts|contact-inhibited IMR90	Lng@ IMR-90
HeLa, cycling|Suspension HeLa cells	Utr@ HeLa
HUES64|Cell Line|embrionic stem cell|none|undifferentiated	PSC@ hESC HUES64
HUES48|Cell Line|embrionic stem cell|none|undifferentiated	PSC@ hESC HUES48
NHEK|epidermal keratinocytes	Epd@ NHEK
H1|Cell Line|undifferentiated|none|stage_zero	PSC@ hESC H1
MV4-11|AML	Bld@ MV-4-11
GM12878|GM12878-NRSF	Bld@ GM12878
WIBR3|hES Cells|hES Cells	PSC@ hESC WIBR3
Monocytes-CD14+_RO01746	Bld@ Monocytes-CD14+
CD36	Bld@ CD36+
HepG2|liver|adult	Liv@ Hep G2
LNCaP|LNCaP	Prs@ LNCAP
MCF7|MCF7	Brs@ MCF-7
GM18526|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM18526
GM19193|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM19193
ICM-derived WIS2|human ICM-derived ES cell line|ESCs	PSC@ hESC WIS2
neural precursor cell: mid radial glial|ES-derived neural progenitor cells	PSC@ hESC derived neural cells
neural precursor cell: neuroepithelial|ES-derived neural progenitor cells	PSC@ hESC derived neural cells
OCI-LY1|Human DLBCL cell line	Bld@ OCI-LY1
iSLK-219|Kidney epithelium|Kidney epithelial cells	Kid@ iSLK
BF|Cultured fibroblasts|normal breast	Brs@ Breast cells
MCF7|MCF7 cell line	Brs@ MCF-7
Primary Tissue|Right Ventricle|N/A|None	CDV@ Heart Ventricles
Primary Cell|CD4 Primary Cells|None|CD4+	Bld@ CD4+
Human Embryonal Kidney Cells|Isogenic HEK293 Cells	Kid@ 293
M0-91 cells|M0-91 cells|acute myelogenous leukemia cell line	Bld@ M0-91
HeLa cell|HeLa cell	Utr@ HeLa
CD56+ mesoderm|Cell Line|mesoderm|presumed normal|intermediate	PSC@ hESC derived mesendodermal cells
Primary Tissue|Fetal Lung, Right|UW|None	Lng@ Fetal lung
Primary Tissue|Fetal Renal Cortex|UW|None	Kid@ Kidney Cortex
WI-38|WI-38 cell culture|hTERT-immortalized WI-38 primary human lung fibroblasts	Lng@ WI-38
Human erythromyeloblastoid leukemia cell line K562|Chronic myeloid leukaemia|Cultured cancer cell line	Bld@ K-562
iPS 6.9|Cell Line|Induced pluripotent stem cell line derived from foreskin fibroblasts|None|Induced pluripotent stem cell	PSC@ iPS cells
HSMMtube|skeletal muscle myotubes differentiated from the HSMM cell line|mesoderm	Myo@ HSMM
HUES 6|Cell Line|embrionic stem cell|none|undifferentiated	PSC@ hESC HUES6
Tumor	Oth@ Tumor
Primary Tissue|Fetal Kidney|UW|None	Kid@ Fetal kidney
HeLa-S3|ectoderm	Utr@ HeLa
HeLa|HeLa	Utr@ HeLa
GM12892|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM12892
GM19099|Lymphoblastoid Cells|Lymphoblastoid cell	Bld@ GM19099
MCF7|Breast cancer cells	Brs@ MCF-7
neural precursor cell: early radial glial|ES-derived neural progenitor cells	PSC@ hESC derived neural cells
H9|human H9 cell lines	PSC@ hESC H9
HeLa|HeLa|IP with Ab  RNAPII rabbit polyclonal N20 (Santa Cruz, sc-899)	Utr@ HeLa
B-cell lymphoma cell line|P493-6	Bld@ P493-6
Breast cancer cell line T47D-MTVL|Breast cancer cell line	Brs@ T-47D
TIVE-LTC|TIVE-LTC|Long-Term-Infected Telomerase-Immortalized Vein Endothelial Cells	Utr@ TIVE-LTC
Human breast cancer cell line|MCF7	Brs@ MCF-7
Human Kidney Embryonic Cell line HEK293|HEK293	Kid@ 293
VCaP|VCaP cell line	Prs@ VCaP
U2OS cells|U2OS Cells	Bon@ U2OS
Primary Tissue|Fetal Muscle, Trunk|UW|None	Myo@ Fetal muscle
MCF7 cells|MCF7 cells|breast cancer cell line	Brs@ MCF-7
Primary Cell|CD14 Primary Cells|None|CD14+	Bld@ Monocytes-CD14+
Primary Tissue|Fetal Renal Pelvis|UW|None	Kid@ Kidney Pelvis
T-47D|epithelial cell line derived from a mammary ductal carcinoma.	Brs@ T-47D
SK-N-SH|SK-N-SH|neuroblastoma, newly promoted to tier 2: not in 2011 analysis, the SK-N-SH line was established from a neuroblastoma in a 4 year old individual.|ectoderm	Neu@ SK-N-SH
HUES64 derived CD184+|Cell Line|NA|presumed normal|differentiated	PSC@ hESC derived mesendodermal cells
Colon cancer_input DNA|Colon Cancer	Dig@ Colon cancer
Colon cancer_H3K4me1_ChIPSeq|Colon Cancer	Dig@ Colon cancer
HMEC|mammary epithelial cells|ectoderm	Brs@ HMEC
CD4+ T cells	Bld@ CD4-Positive T-Lymphocytes
CD36+ primary hematopoietic stem cells/progenitor cells (HSCs/HPCs)cells	Bld@ CD36+
skin fibroblast	Epd@ Dermal fibroblast
Testis	Gon@ Testis
Primary Tissue|Spleen|N/A|None	Oth@ Spleen
NHLF|lung fibroblasts|endoderm	Lng@ NHLF
UPR9 cells	Bld@ UPR9
Pancreas	Pan@ Pancreas
HEPG2|liver	Liv@ Hep G2
Raji cells|Raji cells	Bld@ RAJI
HEK293 cells, retrovirally transduced|cultured cell line	Kid@ 293
umbilical cord blood|CD34+ cells	Bld@ CD34+
HCT116 colorectal cancer cells	Dig@ HCT 116
FACS-sorted pancreatic islet|Exocrine|pancreatic islets	Pan@ Pancreatic islets
Primary Tissue|Small Intestine|N/A|None	Dig@ Intestine, Small
Primary Cell|CD3 Primary Cells|None|CD3+	Bld@ CD3+
CD4+CD25- expanded conventional T cells|CD4+CD25- expanded conventional T cells	Bld@ CD4-Positive T-Lymphocytes
Primary Cell|CD56 Primary Cells|None|CD56+	Bld@ CD56+
Primary Tissue|Fetal Kidney, Right|UW|None	Kid@ Fetal kidney
PANC-1|PANC-1|pancreatic carcinoma, (PMID: 1140870) PANC-1 was established from a pancreatic carcinoma, which was extracted via pancreatico-duodenectomy specimen from a 56-year-old Caucasian individual. Malignancy of this cell line was verified via in vitro and in vivo assays.|endoderm	Pan@ PANC-1
UKE-1|UKE-1|Leukemia cell line	Bld@ UKE-1
LX2|human LX2 cells|human hepatic stellate cells	Liv@ LX2
Monocytes|primary monocyte	Bld@ Monocytes
VCaP|Hormone refractory prostate cancer cells	Prs@ VCaP
HEK293|Transformed embryonic kidney cell line	Kid@ 293
H9|endoderm precursor cells|ESC-derived endoderm	PSC@ hESC derived mesendodermal cells
H9|human embryonic stem cells|embryonic stem cells	PSC@ hESC H9
H1|embryonic stem cells	PSC@ hESC H1
CD133+ primary hematopoietic stem cells/progenitor cells (HSCs/HPCs)cells	Bld@ Hematopoietic Stem Cells
H9|embryonic stem cell	PSC@ hESC H9
NA12892|lymphoblastoid cell	Bld@ GM12892
NA12878|lymphoblastoid cell	Bld@ GM12878
NA12891|lymphoblastoid cell	Bld@ GM12891
NA19238|lymphoblastoid cell	Bld@ GM19238
NA19239|lymphoblastoid cell	Bld@ GM19239
NA19240|lymphoblastoid cell	Bld@ GM19240
T-ALL|Jurkat	Bld@ Jurkat
hepatocytes	Liv@ Hepatocytes
EWS502|Ewing Sarcoma cells	Bon@ EWS502
MOLM-1|myeloblast	Bld@ MOLM-1
CyT49|Posterior foregut|hESC derived posterior foregut	PSC@ hESC derived mesendodermal cells
CyT49|Primitive gut tube|hESC derived primitive gut tube	PSC@ hESC derived mesendodermal cells
CD19+ B cells|peripheral blood B cells|Activated (IL4, anti-CD40, IgM, and IgD) peripheral blood	Bld@ B-Lymphocytes
human embryonic stem cell line H9|embryonic stem cells	PSC@ hESC H9
Hela cells|Hela Cells	Utr@ HeLa
Vertebral Cancer of Prostate (VCaP)|VCaP cells|bone metastasis of prostate cancer	Prs@ VCaP
DKO1|DKO1 cells|colon cancer cell line; DNMT3B &amp; DNM1 KO	Dig@ Colon cancer
HCT116|HCT116 cells|colon cancer cell line	Dig@ HCT 116
HeLa|HeLa|IP with non-commercial rabbit anti-ELL2 Ref PMID 20159561	Utr@ HeLa
HeLa|HeLa|IP with non-commercial rabbit anti-AFF4 Ref PMID 20159561	Utr@ HeLa
MCF-7 TTE-MBD2	Brs@ MCF-7
LNCaP cells	Prs@ LNCAP
PC-3 prostate cancer cells|PC-3 cells	Prs@ PC-3
LY1|Diffuse Large B-Cell Lymphoma|Diffuse Large B-Cell Lymphoma	Bld@ OCI-LY1
DLD1 colon cancer cells|DLD1 colon cancer cells	Dig@ DLD-1
HeLa|HeLa cells	Utr@ HeLa
WA09|WA09|Human embryonic stem cells	PSC@ hESC WA09
BCBL-1|BCBL-1|Primary effusion lymphoma (PEL) cell line	Bld@ BCBL1
Diffuse Large B-Cell Lymphoma|primary diffuse large B-cell lymphoma tumor	Bld@ Lymphoma, B-Cell
Primary Tissue|Pancreas|N/A|iron deficiency, bipolar	Pan@ Pancreas
peripheral blood|monocyte derived macrophages	Bld@ Macrophages
MCF7|breast cancer cells|breast cancer cells	Brs@ MCF-7
CD34+ cells|CD34+ cells	Bld@ CD34+
MCF7|Breast cancer cells|Pleural effusion	Brs@ MCF-7
Jurkat E6-1|T-ALL cell line	Bld@ Jurkat (Clone E6-1)
LNCaP prostate cancer cells|LNCaP cells	Prs@ LNCAP
Monocyte-derived macrophage|Monocyte-derived macrophage	Bld@ Macrophages
Primary Tissue|Fetal Kidney, Left|UW|None	Kid@ Fetal kidney
WI-38|WI-38|embryonic lung fibroblast cells, hTERT immortalized, includes Raf1 construct|endoderm	Lng@ WI-38
NB4|NB4|acute promyelocytic leukemia cell line. (PMID: 1995093)|mesoderm	Bld@ NB-4
CD34-pos cell in erythroid differentiation|primary CD34+ stem/progenitor cells	Bld@ CD34 Hematopoietic stem cells
LNCaP-abl (abl) prostate cancer cells|prostate cancer cells	Prs@ LNCAP
fibroblast derived from H1|Fibroblasts differentiated from H1 ES cells (dH1f)	PSC@ hESC derived fibroblasts
T-ALL primagraft	Bld@ T-ALL
GM12891|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1463, treatment: Epstein-Barr Virus transformed	Bld@ GM12891
HepG2|HepG2|liver carcinoma|endoderm	Liv@ Hep G2
HCT-116|colon cancer cell line	Dig@ HCT 116
NHDF-Ad|adult dermal fibroblasts|mesoderm	Epd@ NHDF
LNCaP androgen-dependent prostate cancer cell line|LNCaP prostate cancer cells	Prs@ LNCAP
T cell|T cell	Bld@ T-Lymphocytes
H9 ESC|Human embryonic stem cells	PSC@ hESC H9
epithelial|breast|breast cancer	Brs@ Breast cancer cells
PrEC|PrEC	Prs@ PrEC
MCF-7|breast cancer cells	Brs@ MCF-7
Primary Tissue|fetal kidney|UW|None	Kid@ Fetal kidney
AsiSI-ER-U20S	Bon@ U2OS
MCF-7|MCF-7	Brs@ MCF-7
U2OS cell line|osteosarcoma	Bon@ U2OS
primary HUVECs|endothelial cells	CDV@ HUVEC
Osteobl|osteoblasts (NHOst)|mesoderm	Bon@ Osteobl
NA19239|lymphoblastoid cell line|Yoruba from Ibadan, Nigeria (YRI)	Bld@ GM19239
