SRA	SRX	MGI	old	new	judge
1	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX013066	E8-12|E8-12	Emb@ 8-12h embryos?0	
1	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX013051	E12-16|E12-16	Emb@ 12-16h embryos?0	
1	10	http://www.ncbi.nlm.nih.gov/sra?term=SRX013015	L2|L2	Lar@ 2nd instar?0	
9	9	http://www.ncbi.nlm.nih.gov/sra?term=SRX810435	S2|Cell culture	CeL@ S2?5	
9	9	http://www.ncbi.nlm.nih.gov/sra?term=SRX760499	whole embryos, 0-16 hours	Emb@ 0-16h embryos?0	
9	9	http://www.ncbi.nlm.nih.gov/sra?term=SRX450798	Wild Type|Salivary Glands|Salivary Gland Cells|Third instar larvae	Lar@ Salivary glands?0	
9	9	http://www.ncbi.nlm.nih.gov/sra?term=SRX197585	Staged embryos|pre-MBT 01to02h AEL	Emb@ 1-2h embryos?0	
9	9	http://www.ncbi.nlm.nih.gov/sra?term=SRX111807	iso1 (y; bw cn sp)|E8-16|E8-16	Emb@ 8-16h embryos?0	
1	9	http://www.ncbi.nlm.nih.gov/sra?term=SRX750070	embryo|NC13	Emb@ Mitotic cycle 13?0	
1	9	http://www.ncbi.nlm.nih.gov/sra?term=SRX013009	L1|L1	Lar@ 1st instar?0	
1	9	http://www.ncbi.nlm.nih.gov/sra?term=SRX013007	L3|L3	Lar@ 3rd instar?0	
8	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX811244	EZ2-2; E(z) temperature sensitive cells|EZ2-2 ; E(z) temperature sensitive cells	Adl@ Temperature sensitive cells?0	
8	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX729176	Canton S(B)|Whole Body	Adl@ Adult body?0	
8	8	http://www.ncbi.nlm.nih.gov/sra?term=ERX101811	salivary gland|3rd instar larva	Lar@ Salivary glands?0	
8	8	http://www.ncbi.nlm.nih.gov/sra?term=ERX008197	embryonic stage 5 to 8	Emb@ 2-4h embryos?0	
1	8	http://www.ncbi.nlm.nih.gov/sra?term=SRX013013	AdultMale|AdultMale	Adl@ Adult male?0	
1	8	http://www.ncbi.nlm.nih.gov/sra?term=ERX402102	S2R+	CeL@ S2?5	
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX202129	S3 cells|S3 late embryonic cells	CeL@ S3?5	
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX202122	S2 cells|S2 late embryonic cells	CeL@ S2?5	
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX111821	iso1 (y; bw cn sp)|WPP|WPP	Pup@ White prepupae?0	
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX111814	iso1 (y; bw cn sp)|Kc167|Kc167	CeL@ Kc167?5	
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX100254	Kc167 Drosophila Embryonic|Kc cells	CeL@ Kc167?5	
7	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX097621	S2|Schneider's Drosophila Line 2|S2; Schneider's Drosophila Line 2;  Marco Blanchette's Lab	CeL@ S2?5	
2	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX336282	E0-12|E0-12	Emb@ 0-12h embryos?0	
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX135517	Head neurons|R57C10|Head	Adl@ Head neurons?0	
1	7	http://www.ncbi.nlm.nih.gov/sra?term=SRX1149355	ovaries|adult	Adl@ Ovary?0	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX885703	S2-DRSC|S2 cells (male embryo-derived cell line)|Embryo-derived cell-line	CeL@ S2?5	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX760385	whole embryos	Emb@ 10-12h embryos?0	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX647919	0-16h embryos|0-16h embryos	Emb@ 0-16h embryos?0	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX643415	S2 cells|S2 cell line	CeL@ S2?5	
6	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX128173	Kc167|Kc167 cells|Female late embryo derived cell line	CeL@ Kc167?5	
1	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX186108	BG3 cells	CeL@ ML-DmBG3-c2?5	
1	6	http://www.ncbi.nlm.nih.gov/sra?term=SRX013053	E4-8|E4-8	Emb@ 4-8h embryos?0	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX661066	yw|Whole cell embryonic extract|embryo|2-4 hour embryo	Emb@ 2-4h embryos?0	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX512268	Eye imaginal discs|eye imaginal discs|third instar larvae	Lar@ 3rd instar?0	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX457601	eye disks from 3rd instar larvae	Lar@ Eye-antennal discs?0	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX183890	Oregon R (wild type)|Input DNA|whole-embryo	Emb@ 2-4h embryos?0	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX183885	Oregon R (wild type)|Twist ChIP-Seq from 2-4 h wild type embryos|whole-embryo	Emb@ 2-4h embryos?0	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX135532	Octopaminergic neurons|Tdc2|Head	Adl@ Octopaminergic neurons?0	
5	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX018632	S2 cells-DRSC (lot 181A1)|S2	CeL@ S2?5	
2	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX041388	E0-4|E0-4	Emb@ 0-4h embryos?0	
1	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX113313	ISO1|E16-24|E16-24	Emb@ 16-24h embryos?0	
1	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX025484	E0-4h|E0-4h	Emb@ 0-4h embryos?0	
1	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX013089	E20-24|E20-24	Emb@ 20-24h embryos?0	
1	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX013021	E4-8|Embryos	Emb@ 4-8h embryos?0	
1	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX013005	E16-20|Embryos	Emb@ 16-20h embryos?0	
1	5	http://www.ncbi.nlm.nih.gov/sra?term=SRX013003	E0-4|Embryos	Emb@ 0-4h embryos?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX914966	H2Av?CT stage 13 follicle cell nuclei|egg chamber|13	Adl@ Egg chamber?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX914962	H2Av?CT stage 10B follicle cell nuclei|egg chamber|10B	Adl@ Egg chamber?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX914954	OrR stage 10B follicle cell nuclei|egg chamber|10B	Adl@ Egg chamber?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX907137	S2|Drosophila S2-RRP6-V5 cells grown in Schneider medium	CeL@ S2?5	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX706816	OrR|pooled stage 12 and 13 egg chambers|egg chamber|pooled stage 12 and 13	Adl@ Egg chamber?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX706812	OrR|stage 10 egg chambers from OrR|egg chamber|stage 10	Adl@ Egg chamber?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX471891	Oregon-R-modENCDOE|whole embryo	Emb@ 14-16h embryos?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX450800	JIL-1 -/-|Salivary Glands|Salivary Gland Cells|Third instar larvae	Lar@ Salivary glands?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX375355	Third instar larvae	Lar@ 3rd instar?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX370362	Adult Drosophila ovary|ovary	Adl@ Ovary?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX245840	IPC ablation mutants|female adult flies|whole organism	Adl@ Adult female?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX245836	chico heterozygous mutants|female adult flies|whole organism	Adl@ Adult female?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX202838	Female larvae	Adl@ Adult female?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX197576	Staged embryos|post-MBT 02to04h AEL	Emb@ 2-4h embryos?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX182777	wing imaginal discs|wing imaginal discs|third instar larvae	Lar@ Imaginal wing disc?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX170986	Kc167|Kc167|Embryonic Cell	CeL@ Kc167?5	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX159174	SL2|CLAMP ChIP SL2 cells control RNAi	CeL@ S2?5	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX159170	SL2|CLAMP ChIP SL2 cells MSL2 RNAi	CeL@ S2?5	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX159166	Kc|CLAMP ChIP Kc cells control RNAi	CeL@ Kc?5	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX149200	S2 experssing biotin-PH|S2 cell line	CeL@ S2?5	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX131082	Orgon R|ChIP against BEAF-32 Wing|L3 Wing imaginal disc-3rd instar	Lar@ Imaginal wing disc?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX128303	S2-DRSC cells|S2-DRSC cells	CeL@ S2?5	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX111788	iso1 (y; bw cn sp)|E0-8|E0-8	Emb@ 0-8h embryos?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX111784	iso1 (y; bw cn sp)|E0-12|E0-12	Emb@ 0-12h embryos?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX110799	Toll10b mutant	Emb@ 2-4h embryos?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX104984	eye-antenna imaginal disc|eye-antanna imaginal discs	Lar@ Eye-antennal discs?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX084582	DRSC-S2 cell line|DRSC-S2 cell line	CeL@ S2?5	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX042251	Adult male fatbody|Adult abdominal fatbody with associated abdominal cuticle, oenocytes and cuticular muscles	Adl@ Adult male fatbody?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX042249	Adult female fatbody|Adult abdominal fatbody with associated abdominal cuticle, oenocytes and cuticular muscles	Adl@ Adult female?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX032124	7T_W3L|: 7T_W3L	Lar@ 3rd instar?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX027391	white prepupae|white prepupae	Pup@ White prepupae?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX017857	bam testis|bam testis	Adl@ Testis?0	
4	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX017852	S2, ATCC, CLR-1963, Lot#5054622|S2 cells	CeL@ S2?5	
2	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX669641	S2|S2	CeL@ S2?5	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX372806	Staged embryos|2-4h AEL	Emb@ 2-4h embryos?0	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX202831	Male larvae	Lar@ Larvae?0	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX135524	Kenyon cells|OK107|Head	Adl@ Kenyon cells?0	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX099634	HSF IP	CeL@ S2?5	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX041392	WPP|WPP	Pup@ White prepupae?0	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX025486	Kc|Kc	CeL@ Kc?5	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX025462	E0-12h|E0-12h	Emb@ 0-12h embryos?0	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX013067	E16-20|E16-20	Emb@ 16-20h embryos?0	
1	4	http://www.ncbi.nlm.nih.gov/sra?term=SRX013019	E20-24|Embryos	Emb@ 20-24h embryos?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX992690	whole embryos|stage 13-14	Emb@ 13-14h embryos?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX490731	OrR|third instar salivary gland from OrR|salivary gland|third instar	Lar@ Salivary glands?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX390503	fruitfly testis nos&gt;shRNA E(z)|testis specifically expressing E(z) shmiR RNAi in germ cells	Adl@ Testis?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX386289	eye-antennal imaginal disc|eye-antennal imaginal disc|wandering 3rd instar larva	Lar@ Eye-antennal discs?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX367041	S2 cells|S2	CeL@ S2?5	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX326997	S2|ChIPed chromatin, Active Motif H2Av pAb #39715	CeL@ S2?5	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX320157	12-14 hour old embryos svb::GFP|embryo	Emb@ 12-14h embryos?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX301185	Pol II ChIP|S2	CeL@ S2?5	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX187084	OSC cells|OSC cells	CeL@ OSC?5	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX152095	Iso1|8-16hr embryo ChIP; Iso1 strain; Yki antibody|Whole embryo|Embryo, 8-16hr	Emb@ 8-16h embryos?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX152092	Iso1|8-16hr embryo ChIP; Iso1 strain; GAF antibody|Whole embryo|Embryo, 8-16hr	Emb@ 8-16h embryos?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX110784	neurons FAC sorted from dissociated embryos	Emb@ Neuronal cells?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX110782	Oregon R (wild type)	Unc@ Unclassified	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX101815	S2-DRSC|S2_roX2|modENCODE isolate of Schneider's line 2	CeL@ S2?5	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX066248	FACS isolated muscle cells|mef2+ muscle cells|stage 15-16 embryos	Emb@ Muscle cells?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX040618	wing imaginal discs, wild type, input|wing imaginal discs|third instar larvae	Lar@ Imaginal wing disc?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX032127	EcR_WPP-4-5h|: EcR_WPP-4-5h	Pup@ White prepupae?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX025477	7T|3dFemale from 7T	Adl@ Adult female?0	
3	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX018162	Kc genomic DNA	CeL@ Kc?5	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX336276	E0-8|E0-8	Emb@ 0-8h embryos?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX335517	AbdB-GFP|W3L	Lar@ 3rd instar?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX335512	Exd-GFP|E0-8	Emb@ 0-8h embryos?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX335506	Hr78-GFP|E8-16	Emb@ 8-16h embryos?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX335503	Hr78-GFP|W3L	Lar@ 3rd instar?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX335497	LolaI-GFP|W3L	Lar@ 3rd instar?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX335492	Notch-GFP|W3L	Lar@ 3rd instar?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX335489	Stat92E-GFP|E0-12	Emb@ 0-12h embryos?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX160144	S2R+ cells|embryonic cells	CeL@ S2?5	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX147004	Input|S2	CeL@ S2?5	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX113330	ISO1|WPP|WPP	Pup@ White prepupae?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX041381	EcR_mF3d|EcR_mF3d	Adl@ Adult female?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX033315	R13-E1-6h-Set2|R13-E1-6h-Set2	Emb@ 1-6h embryos?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX026864	E1-6h|E1-6h	Emb@ 1-6h embryos?0	
1	3	http://www.ncbi.nlm.nih.gov/sra?term=SRX025466	10T-W3L|10T-W3L	Lar@ 3rd instar?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX970862	adult intestines|intestines|adult	Adl@ Intestines?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX914958	OrR stage 13 follicle cells nuclei|egg chamber|13	Adl@ Egg chamber?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX914957	OrR stage 13 follicle cell nuclei|egg chamber|13	Adl@ Egg chamber?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX737177	eye-antennal discs|eye-antennal discs|third instar larvae	Lar@ Eye-antennal discs?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX683500	inp_CP190_PS7|embryo|parasegment 7	Emb@ Parasegment 7?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX683494	CP190_mixed|embryo|whole embryo	Emb@ 5-13h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681832	D. Melanogaster_PC Phdel|embryos	Emb@ 16-18h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681831	D. Melanogaster_PHO Phdel|embryos	Emb@ 16-18h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681830	D. Melanogaster_Input Phdel|embryos	Emb@ 16-18h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681829	D. Melanogaster_PC WT|embryos	Emb@ 16-18h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681828	D. Melanogaster_PHO WT|embryos	Emb@ 16-18h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681827	D. Melanogaster_Input WT|embryos	Emb@ 16-18h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681817	D. Melanogaster_PHO|embryos	Emb@ 4-12h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681798	D. Melanogaster_Input|embryos	Emb@ 4-12h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681797	D. Melanogaster_H3K4me3|embryos	Emb@ 4-12h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681796	D. Melanogaster_DSP1|embryos	Emb@ 4-12h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681795	D. Melanogaster_PC|embryos	Emb@ 4-12h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681794	D. Melanogaster_PH|embryos	Emb@ 4-12h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX681793	D. Melanogaster_H3K27me3|embryos	Emb@ 4-12h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX671959	input_Pc_PS7|embryo|parasegment 7	Emb@ Parasegment 7?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX671956	input_Pol2_PS7|embryo|parasegment 7	Emb@ Parasegment 7?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX671954	input_CTCF_mixed|embryo|whole embryo	Emb@ 5-13h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX671953	Suz12_mixed|embryo|whole embryo	Emb@ 5-13h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX671949	Pc_mixed|embryo|whole embryo	Emb@ 5-13h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX671947	Pc_PS7|embryo|parasegment 7	Emb@ Parasegment 7?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX671945	Pol2_mixed|embryo|whole embryo	Emb@ 5-13h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX671941	CTCF_mixed|embryo|whole embryo	Emb@ 5-13h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX645428	Eye-Antennal disc|Eye-Antennal disc|Wandering third instar larvae	Lar@ Eye-antennal discs?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX512269	Wing imaginal discs|wing imaginal discs|third instar larvae	Lar@ 3rd instar?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX507388	piwiNt/piwi2 (mutant)|mutant_mutant_anti-HP1|Ovaries	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX507384	piwi/+ (wildtype)|WT_WT_Anti-H3K4me2|Ovaries	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX507382	piwi/+ (wildtype)|WT_WT_Anti-H3K9me3|Ovaries	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX507380	piwi/+ (wildtype)|WT_WT_anti-HP1|Ovaries	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX490733	SuUR|third instar salivary gland from SuUR|salivary gland|third instar	Lar@ Salivary glands?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX485224	ChIP Input|ovary|4-6 days old adult	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX485222	H3K4me2 ChIP from control germline knock-down ovaries|ovary|4-6 days old adult	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX485218	H3K9me3 ChIP from piwi germline knock-down ovaries|ovary|4-6 days old adult	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX485216	H3K9me3 ChIP from rhino germline knock-down ovaries|ovary|4-6 days old adult	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX485214	H3K9me3 ChIP from control germline knock-down ovaries|ovary|4-6 days old adult	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX485208	Rhino ChIP from piwi germline knock-down ovaries|ovary|4-6 days old adult	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX485203	Rhino ChIP from control germline knock-down ovaries|ovary|4-6 days old adult	Adl@ Ovary?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX474615	input_Ph_PS7|embryo|parasegment 7	Emb@ Parasegment 7?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX474610	input_H3K4me3_mixed|embryo|whole embryo	Emb@ 5-13h embryos?0	
2	2	http://www.ncbi.nlm.nih.gov/sra?term=SRX474606	input_H3K27ac_mixed|embryo|whole embryo	Emb@ 5-13h embryos?0	
