NoAb	NoD@ NA
IgG|Wild type yeast cells	InP@ Input control
DNase-seq	DNS@ DNase-Seq
Anti H3K4me3 antibody are from Active Motif, 39159|BY4741	His@ H3K4me3
Anti H3K79me3 antibody are from Grunstein Lab|BY4741	His@ H3K79me3
none|asynchronous cells	InP@ Input control
rpd3 sir2 _BrdU IP	Oth@ BrdU
wild type_BrdU IP	Oth@ BrdU
Pol II antibody (4F8- HemholtzZentrum mnchen )|Yeast MT	Pol@ RNA Polymerase II
IgG|HSF1 TAP-tagged yeast cells	InP@ Input control
IgG|TUP1 TAP-tagged yeast cells	InP@ Input control
rabbit anti-H3 C-terminus (Zhang et al EMBO J. 24:2379, 2005)|H3 ChIP DNA	His@ H3
anti-FLAG beads (Sigma #8823)|Mot1 IP	Oth@ Epitope tags
anti-Myc tag antibody, clone A46|mid-log phase ASF1-18myc cells, ChIP	Oth@ Epitope tags
ANTI-FLAG M2 Affinity Gel (Sigma)|Log-phase cells shifted to 0.15X YEP minus carbon source (4hours)	Oth@ Epitope tags
ANTI-FLAG M2 Affinity Gel (Sigma)|Log-phase cells	Oth@ Epitope tags
mouse IgG|Sigma|Yeast cells, elc1 deletion mutant, control	InP@ Input control
4H8|Yeast cells, elc1 deletion mutant, Rpb1 ChIP	Pol@ RNA Polymerase II
mouse IgG|Sigma|Yeast cells, wild-type, control	InP@ Input control
4H8|Yeast cells, wild-type, Rpb1 ChIP	Pol@ RNA Polymerase II
none|S. cerevisiae liquid culture in logarhithmic growth	InP@ Input control
Rpb3-chIP-seq G1 Arrested fkh1fkh12C	Pol@ RPB3
Rpb3-chIP-seq G1 Arrested WT	Pol@ RPB3
sch9-as nucleus	Oth@ SCH9
BY4741	Unc@ Unclassified
none|whole organism	InP@ Input control
Pol II|BY4742_WT	Pol@ RNA Polymerase II
wild type_WCE	InP@ Input control
rpd3 _BrdU IP	Oth@ BrdU
sir2 _BrdU IP	Oth@ BrdU
H3K9ac_gcn5_ChIPseq	His@ H3K9ac
H3K9ac_WT_ChIPseq	His@ H3K9ac
Mot1 input	InP@ Input control
Rpb3-chIP-seq Asynchronous fkh1fkh12C	Pol@ RPB3
Rpb3-chIP-seq Asynchronous WT	Pol@ RPB3
BrdU-IP-seq fkh1fkh12C	Oth@ BrdU
BrdU-IP-seq fkh1fkh1	Oth@ BrdU
BrdU-IP-seq fkh2	Oth@ BrdU
BrdU-IP-seq fkh1	Oth@ BrdU
BrdU-IP-seq WT	Oth@ BrdU
Arp5 antibody from Abcam (ab12099).|CY1838	Oth@ ARP5
CY1838	Unc@ Unclassified
myc-tagged Ifh1|whole organism	Oth@ IFH1
Flag-tagged Hmo1|whole organism	Oth@ HMO1
Flag-tagged Fhl1 with deletion of forkhead domain|whole organism	Oth@ FHL1
myc-tagged Fhl1 with deletion of forkhead domain|whole organism	Oth@ FHL1
Flag-tagged Fhl1|whole organism	Oth@ FHL1
myc-tagged Fhl1|whole organism	Oth@ FHL1
Custom rabbit polyclonal anti-Rap1|whole organism	Oth@ RAP1
anti-Myc EZiew affinity gel; Sigma E6779|SWI6-myc_swi4d_IP_2	Oth@ Epitope tags
anti-Myc EZiew affinity gel; Sigma E6779|SWI6-myc_swi4d_IP_1	Oth@ Epitope tags
none|SWI6-myc_swi4d_INPUT	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|SWI6-myc_IP_2	Oth@ Epitope tags
anti-Myc EZiew affinity gel; Sigma E6779|SWI6-myc_IP_1	Oth@ Epitope tags
none|SWI6-myc_INPUT	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|SWI4-myc_swi6d_IP_1	Oth@ Epitope tags
none|SWI4-myc_swi6d_INPUT	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|SWI4-myc_IP_1	Oth@ Epitope tags
none|SWI4-myc_INPUT	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|SUT1-myc_IP_3	Oth@ Epitope tags
anti-Myc EZiew affinity gel; Sigma E6779|SUT1-myc_IP_2	Oth@ Epitope tags
anti-Myc EZiew affinity gel; Sigma E6779|SUT1-myc_IP_1	Oth@ Epitope tags
none|SUT1-myc_INPUT	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|SUT1-myc_nrg1d_IP_3	Oth@ Epitope tags
anti-Myc EZiew affinity gel; Sigma E6779|SUT1-myc_nrg1d_IP_2	Oth@ Epitope tags
anti-Myc EZiew affinity gel; Sigma E6779|SUT1-myc_nrg1d_IP_1	Oth@ Epitope tags
none|SUT1-myc_nrg1d_INPUT	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|NRG1-myc_IP_3	Oth@ Epitope tags
anti-Myc EZiew affinity gel; Sigma E6779|NRG1-myc_IP_2	Oth@ Epitope tags
anti-Myc EZiew affinity gel; Sigma E6779|NRG1-myc_IP_1	Oth@ Epitope tags
none|NRG1-myc_INPUT	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|NRG1-myc_sut1d_IP_3	Oth@ Epitope tags
anti-Myc EZiew affinity gel; Sigma E6779|NRG1-myc_sut1d_IP_2	Oth@ Epitope tags
anti-Myc EZiew affinity gel; Sigma E6779|NRG1-myc_sut1d_IP_1	Oth@ Epitope tags
none|NRG1-myc_sut1d_INPUT	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|RTG3-myc_gcn4d_IP3	Oth@ Epitope tags
none|RTG3-myc_gcn4d_INPUT_3	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|RTG3-myc_gcn4d_IP2	Oth@ Epitope tags
none|RTG3-myc_gcn4d_INPUT_2	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|RTG3-myc_gcn4d_IP1	Oth@ Epitope tags
none|RTG3-myc_gcn4d_INPUT_1	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|GCN4-myc_rtg3d_IP3	Oth@ Epitope tags
none|GCN4-myc_rtg3d_INPUT_3	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|GCN4-myc_rtg3d_IP2	Oth@ Epitope tags
none|GCN4-myc_rtg3d_INPUT_2	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|GCN4-myc_rtg3d_IP1	Oth@ Epitope tags
none|GCN4-myc_rtg3d_INPUT_1	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|RTG3-myc_IP3	Oth@ Epitope tags
none|RTG3-myc_INPUT3	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|RTG3-myc_IP2	Oth@ Epitope tags
none|RTG3-myc_INPUT2	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|RTG3-myc_IP1	Oth@ Epitope tags
none|RTG3-myc_INPUT1	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|GCN4-myc_IP3	Oth@ Epitope tags
none|GCN4-myc_INPUT3	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|GCN4-myc_IP2	Oth@ Epitope tags
none|GCN4-myc_INPUT2	InP@ Input control
anti-Myc EZiew affinity gel; Sigma E6779|GCN4-myc_IP1	Oth@ Epitope tags
none|GCN4-myc_INPUT1	InP@ Input control
none|BY4741_spt20D	InP@ Input control
none|BY4742_WT	InP@ Input control
Pol II|BY4741_spt20D	Pol@ RNA Polymerase II
Supernatant DNA	Unc@ Unclassified
Chd1|chd1ChIP_set2del_rep2	Oth@ CHD1
Chd1|chd1ChIP_set2del_rep1	Oth@ CHD1
Chd1|chd1ChIP_wt_rep2	Oth@ CHD1
Chd1|chd1ChIP_wt_rep1	Oth@ CHD1
RNAPII Ser2P antibody (Abcam, ab5095)|pol2ser2ChIP_chd1del	Pol@ RNA Polymerase II
RNAPII Ser2P antibody (Abcam, ab5095)|pol2ser2ChIP_wt	Pol@ RNA Polymerase II
RNAPII Ser5P antibody (Abcam, cat.# ab5131)|pol2ser5ChIP_chd1del	Pol@ RNA Polymerase II
RNAPII Ser5P antibody (Abcam, cat.# ab5131)|pol2ser5ChIP_wt	Pol@ RNA Polymerase II
none|C3857	InP@ Input control
none|C3632	InP@ Input control
Input: Rpb3 (+3AT) Experiment 3	InP@ Input control
IP: Rpb3 (+3AT) Experiment 3	Oth@ RPB3
Input: Rpb3 (+3AT) Experiment 2	InP@ Input control
IP: Rpb3 (+3AT) Experiment 2	Oth@ RPB3
Input: Rpb3 (no 3AT) Experiment 3	InP@ Input control
IP: Rpb3 (No 3AT) Experiment 3	Oth@ RPB3
Input:Rpb3 (no 3AT) Experiment 2	InP@ Input control
IP: Rpb3 (no 3AT) Experiment 2	Oth@ RPB3
Input: HA-H2B (+3AT) Experiment 3	InP@ Input control
IP: HA-H2B (+3AT) Experiment 3	His@ H2B
Input: HA-H2B (+3AT) Experiment 2	InP@ Input control
IP: HA-H2B (+3AT) Experiment 2	His@ H2B
Input: HA-H2B (no 3AT) Experiment 3	InP@ Input control
IP: HA-H2B (No 3AT) Experiment 3	His@ H2B
Input: HA-H2B (no 3AT) Experiment 2	InP@ Input control
IP: HA-H2B (no 3AT) Experiment 2	His@ H2B
Input: HA-H4 (+3AT) Experiment 3	InP@ Input control
IP: HA-H4 (+3AT) Experiment 3	His@ H4
Input: HA-H4 (+3AT) Experiment 2	InP@ Input control
IP: HA-H4 (+3AT) Experiment 2	His@ H4
Input: HA-H4 (no 3AT) Experiment 3	InP@ Input control
IP: HA-H4 (No 3AT) Experiment 3	His@ H4
Input: HA-H4 (no 3AT) Experiment 2	InP@ Input control
IP: HA-H4 (no 3AT) Experiment 2	His@ H4
none|Saccharomyces cerevisiae grown in SD medium	InP@ Input control
anti-HA 12CA5|11 666 606 001|AM1474	Oth@ Epitope tags
anti-HA 12CA5|11 666 606 001|AM1145	Oth@ Epitope tags
input|AM1474	InP@ Input control
input|AM1145	InP@ Input control
anti-HA 12CA5|11 666 606 001|AM8834	Oth@ Epitope tags
anti-HA 12CA5|11 666 606 001|AM5708	Oth@ Epitope tags
input|AM8834	InP@ Input control
input|AM5708	InP@ Input control
Pol II antibody (4F8- HemholtzZentrum mnchen )|Yeast WT	Pol@ RNA Polymerase II
(rb) -H3K4me3 (#528; Ali Shilatifard)|H3K4ME3_WT_FM392_Rep_2	His@ H3K4me3
(rb) -H3K4me3 (#528; Ali Shilatifard)|H3K4ME3_WT_FM392_Rep_1	His@ H3K4me3
(rb) -H3K4me3 (#528; Ali Shilatifard)|H3K4ME3_leo1_delta_FM392_Rep_2	His@ H3K4me3
(rb) -H3K4me3 (#528; Ali Shilatifard)|H3K4ME3_leo1_delta_FM392_Rep_1	His@ H3K4me3
(rb) -H3K4me3 (#528; Ali Shilatifard)|H3K4ME3_Full_length_Set1_Rep_2	His@ H3K4me3
input|Input_for_Full_length_Set1_Rep1	InP@ Input control
(rb) -H3K4me3 (#528; Ali Shilatifard)|H3K4ME3_Full_length_Set1_Rep_1	His@ H3K4me3
input|Input_Set1_aa762-1080_Rep_1	InP@ Input control
(rb) -H3K4me3 (#528; Ali Shilatifard)|H3K4ME3_aa762-1080_Set1_Rep_1	His@ H3K4me3
(rb) -H3K4me3 (#528; Ali Shilatifard)|H3K4ME3_chd1_delta_FM392_Rep_2	His@ H3K4me3
(rb) -H3K4me3 (#528; Ali Shilatifard)|H3K4ME3_chd1_delta_FM392_Rep_1	His@ H3K4me3
(rb) -H3K4me3 (#528; Ali Shilatifard)|H3K4ME3_aa762-1080_Set1_Rep_2	His@ H3K4me3
RNAPolII_WT_hH2B_ChIPseq	Pol@ RNA Polymerase II
H3K4me3_WT_hH2B_ChIPseq	His@ H3K4me3
H2B_WT_hH2B_ChIPseq	His@ H2B
H2Bub_ubp8_hH2B_ChIPseq	His@ H2Bub
H2Bub_WT_hH2B_ChIPseq	His@ H2Bub
H2Bub_WT_yH2B_ChIPseq	His@ H2Bub
gcn5_input	InP@ Input control
ubp8_hH2B_input	InP@ Input control
WT_hH2B_input	InP@ Input control
WT_yH2B_input	InP@ Input control
WCE at 0h after meiotic induction (GAL4BD-SPO11-FLAG cells)	InP@ Input control
WCE at 5h after meiotic induction (SPO11-FLAG cells)	InP@ Input control
WCE at 4h after meiotic induction (RED1-FLAG cells)	InP@ Input control
WCE at 3h after meiotic induction (SPO11-FLAG cells)	InP@ Input control
Gal4BD-Spo11-FLAG ChIP at 0h after meiotic induction	Oth@ SPO11
Spo11-FLAG ChIP at 5h after meiotic induction	Oth@ SPO11
Spo11-FLAG ChIP at 4h after meiotic induction	Oth@ SPO11
Spo11-FLAG ChIP at 3h after meiotic induction	Oth@ SPO11
Rec8-FLAG ChIP in GAL4BD-SPO11 cells at 4h after meiotic induction	Oth@ REC8
Rec8-FLAG ChIP at 4h after meiotic induction	Oth@ REC8
none|9E11, monocolonal mouse anti-Myc|meiotic cells, 4.5h in SPM, untagged	InP@ Input control
Sgs1-myc13|9E11, monocolonal mouse anti-Myc|meiotic cells, 4.5h in SPM, Sgs1-ChIP	Oth@ SGS1
Sgs1-myc13|9E11, monocolonal mouse anti-Myc|meiotic cells, 3.5h in SPM, Sgs1-ChIP	Oth@ SGS1
Smc6-myc13|9E11, monocolonal mouse anti-Myc|meiotic cells, 4.5h in SPM, Smc6-ChIP, spo11delta	Oth@ SMC6
Smc6-myc13|9E11, monocolonal mouse anti-Myc|meiotic cells, 3.5h in SPM, Smc6-ChIP, spo11delta	Oth@ SMC6
Smc6-myc13|9E11, monocolonal mouse anti-Myc|meiotic cells, 4.5h in SPM, Smc6-ChIP	Oth@ SMC6
Smc6-myc13|9E11, monocolonal mouse anti-Myc|meiotic cells, 3.5h in SPM, Smc6-ChIP	Oth@ SMC6
input DNA|SWI6 TAP-tagged yeast cells	InP@ Input control
rabbit anti pan CTD (Schroeder eta l Genes Dev. 14:2435, 2000)|Pol II ChIP DNA	Pol@ RNA polymerase II
none|Genomic DNA	InP@ Input control
Anti-myc (9E10)|Myc tagged Hst4|Genomic DNA	Oth@ HST4
Anti-myc (9E10)|Myc tagged Hst3|Genomic DNA	Oth@ HST3
Anti-myc (9E10)|Myc tagged Hst2|Genomic DNA	Oth@ HST2
Anti-myc (9E10)|Myc tagged Hst1|Genomic DNA	Oth@ HST1
Anti-myc (9E10)|Myc tagged Sum1|Genomic DNA	Oth@ SUM1
Anti-myc (9E10)|Myc tagged Sir2|Genomic DNA	Oth@ SIR2
normal rabbit IgG|mid-log phase ASF1-18myc cells, mock	InP@ Input control
Sepharose CL-4B (Sigma)|Log-phase cells shifted to 0.15X YEP minus carbon source (4hours)	Unc@ Unclassified
Sepharose CL-4B (Sigma)|Log-phase cells	Unc@ Unclassified
FLAG (Sigma anti-FLAG M2 magnetic beads, catalog #8823, lot #041M6135)|nuclei|Isw2 WT ChIP	Oth@ Epitope tags
FLAG (Sigma anti-FLAG M2 magnetic beads, catalog #8823, lot #041M6135)|nuclei|Chd1 WT N-ChIP-seq	Oth@ Epitope tags
FLAG (Sigma anti-FLAG M2 magnetic beads, catalog #8823, lot #041M6135)|nuclei|Chd1 K407R ChIP	Oth@ Epitope tags
FLAG (Sigma anti-FLAG M2 magnetic beads, catalog #8823, lot #041M6135)|nuclei|Isw2 K215R ChIP	Oth@ Epitope tags
FLAG (Sigma anti-FLAG M2 magnetic beads, catalog #8823, lot #041M6135)|nuclei|Isw1 K227R N-ChIP-Seq	Oth@ Epitope tags
None|YMC RC phase cells, input	InP@ Input control
None|YMC OX phase cells, input	InP@ Input control
FLAG|YMC RC phase cells, Ifh1p ChIP	Oth@ Epitope tags
FLAG|YMC OX phase cells, Ifh1p ChIP	Oth@ Epitope tags
anti-trimethylated H3K4 antibody (developed by our lab)|delta_Chd1 yeast (FM391,delta Chd1)	His@ H3K4me3
anti-trimethylated H3K79 antibody (Abcam, ab2621)|delta_Chd1 yeast (FM391,delta Chd1)	His@ H3K79me3
N/A (whole cell extract)|delta_Chd1 yeast (FM391,delta Chd1)	InP@ Input control
anti-trimethylated H3K4 antibody (developed by our lab)|Wild-type yeast (FM391)	His@ H3K4me3
anti-trimethylated H3K79 antibody (Abcam, ab2621)|Wild-type yeast (FM391)	His@ H3K79me3
N/A (whole cell extract)|Wild-type yeast (FM391)	InP@ Input control
H3-T7, H4 tail deletion, generation 3	His@ H3
H3-HA, H4 tail deletion, generation 3	His@ H3
H3-T7, top1 deletion, generation 3	His@ H3
H3-HA, top1 deletion, generation 3	His@ H3
H3-T7, cac1 deletion, generation 3	His@ H3
H3-HA, cac1 deletion, generation 3	His@ H3
H3-T7, wt, generation 1	His@ H3
H3-HA, wt, generation 1	His@ H3
H3-T7, wt, G2/M	His@ H3
H3-HA, wt, G2/M	His@ H3
H3-T7, wt, generation 0	His@ H3
H3-HA, wt, generation 0	His@ H3
9E10-anti myc, Millipore cat no:05-419|ChIP	Oth@ Epitope tags
none|input sonicated DNA|Yeast cell	InP@ Input control
anti-RNA Polymerase II mouse monoclonal antibody, clone 8WG16 (Covance, MMS-126R)|Yeast cell	Pol@ RNA Polymerase II
SCH9 SDS3-TAP nucleus	Oth@ SCH9
sch9-as STB3-TAP nucleus	Oth@ SCH9
SCH9 STB3-TAP nucleus	Oth@ SCH9
sch9-as stb3 dot6 tod6 SDS3-TAP nucleus	Oth@ SCH9
sch9-as dot6 tod6 SDS3-TAP nucleus	Oth@ SCH9
sch9-as stb3 SDS3-TAP nucleus	Oth@ SCH9
sch9-as SDS3-TAP nucleus	Oth@ SCH9
none|YMC RC phase	InP@ Input control
none|YMC OX phase cells	InP@ Input control
Flag M2 200472-21 (Agilent)|YMC RC phase	Oth@ Epitope tags
Flag M2 200472-21 (Agilent)|YMC OX phase cells	Oth@ Epitope tags
H3 05-928 (Millipore)|YMC RC phase	His@ H3
H3 05-928 (Millipore)|YMC OX phase cells	His@ H3
H3K9ac 06-942 (Millipore)|YMC RC phase	His@ H3K9ac
H3K9ac 06-942 (Millipore)|YMC OX phase cells	His@ H3K9ac
monoclonal anti-Myc antibody 9E10|whole organism, tagged	Oth@ Epitope tags
monoclonal anti-Myc antibody 9E10|whole organism, untagged	Oth@ Epitope tags
polyclonal ORC|WT W303	Oth@ ORC1
