NoAb	NoD@ NA
H3K36me3|Abcam ab9050|Hematopoietic stem cells (HSC)	His@ H3K36me3
H3K27me3|Millipore 07-449|Hematopoietic stem cells (HSC)	His@ H3K27me3
Mouse embryonic day 11.5 (e11.5) hindbrain	Unc@ Unclassified
anti-FLAG M2 (Sigma, F1804)|Neurospheres	Oth@ Epitope tags
C/EBPbeta sc-150, santa cruz	Oth@ Cebpb
anti-H3K27me3(Millipore 17-622)|Differentiated embryonic stem cells	His@ H3K27me3
RNA Pol II|Abcam Cat#ab5408|NAc dissection from 3-5 animals	Pol@ RNA Polymerase II
H3K9me2|Abcam Cat#ab1220|NAc dissection from 3-5 animals	His@ H3K9me2
H3K4me1|Abcam Cat#ab1012|NAc dissection from 3-5 animals	His@ H3K4me1
H3K36me3|Abcam Cat#ab9050|NAc dissection from 3-5 animals	His@ H3K36me3
H3K27me3|Abcam Cat#ab6002|NAc dissection from 3-5 animals	His@ H3K27me3
gammaH2AX|in vitro activated B cells	His@ H2A.XS139ph
rabbit anti-Smc3|mouse embryonic fibroblasts	Oth@ Smc3
p300 ChIP-Seq, sc-585 (Santa Cruz)	Oth@ Ep300
IRF4|Th0 in vitro	Oth@ Irf4
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|CH12	InP@ Input control
anti-K4me1|primary CD4+ T cells from spleen and lymph nodes	His@ H3K4me1
none, input-DNA|FACS-purified Pou5f1-GFP-positive germ cells	InP@ Input control
K4me1|ab9051|bone marrow	Unc@ Unclassified
RNA Polymerase II|C57BL/6 LXRdKO mouse liver	Pol@ RNA Polymerase II
RNA Polymerase II|C57BL/6 wild type mouse liver	Pol@ RNA Polymerase II
none|bone marrow macrophages	InP@ Input control
anti-STAT1 (santa cruz: sc-417)|bone marrow macrophages	Oth@ Stat1
H3K27me3|primary CD4+ T cells from spleen and lymph nodes	His@ H3K27me3
polyclonal anti-RXRa|embryonal carcinoma cells	Oth@ Rxra
FOXA2|Homogenized Mouse Liver	Oth@ Foxa2
Mouse nucleus accumbens 24 hr	Unc@ Unclassified
Anti H3 Acetyl K9, K14  (Millipore 06-499)	His@ H3K9K14ac
to be provided	Unc@ Unclassified
H3K4me1|3T3L1	His@ H3K4me1
H3K36me3|3T3L1	His@ H3K36me3
H3K27me3|3T3L1	His@ H3K27me3
liver	Unc@ Unclassified
Gata1|FDCPmix	Oth@ Gata1
H3K27ac|liver tissue	His@ H3K27ac
H3K27me3|liver tissue	His@ H3K27me3
none|V5|KH2 ES cells	InP@ Input control
RPA|thymocyte	Oth@ Rpa1
anti-gammaH2AX|mIMCD3	His@ H2A.XS139ph
RNAPII	Pol@ RNA Polymerase II
RXR	Oth@ Rxra
PPARg	Oth@ Pparg
TET3	Oth@ Tet3
H3K27Ac|Abcam AB4729|Embryonic stem cells	His@ H3K27ac
Input|Embryonic stem cells	InP@ Input control
RNA Pol II|Abcam AB817|Embryonic stem cells	Pol@ RNA Polymerase II
bone marrow derived macrophages	Unc@ Unclassified
Control|none (input)|CD4+CD8+ double positive thymocytes	InP@ Input control
anti-H3K9me2 (Abcam; ab1220; Lot: GR138716-1)|Murine MLL-AF9 leukemic cells	His@ H3K9me2
anti-H3K9ac (Abcam; ab4441; Lot: GR171767-1)|Murine MLL-AF9 leukemic cells	His@ H3K9ac
none|Neural progenitor cells	InP@ Input control
Embryonic Stem Cells	Unc@ Unclassified
ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells	Unc@ Unclassified
Foxp3 antibody is a custom polyclonal antibody that has been affinity purified|Activated Treg	Oth@ Foxp3
Nave CD4+ T cells	Unc@ Unclassified
H3K27ac (Abcam, catalog# ab4729, lot# GR45851-1)|Primary B-cells	His@ H3K27ac
RNAPII (Santa Cruz, catalog# sc-899, lot# F0112)|Primary B-cells	Pol@ RNA Polymerase II
Runx3 poly clonal home made|Splenic CD8+ T cells	Oth@ Runx3
H3K36me3 (Abcam, Ab9050, lot 707946)|ES cells	His@ H3K36me3
H3K4me3 (Active, Motif, lot 39159)|ES cells	His@ H3K4me3
input|Rag1 -/- pro-B cells	InP@ Input control
input DNA	InP@ Input control
Smc5|Calbiochem, DR1030|Splenic B Cells	Oth@ Smc5
Brca1|mouse monoclonal raised against mouse BRCA1 (160-300 amino acids)|Splenic B Cells	Oth@ Brca1
RPA|Calbiochem, RPA34-20|Splenic B Cells	Oth@ Rpa2
AcH2B (in-house made rabbit whole antiserum)	His@ H2Bac
Histone H3 trimethyl Lys27|mammary gland	His@ H3K27me3
Anti-Trimethyl Histone H3 (Lys4) Antibody, (Millipore, clone: CMA304, catalog#: 05-1339, lot#: 2024897)|Sorted cells	His@ H3K4me3
Anti-trimethyl Histone H3 (Lys27) Antibody (Millipore, catalog#: ABE44, lot#: 1966928)|Sorted cells	His@ H3K27me3
Flag-M2 (Sigma, F1804)|mouse embryonic stem cells	Oth@ Epitope tags
none|ES cell	InP@ Input control
H2A.X|iPS cell from B cell	His@ H2A.X
anti-RPA32 Calbiochem NA19L, lot#D00127062|Primary B cells	Oth@ Rpa2
anti-PU.1 (rabbit polyclonal against the N-terminus (aa. 1-100))|Primary bone marrow-derived macrophages, no treatment, PU.1 ChIP	Oth@ Spi1
anti-H3K27ac|Primary bone marrow-derived macrophages, no treatment, H3K27ac ChIP	His@ H3K27ac
IRF4 (Santa Cruz, sc-6059, k1209)|CD4+ T Cells	Oth@ Irf4
H3K4me2 (07-449, Upstate, Charlottesville, VA, lot 26335, cat#07-030)|retina	His@ H3K4me2
H3K9ac Ab (Upstate 07-352, LOT# DAM1394804)|Mature B	His@ H3K9ac
H3K4me3 Ab (Abcam ab8580-100)|Mature B	His@ H3K4me3
H3K27me3 Ab (gift from T.Jenuwein)|Pro-B	His@ H3K27me3
Ring1B (custom-made)|embryonic stem cells	Oth@ Rnf2
polyclonal rabbit a-GATA-1 produced in-house (H Im et al. PNAS 2005)|ES-cell derived erythroid progenitors	Oth@ Gata1
Ikaros-N terminal Ab (IkN)|Whole Thymus	Oth@ Ikzf1
CAPH2|Bethyl A302-275A|Embryonic stem cells	Oth@ Ncaph2
polyclonal anti-RNA-PolII (H-224)|embryonal carcinoma cells	Pol@ RNA Polymerase II
polyclonal anti-RARg|embryonal carcinoma cells	Oth@ Rarg
H3K9me3|Mouse nucleus accumbens 24 hr	His@ H3K9me3
ER Ab-10|Conditional Myb transformed myeloid cell line	Oth@ Esr1
STAT3|murine Irf4 deficient CD4+ T	Oth@ Stat3
IgG|murine CD4+ T	InP@ Input control
H3K9me3 (Ab8898)|V6.5 mES cells	His@ H3K9me3
no antibody	InP@ Input control
Primary thioglycollate-elicited peritoneal macrophages	Unc@ Unclassified
H3K79me2	His@ H3K79me2
None|ZHBTc4 ES cells	InP@ Input control
pancreas	Unc@ Unclassified
H3K27me3 (Millipore 07-449)|ES cells	His@ H3K27me3
NULL|shLuc ES cells	InP@ Input control
None (Total Input)	InP@ Input control
Foxa1|liver	Oth@ Foxa1
HDAC3|Liver	Oth@ Hdac3
Sin3B|C2C12 myotubes	Oth@ Sin3b
RNAP-II|ab5408|Adult_Tissue	Pol@ RNA Polymerase II
H3K56ac (abcam, ab76307)|Embryonic stem cells (ESCs)	His@ H3K56ac
H3K9ac (Millipore, 07-352)|Embryonic stem cells (ESCs)	His@ H3K9ac
Anti-Sirt1 (Upstate, 07-131)|Satellite cells	Oth@ Sirt1
Millipore 07-473|Hematopoietic stem cells (HSC)	His@ H3K4me3
Millipore 07-449|Hematopoietic stem cells (HSC)	His@ H3K27me3
Scl/Tal1|ES cell derived day4 EB (embryoid body) Flk1+ mesodermal cells	Oth@ Tal1
pCREB (Millipore, Ser 133, 06-519)|MC3T3-E1 (pre-osteoblast)	Oth@ Creb1
H3K27Ac|Anti-acetyl lysine 27 of histone H3 (Active Motif, catalog number 39133)|CD4+CD8+ double positive thymocytes	His@ H3K27ac
Pol II (Santa Cruz, N20)|ES cell culture	Pol@ RNA polymerase II
H3K4me1 (Homemade #24)|ES cell culture	His@ H3K4me3
H3K27ac (Abcam, ab4729)|ES cell culture	His@ H3K27ac
H3K27me3 (Homemade #67)|ES cell culture	His@ H3K27me3
anti-H3K79me2 (Abcam; ab3594; Lot: GR46675-1)|Murine MLL-AF9 leukemic cells	His@ H3K79me2
anti-H3K27me3 (Upstate; 07-449; Lot: DAM1421462)|Murine MLL-AF9 leukemic cells	His@ H3K27me3
anti-Zic 1/2 C-terminus|whole cerebellum	Oth@ Zic1
H3K27me3 (Diagenode #pAb-069-050)|primordial germ cells	His@ H3K27me3
H3K9me3 (Active Motif #39161)|primordial germ cells	His@ H3K9me3
Pol2|Millipore:17-672, lot54931|Heart	Pol@ RNA Polymerase II
H3K4me3|Active Motif:39159, lot832164|Heart	His@ H3K4me3
sc7202|DIV7 mCTX neurons	Oth@ Fos
ab4729|DIV7 mCTX neurons	His@ H3K27ac
H3K27Ac|Abcam AB4729|Neural Progenitors	His@ H3K27ac
NIH3T3 fibroblasts	Unc@ Unclassified
H4 Ac (Millipore, 06-866 )|NIH3T3 fibroblasts	His@ H4ac
Pol II (Santa Cruz Biotechnology, N20, sc-899)|NIH3T3 fibroblasts	Pol@ RNA Polymerase II
H3K27Ac ( abcam, ab4729)|NIH3T3 fibroblasts	His@ H3K27ac
CDK9 (Santa Cruz Biotechnology, sc-8338)|NIH3T3 fibroblasts	Oth@ Cdk9
BRD4 (C-terminus) made in house|NIH3T3 fibroblasts	Oth@ Brd4
anti-RNAPII N-20 (Santa Cruz, sc-899)|Embryonic Stem Cells	Pol@ RNA Polymerase II
H3K27me3|SV40T transformed fibroblasts	His@ H3K27me3
EZH2|SV40T transformed fibroblasts	Oth@ Ezh2
H3K27me3|mouse hippocampus	His@ H3K27me3
Otx2 (Abcam ab21990-100ug)|embryonic stem cells (ESC)	Oth@ Otx2
Oct4 (Santa Cruz sc-8628)|embryonic stem cells (ESC)	Oth@ Pou5f1
CEBPA|p30-GMP-blast cells, from pool of Biological repl_I_II_III, CEBPA ChIP	Oth@ Cebpa
Abcam, ab8895|Liver	His@ H3K4me1
Meis (Abcam, catalog# ab19867, lot# GR76623-1)|c-kit+ bone marrow cells	Oth@ Meis1
TGIF (H-172) (Santa Cruz Biotechnology, catalog# sc-9084, lot# K2608)|c-kit+ bone marrow cells	Oth@ Tgif1
CBP (CREBBP) Brindle 8690|primary CBP null MEF (e14.5)	Oth@ Crebbp
CBP (CREBBP) Brindle 8690|primary wild type MEF (e14.5)	Oth@ Crebbp
anti H3K9ac, Millipore 07-352, Lot: DAM1813175|Pro-B cell	His@ H3K9ac
H3K27me3 (Millipore 07-449)|in vitro differentiated cells	His@ H3K27me3
H3K9,K14ac (Millipore, Catalog# 06-599, Lot# 2019589)|Embryonic stem cells	His@ H3K9K14ac
Millipore, 07-449|main olfactory epithelium	His@ H3K27me3
H3K27me3|17-622, Millipore|Heart	His@ H3K27me3
Gata4_Ab|sc-1237x, Santa Cruz|Heart	Oth@ Gata4
Custom GFP antibody|Embryonic Stem Cells	Oth@ GFP
mouse embryo fibroblasts (MEF)	Unc@ Unclassified
H2AX (Millipore, Catalog# 05-636, Lot# 2116620)|Mouse embryonic fibroblasts	His@ H2A.XS139ph
H4K5ac (Millipore 07-327)|Primary thioglycollate-elicited peritoneal macrophages	His@ H4K5ac
none|mouse brown preadipocytes, MLL4 KO, input	InP@ Input control
none|mouse brown preadipocytes, WT, input	InP@ Input control
MLL4|mouse brown preadipocytes, MLL4 KO, MLL4 ChIP	Oth@ Kmt2d
MLL4|mouse brown preadipocytes, WT, MLL4 ChIP	Oth@ Kmt2d
Non-immune rabbit serum|Splenic CD8+ T cells	InP@ Input control
Non-immune rabbit serum|Splenic NK cells	InP@ Input control
Runx3 poly clonal home made|Splenic NK cells	Oth@ Runx3
anti-RNAPII (AC-055-100; Diagenode)|3T3-L1 adipocytes (Day 7)	Pol@ RNA Polymerase II
anti-PPAR (sc-7196; Santa Cruz)|3T3-L1 adipocytes (Day 7)	Oth@ Pparg
none (input)|embryonic fibroblasts treated with BAM factors	InP@ Input control
H4K8ac (Millipore 07-327)|Bone marrow derived macrophages	His@ H4K8ac
Abcam (ab9050)|Embryonic stem cells	His@ H3K36me3
Abcam (ab9049)|Embryonic stem cells	His@ H3K36me2
S2 PolII, (ab5095, Abcam)|Embryonic Stem Cells	Pol@ RNA Polymerase II
Total PolII, (sc-899, Santa Cruz Biotechnology)|Embryonic Stem Cells	Pol@ RNA Polymerase II
none|Embryonic Stem Cells	InP@ Input control
H3K4me3|Millipore 07-473|Hematopoietic stem cells (HSC)	His@ H3K4me3
anti-RBPJ antibody (custom-made)|F9_RBPJ_ChIP-seq	Oth@ Rbpj
Suz12 (Cell Signaling, D39F6)|Primary CD4+ Th cells	Oth@ Suz12
Rabbit anti-Histone H3 trimethyl K4 (activemotif 35159, lot #: 01609004)|Mouse Prostate	His@ H3K4me3
Rabbit Anti-Histone monomethyl-H3 (Abcam ab8895, Lot GR61280-1)|Mouse Prostate	His@ H3K4me1
Rabbit Anti-ERG (Epitomics Clone EPR3864)|Mouse Prostate	Oth@ Erg
Rabbit Anti-AR (Epitomics Clone ER179)|Mouse Prostate	Oth@ Ar
H3K27Me3: Cell Signaling, C36B11|Haematopoietic progenitor cells	His@ H3K27me3
H3K4Me3: Cell Signaling, C42D8|Haematopoietic progenitor cells	His@ H3K4me3
Mouse embryonic day 11.5 (e11.5) face	Unc@ Unclassified
Embryonic cortex	Unc@ Unclassified
cocktail of Ab-10 from Labvision and sc-543 from Santa Cruz|3617 cells expressing ER DBD mutant	Oth@ Esr1
RNAPII, Abcam, ab5131	Pol@ RNA Polymerase II
anti-SUZ12 (Bethyl A302-407A)|Differentiated embryonic stem cells	Oth@ Suz12
anti-H3K27ac (ActiveMotif #39134)|Differentiated embryonic stem cells	His@ H3K27ac
anti-HA (Roche 11867423001)	Oth@ Epitope tags
H3K4me3: Millipore 07-473, lot # DAM1731494 (7.5uL per ChIP)	His@ H3K4me3
H3K36me3: Abcam ab9050-100, lot # 136352	His@ H3K36me3
H3K27me3: Abcam ab6002-100, lot # 49749	His@ H3K27me3
AcH3K9,14; Anti-acetyl-Histone H3 Antibody	His@ H3K9K14ac
H3K27Me3,Cell Signaling, C36B11|Hematopoietic Stem Cells	His@ H3K27me3
H3K4Me3, Cell Signaling, C42D|Hematopoietic Stem Cells	His@ H3K4me3
mouse ES cells, shluc control, H3K4me3 ChIP	His@ H3K4me3
Rad51|in vitro activated B cells	Oth@ Rad51
none|iPS cell from B cell	InP@ Input control
CTCF (Millipore, Cat. No. 07-729, Lot No. DAM1745366)|Limb bud	Oth@ Ctcf
none|input DNA	InP@ Input control
H3K27me3|whole liver extract	His@ H3K27me3
H3K4me2|whole liver extract	His@ H3K4me2
H3K36me3|whole liver extract	His@ H3K36me3
H3K4me3|Th17 in vitro	His@ H3K4me3
H3K4me2|Th17 in vitro	His@ H3K4me2
Batf|Th17 in vitro	Oth@ Batf
Batf|Th0 in vitro	Oth@ Batf
H3K27me3 (07-449, Millipore)|Embryonic stem cell	His@ H3K27me3
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|Heart	InP@ Input control
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|Liver	InP@ Input control
Input|conditional KO Rb MEF	InP@ Input control
H3|Abcam, ab1791|Embryonic Stem Cell	His@ H3
H3K27me3|Abcam, ab6002|Embryonic Stem Cell	His@ H3K27me3
Suz12|Cell Signaling, 3737|Embryonic Stem Cell	Oth@ Suz12
BATF (from Ken Murphy rabbit , not commercial available)|CD4+ T Cells	Oth@ Batf
H3K27me3 (07-030, Upstate, Charlottesville, VA, lot 24440, cat.#07-449)|retina	His@ H3K27me3
RNA Pol II (Rpb1 N-terminus)|Santa Cruz SC-899|Embryonic stem cells	Pol@ RNA Polymerase II
H3K9ac Ab (Upstate 07-352, LOT# DAM1394804)|Pro-B	His@ H3K9ac
H3K4me3 Ab (Abcam ab8580-100)|Pro-B	His@ H3K4me3
H3K4me2 Ab (Upstate 07-030, Lot# DAM1474881)|Pro-B	His@ H3K4me2
Dynabeads M-280 Streptavidin (Invitrogen)|Pro-B	Oth@ Biotin
MyoD_(sc-32758)|sc-32758|This gene encodes a nuclear protein that belongs to the basic helix-loop-helix family of transcription factors and the myogenic factors subfamily. It regulates muscle cell differentiation by inducing cell cycle arrest, a prerequisite for myogenic initiation. The protein is also involved in muscle regeneration. It activates its own transcription which may stabilize commitment to myogenesis. (provided by RefSeq)|mouse monoclonal antibody raised against recombinant MyoD of mouse origin with an epitope mapping to amino acids 180-189. Antibody Target: MyoD|C2C12	Oth@ Myod1
